,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
0,J Suchith,0,0,0,0,,0.0,0,18,45,0,15.0,,,3.0,0,0,Sunrisers Hyderabad
1,TH David,1,3,0,0,33.33,1.0,1,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
2,Q de Kock,297,255,29,7,116.47,29.7,10,0,0,0,,,,0.0,0,0,Mumbai Indians
3,CA Lynn,49,35,4,3,140.0,49.0,1,0,0,0,,,,0.0,0,0,Mumbai Indians
4,NM Coulter-Nile,4,5,0,0,80.0,2.0,2,121,127,7,6.35,18.14,17.29,20.0,0,1,Mumbai Indians
5,Shivam Mavi,25,20,2,2,125.0,12.5,2,204,236,11,7.34,21.45,18.55,32.17,8,3,Kolkata Knight Riders
6,DL Chahar,1,1,0,0,100.0,1.0,0,339,451,14,8.35,32.21,24.21,54.0,15,0,Chennai Super Kings
7,MK Pandey,292,235,21,10,124.26,48.67,6,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
8,Arshdeep Singh,2,3,0,0,66.67,2.0,0,263,342,18,8.27,19.0,14.61,41.33,15,0,Punjab Kings
9,EJG Morgan,133,139,8,6,95.68,11.08,12,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
10,AF Milne,16,17,0,1,94.12,8.0,2,87,132,3,9.43,,29.0,14.0,2,1,Mumbai Indians
11,M Shahrukh Khan,153,114,9,10,134.21,21.86,7,0,0,0,,,,0.0,0,0,Punjab Kings
12,S Sandeep Warrier,0,0,0,0,,0.0,0,12,15,0,7.5,,,2.0,0,0,Kolkata Knight Riders
13,Rashid Khan,83,65,9,2,127.69,11.86,7,319,350,17,6.73,20.59,18.76,52.0,7,0,Sunrisers Hyderabad
14,KS Bharat,191,154,10,8,124.03,38.2,5,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
15,JR Hazlewood,0,0,0,0,,0.0,0,215,296,11,8.46,26.91,19.55,35.0,5,0,Chennai Super Kings
16,Mujeeb Ur Rahman,1,1,0,0,100.0,1.0,0,26,29,2,7.25,,13.0,4.0,2,0,Sunrisers Hyderabad
17,KL Rahul,626,450,48,30,139.11,62.6,10,0,0,0,,,,0.0,0,0,Punjab Kings
18,SP Narine,62,47,3,5,131.91,7.75,8,344,363,16,6.48,22.69,21.5,56.0,6,2,Kolkata Knight Riders
19,SV Samson,484,351,45,17,137.89,40.33,12,0,0,0,,,,0.0,0,0,Rajasthan Royals
20,AR Patel,40,46,2,1,86.96,8.0,5,255,280,13,6.67,21.54,19.62,42.0,3,0,Delhi Capitals
21,CH Gayle,193,154,21,8,125.32,21.44,9,0,0,0,,,,0.0,0,0,Punjab Kings
22,M Jansen,0,3,0,0,0.0,0.0,2,40,45,2,7.5,,20.0,6.0,3,1,Mumbai Indians
23,KA Jamieson,65,55,5,3,118.18,16.25,4,179,270,9,9.64,30.0,19.89,28.0,8,3,Royal Challengers Bangalore
24,VR Iyer,370,288,37,14,128.47,41.11,9,54,69,3,8.12,,18.0,8.5,2,1,Kolkata Knight Riders
25,Harpreet Brar,64,58,3,2,110.34,64.0,0,141,140,5,6.09,28.0,28.2,23.0,3,0,Punjab Kings
26,Kartik Tyagi,2,4,0,0,50.0,2.0,1,93,124,4,8.86,,23.25,14.0,8,1,Rajasthan Royals
27,Washington Sundar,31,46,2,0,67.39,7.75,4,98,118,3,7.38,,32.67,16.0,2,0,Royal Challengers Bangalore
28,A Nortje,0,0,0,0,,0.0,0,187,193,12,6.36,16.08,15.58,30.33,5,0,Delhi Capitals
29,IC Porel,0,0,0,0,,0.0,0,26,39,1,9.75,,26.0,4.0,2,0,Punjab Kings
30,SK Raina,160,127,13,9,125.98,17.78,9,0,0,0,,,,0.0,0,0,Chennai Super Kings
31,LH Ferguson,18,10,1,1,180.0,18.0,0,186,224,13,7.47,17.23,14.31,30.0,4,2,Kolkata Knight Riders
32,RD Gaikwad,635,462,64,23,137.45,45.36,14,0,0,0,,,,0.0,0,0,Chennai Super Kings
