player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
KD Karthik,Kolkata Night Riders,498,336,49,16,148.21,49.8,10,1,1,1,1,1,1,1,1,0
PJ Sangwan,Mumbai Indians,1,4,1,1,1,1,1,12,19,1,9.5,1,1,2,1,0
MM Sharma,Kings XI Punjab,10,13,1,1,76.92,10,1,186,322,7,10.85,46,26.57,29.67,6,2
BB Sran,Kings XI Punjab,3,7,1,1,42.86,3,1,146,229,4,10.41,57.25,36.5,22,12,2
S Dhawan,Sunrisers Hyderbad,497,362,59,14,137.29,35.5,14,1,1,1,1,1,1,1,1,0
M Markande,Mumbai Indians,21,24,2,1,87.5,10.5,2,268,369,15,8.39,24.6,17.87,44,4,0
JC Archer,Rajasthan Royals,15,19,2,1,78.95,3,5,249,325,15,8.37,21.67,16.6,38.83,14,2
TA Boult,Delhi Capitals,1,2,1,1,1,1,1,327,469,18,8.9,26.06,18.17,52.67,10,1
K Khejroliya,Royal Challengers Bangalore,1,1,1,1,1,1,1,70,107,2,9.88,53.5,35,10.83,5,0
R Ashwin,Kings XI Punjab,102,71,7,5,143.66,12.75,8,314,410,10,8.09,41,31.4,50.67,10,0
KV Sharma,Royal Challengers Bangalore,1,1,1,1,1,1,1,58,89,4,9.37,22.25,14.5,9.5,1,0
SN Thakur,Chennai Super Kings,15,5,3,1,300,15,1,295,431,16,9.24,26.94,18.44,46.67,15,0
C de Grandhomme,Royal Challengers Bangalore,131,83,4,10,157.83,26.2,5,97,129,2,8.6,64.5,48.5,15,7,0
HV Patel,Delhi Capitals,60,33,1,6,181.82,60,1,109,167,7,9.54,23.86,15.57,17.5,4,0
AD Hales,Sunrisers Hyderbad,148,117,13,6,126.5,24.67,6,1,1,1,1,1,1,1,1,0
WP Saha,Sunrisers Hyderbad,122,102,17,1,119.61,15.25,8,1,1,1,1,1,1,1,1,0
Abhishek Sharma,Delhi Capitals,63,33,3,5,190.91,63,1,1,1,1,1,1,1,1,1,0
N Rana,Kolkata Night Riders,304,232,26,14,131.03,21.71,14,38,44,4,7.13,1,9.5,6.17,1,0
IS Sodhi,Rajasthan Royals,1,6,1,1,16.67,1,1,138,135,5,5.87,27,27.6,23,1,0
YS Chahal,Royal Challengers Bangalore,1,4,1,1,1,1,1,313,366,12,7.32,30.5,26.08,50,10,3
BA Stokes,Rajasthan Royals,196,160,13,6,122.5,16.33,12,232,303,8,8.19,37.88,29,37,9,1
Q de Kock,Royal Challengers Bangalore,201,162,20,8,124.07,25.12,8,1,1,1,1,1,1,1,1,0
RR Pant,Delhi Capitals,684,394,68,37,173.6,52.62,13,1,1,1,1,1,1,1,1,0
H Klaasen,Rajasthan Royals,57,47,5,1,121.28,19,3,1,1,1,1,1,1,1,1,0
HH Pandya,Mumbai Indians,260,195,20,11,133.33,28.89,9,270,387,18,9.07,21.5,15,42.67,13,1
P Negi,Royal Challengers Bangalore,3,5,1,1,60,1.5,2,24,49,1,12.25,1,24,4,1,0
CJ Dala,Delhi Capitals,1,1,1,1,1,1,1,19,34,1,11.33,1,1,3,1,0
LE Plunkett,Delhi Capitals,1,3,1,1,33.33,1,1,154,225,4,9,56.25,38.5,25,4,0
M Prasidh Krishna,Kolkata Night Riders,1,5,1,1,20,1,1,177,260,10,9.29,26,17.7,28,9,0
P Chopra,Rajasthan Royals,8,6,2,1,133.33,8,1,1,1,1,1,1,1,1,1,0
MK Pandey,Sunrisers Hyderbad,284,246,22,5,115.45,25.82,11,1,1,1,1,1,1,1,1,0
S Gopal,Rajasthan Royals,50,45,5,1,111.11,16.67,3,188,236,11,7.61,21.45,17.09,31,2,0
Anureet Singh,Rajasthan Royals,3,4,1,1,75,3,1,24,42,1,10.5,1,24,4,1,0
SP Narine,Kolkata Night Riders,357,188,40,23,189.89,22.31,16,371,467,17,7.66,27.47,21.82,61,5,0
Mohammad Nabi,Sunrisers Hyderbad,18,12,3,1,150,9,2,30,47,1,9.4,1,30,5,1,0
STR Binny,Rajasthan Royals,44,39,2,2,112.82,8.8,5,14,33,0,16.5,1,1,2,1,1
A Dananjaya,Mumbai Indians,4,5,1,1,80,4,1,25,47,1,11.75,1,1,4,1,0
RG Sharma,Mumbai Indians,286,214,25,12,133.64,23.83,12,1,1,1,1,1,1,1,1,0
SN Khan,Royal Challengers Bangalore,51,41,7,1,124.39,10.2,5,1,1,1,1,1,1,1,1,0
CH Gayle,Kings XI Punjab,368,252,30,27,146.03,40.89,9,1,1,1,1,1,1,1,1,0
R Vinay Kumar,Kolkata Night Riders,6,3,1,1,200,6,1,25,65,2,16.97,1,12.5,3.83,1,1
AR Patel,Kings XI Punjab,80,69,3,4,115.94,13.33,6,158,218,3,8.38,72.67,52.67,26,2,0
CH Morris,Delhi Capitals,46,26,3,2,176.92,46,1,87,146,3,10.43,48.67,29,14,3,0
AS Rajpoot,Kings XI Punjab,11,18,1,1,61.11,3.67,3,166,226,11,8.64,20.55,15.09,26.17,7,2
DT Christian,Delhi Capitals,26,32,1,1,81.25,13,2,71,104,4,8.79,26,17.75,11.83,1,0
SK Raina,Chennai Super Kings,445,335,46,12,132.84,37.08,12,1,1,1,1,1,1,1,1,0
GJ Maxwell,Delhi Capitals,169,120,14,9,140.83,14.08,12,98,132,5,8.25,26.4,19.6,16,2,0
S Lamichhane,Delhi Capitals,1,1,1,1,1,1,1,1,85,5,7.08,17,14.6,12,1,0
MA Wood,Chennai Super Kings,1,3,1,1,33.33,1,1,25,49,1,12.25,1,1,4,1,0
S Nadeem,Delhi Capitals,6,8,1,1,75,6,1,1,161,3,10.73,53.67,30.67,15,2,0
S Kaul,Sunrisers Hyderbad,3,14,1,1,21.43,1,3,402,547,21,8.29,26.05,19.14,66,5,1
JPR Scantlebury-Searles,Kolkata Night Riders,8,6,1,1,133.33,8,1,45,89,2,12.71,1,22.5,7,3,0
KL Rahul,Kings XI Punjab,659,415,66,32,158.8,54.92,12,1,1,1,1,1,1,1,1,0
KA Pollard,Mumbai Indians,133,99,10,7,134.34,19,7,1,1,1,1,1,1,1,1,0
JP Duminy,Mumbai Indians,36,40,3,1,90,36,1,18,36,1,12,1,1,3,1,0
