player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
TK Curran,Kolkata Night Riders,23,28,3,1,82.14,7.67,3,64,118,6,11.6,19.67,10.67,10.17,1,2
RK Bhui,Sunrisers Hyderbad,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
DJ Bravo,Chennai Super Kings,141,90,8,10,156.67,35.25,4,338,533,14,9.96,38.07,24.14,53.5,17,0
BCJ Cutting,Mumbai Indians,96,58,5,8,165.52,24,4,105,168,2,9.88,84,52.5,17,3,0
G Gambhir,Mumbai Indians,85,88,8,1,96.59,17,5,1,1,1,1,1,1,1,1,0
AJ Finch,Kings XI Punjab,134,100,6,8,134,16.75,8,1,1,1,1,1,1,1,1,0
RA Jadeja,Chennai Super Kings,89,74,3,4,120.27,17.8,5,250,306,11,7.46,27.82,22.73,41,4,0
TG Southee,Royal Challengers Bangalore,52,46,5,1,113.04,26,2,183,261,5,9,52.2,36.6,29,8,1
DL Chahar,Chennai Super Kings,50,29,1,4,172.41,16.67,3,248,278,10,7.28,27.8,24.8,38.17,17,2
UT Yadav,Royal Challengers Bangalore,3,11,1,1,27.27,0.75,4,331,418,20,7.86,20.9,16.55,53.17,10,2
PP Chawla,Kolkata Night Riders,27,34,1,1,79.41,6.75,4,296,415,14,8.47,29.64,21.14,49,2,0
AD Nath,Delhi Capitals,9,13,1,1,69.23,9,1,1,1,1,1,1,1,1,1,0
Sandeep Sharma,Sunrisers Hyderbad,1,4,1,1,1,1,2,273,333,12,7.57,27.75,22.75,44,9,0
KK Nair,Kings XI Punjab,301,221,23,13,136.2,25.08,12,1,1,1,1,1,1,1,1,0
Kuldeep Yadav,Kolkata Night Riders,12,24,1,1,50,12,1,312,419,17,8.16,24.65,18.35,51.33,4,0
DJM Short,Rajasthan Royals,115,99,11,5,116.16,16.43,7,18,22,1,7.33,1,18,3,1,0
K Gowtham,Rajasthan Royals,126,64,9,9,196.88,14,9,244,318,11,7.95,28.91,22.18,40,4,0
CR Woakes,Royal Challengers Bangalore,17,19,1,1,89.47,8.5,2,118,193,8,10.53,24.12,14.75,18.33,8,0
PA Patel,Royal Challengers Bangalore,153,109,20,4,140.37,30.6,5,1,1,1,1,1,1,1,1,0
MK Tiwary,Kings XI Punjab,47,44,4,1,106.82,15.67,3,7,10,1,10,1,1,1,1,0
MA Agarwal,Kings XI Punjab,120,94,9,5,127.66,12,10,1,1,1,1,1,1,1,1,0
JC Buttler,Rajasthan Royals,548,352,52,21,155.68,54.8,10,1,1,1,1,1,1,1,1,0
Mujeeb Ur Rahman,Kings XI Punjab,10,7,2,1,142.86,10,1,254,289,14,6.99,20.64,18.14,41.33,6,0
MM Ali,Royal Challengers Bangalore,77,46,4,6,167.39,19.25,4,81,97,3,7.37,32.33,27,13.17,2,0
Harbhajan Singh,Chennai Super Kings,29,35,3,1,82.86,9.67,3,193,270,7,8.48,38.57,27.57,31.83,2,0
Mohammed Siraj,Royal Challengers Bangalore,25,22,2,1,113.64,12.5,2,264,367,11,8.95,33.36,24,41,18,0
DJ Hooda,Sunrisers Hyderbad,87,81,2,3,107.41,21.75,4,19,24,1,8,1,1,3,1,0
SV Samson,Rajasthan Royals,441,319,30,19,138.24,31.5,14,1,1,1,1,1,1,1,1,0
AM Rahane,Rajasthan Royals,370,313,39,5,118.21,28.46,13,1,1,1,1,1,1,1,1,0
AJ Tye,Kings XI Punjab,32,38,2,1,84.21,5.33,6,353,451,24,8.05,18.79,14.71,56,15,2
DJ Willey,Chennai Super Kings,1,1,1,1,1,1,1,61,95,2,9.5,47.5,30.5,10,1,0
PP Shaw,Delhi Capitals,245,160,27,10,153.12,27.22,9,1,1,1,1,1,1,1,1,0
KK Ahmed,Sunrisers Hyderbad,1,1,1,1,1,1,1,19,38,1,12.67,1,1,3,1,0
R Tewatia,Delhi Capitals,50,43,5,1,116.28,16.67,3,134,173,6,7.86,28.83,22.33,22,2,0
MG Johnson,Kolkata Night Riders,16,10,2,1,160,16,1,133,216,2,10.29,108,66.5,21,7,0
Shubman Gill,Kolkata Night Riders,203,139,22,5,146.04,33.83,6,1,1,1,1,1,1,1,1,0
MK Lomror,Rajasthan Royals,20,21,1,1,95.24,20,1,18,27,1,9,1,1,3,1,0
Yuvraj Singh,Kings XI Punjab,65,73,6,2,89.04,10.83,6,13,23,1,11.5,1,1,2,1,0
KS Williamson,Sunrisers Hyderbad,735,515,64,28,142.72,52.5,14,1,1,1,1,1,1,1,1,0
B Stanlake,Sunrisers Hyderbad,5,2,1,1,250,5,1,100,130,5,8.12,26,20,16,4,0
RA Tripathi,Rajasthan Royals,226,166,18,8,136.14,25.11,9,1,1,1,1,1,1,1,1,0
CA Lynn,Kolkata Night Riders,491,377,56,18,130.24,32.73,15,1,1,1,1,1,1,1,1,0
Avesh Khan,Delhi Capitals,1,1,1,1,1,1,1,117,204,4,10.74,51,29.25,19,2,1
B Kumar,Sunrisers Hyderbad,13,16,1,1,81.25,6.5,2,286,354,9,7.67,39.33,31.78,46.17,7,2
CJ Jordan,Sunrisers Hyderbad,1,1,1,1,1,1,1,25,34,1,8.5,1,1,4,1,0
YK Pathan,Sunrisers Hyderbad,260,200,22,11,130,28.89,9,12,14,1,7,1,12,2,1,0
SP Goswami,Sunrisers Hyderbad,52,38,6,1,136.84,17.33,3,1,1,1,1,1,1,1,1,0
RK Singh,Kolkata Night Riders,29,31,4,1,93.55,7.25,4,1,1,1,1,1,1,1,1,0
V Kohli,Royal Challengers Bangalore,530,379,52,18,139.84,48.18,11,1,1,1,1,1,1,1,1,0
AB de Villiers,Royal Challengers Bangalore,480,275,39,30,174.55,53.33,9,1,1,1,1,1,1,1,1,0
CR Brathwaite,Sunrisers Hyderbad,75,48,1,8,156.25,25,3,64,94,5,9.24,18.8,12.8,10.17,3,0
JJ Bumrah,Mumbai Indians,10,10,1,1,100,10,1,333,378,17,7,22.24,19.59,54,7,2
DR Shorey,Chennai Super Kings,8,9,1,1,88.89,8,1,1,1,1,1,1,1,1,1,0
Shivam Mavi,Kolkata Night Riders,13,15,1,1,86.67,4.33,3,179,270,5,9.64,54,35.8,28,10,1
M Ashwin,Royal Challengers Bangalore,1,2,1,1,50,1,1,45,53,3,7.57,1,15,7,3,0
B Laughlin,Rajasthan Royals,1,4,1,1,25,1,1,134,211,9,10.05,23.44,14.89,21,7,1
KM Jadhav,Chennai Super Kings,24,21,1,2,114.29,24,1,1,1,1,1,1,1,1,1,0
V Shankar,Delhi Capitals,212,147,11,11,144.22,53,4,34,58,1,11.6,1,34,5,3,1
C Munro,Delhi Capitals,63,41,7,4,153.66,12.6,5,1,1,1,1,1,1,1,1,0
MP Stoinis,Kings XI Punjab,99,75,6,4,132,24.75,4,66,120,3,10.91,40,22,11,1,0
DS Kulkarni,Rajasthan Royals,6,7,1,1,85.71,6,1,126,188,4,9.48,47,31.5,19.83,7,0
Mustafizur Rahman,Mumbai Indians,1,3,1,1,33.33,1,1,167,230,7,8.36,32.86,23.86,27.5,1,2
Washington Sundar,Royal Challengers Bangalore,65,38,5,4,171.05,21.67,3,122,192,4,9.6,48,30.5,20,2,0
Ankit Sharma,Rajasthan Royals,1,1,1,1,1,1,1,6,11,1,11,1,1,1,1,0
SA Yadav,Mumbai Indians,512,384,61,16,133.33,36.57,14,1,1,1,1,1,1,1,1,0
BB McCullum,Royal Challengers Bangalore,127,87,16,6,145.98,21.17,6,1,1,1,1,1,1,1,1,0
KH Pandya,Mumbai Indians,228,157,22,10,145.22,22.8,10,246,285,12,7.09,23.75,20.5,40.17,5,0
RV Uthappa,Kolkata Night Riders,351,264,30,21,132.95,21.94,16,1,1,1,1,1,1,1,1,0
JD Unadkat,Rajasthan Royals,49,38,6,1,128.95,12.25,4,310,486,11,9.66,44.18,28.18,50.33,7,1
NV Ojha,Delhi Capitals,1,4,1,1,25,1,1,1,1,1,1,1,1,1,1,0
SR Watson,Chennai Super Kings,555,358,44,35,155.03,39.64,14,176,251,6,8.96,41.83,29.33,28,8,0
A Mishra,Delhi Capitals,1,2,1,1,50,1,1,226,264,12,7.14,22,18.83,37,4,0
AD Russell,Kolkata Night Riders,316,170,17,31,185.88,28.73,11,239,358,13,9.46,27.54,18.38,37.83,11,1
CJ Anderson,Royal Challengers Bangalore,17,22,1,1,77.27,5.67,3,56,115,3,13.26,38.33,18.67,8.67,4,0
Mandeep Singh,Royal Challengers Bangalore,252,186,16,11,135.48,25.2,10,1,1,1,1,1,1,1,1,0
KM Asif,Chennai Super Kings,1,1,1,1,1,1,1,38,75,3,12.5,1,12.67,6,2,0
SW Billings,Chennai Super Kings,108,78,8,5,138.46,13.5,8,1,1,1,1,1,1,1,1,0
Basil Thampi,Sunrisers Hyderbad,3,6,1,1,50,3,1,62,114,5,11.21,22.8,12.4,10.17,1,0
M Vohra,Royal Challengers Bangalore,55,47,2,4,117.02,13.75,4,1,1,1,1,1,1,1,1,0
F du Plessis,Chennai Super Kings,162,128,17,6,126.56,32.4,5,1,1,1,1,1,1,1,1,0
MJ McClenaghan,Mumbai Indians,11,9,1,1,122.22,5.5,2,250,335,14,8.38,23.93,17.86,40,9,1
Mohammed Shami,Delhi Capitals,7,6,1,1,116.67,7,1,85,144,3,10.41,48,28.33,13.83,2,0
Ishan Kishan,Mumbai Indians,275,184,22,17,149.46,22.92,12,1,1,1,1,1,1,1,1,0
Rashid Khan,Sunrisers Hyderbad,59,31,3,6,190.32,11.8,5,411,461,21,6.78,21.95,19.57,68,3,0
JJ Roy,Delhi Capitals,120,94,9,7,127.66,30,4,1,1,1,1,1,1,1,1,0
M Vijay,Chennai Super Kings,12,10,1,1,120,12,1,1,1,1,1,1,1,1,1,0
L Ngidi,Chennai Super Kings,1,1,1,1,1,1,1,163,157,11,6.04,14.27,14.82,26,7,0
AT Rayudu,Sunrisers Hyderbad,602,401,53,34,150.12,43,14,1,1,1,1,1,1,1,1,0
MS Dhoni,Chennai Super Kings,455,301,24,30,151.16,75.83,6,1,1,1,1,1,1,1,1,0
DA Miller,Kings XI Punjab,74,63,3,2,117.46,37,2,1,1,1,1,1,1,1,1,0
E Lewis,Mumbai Indians,382,276,32,24,138.41,29.38,13,1,1,1,1,1,1,1,1,0
Imran Tahir,Chennai Super Kings,2,2,1,1,100,2,1,126,191,6,9.24,31.83,21,20.67,2,0
SS Iyer,Delhi Capitals,411,309,29,21,133.01,37.36,11,1,1,1,1,1,1,1,1,0
Shakib Al Hasan,Sunrisers Hyderbad,239,195,26,5,122.56,21.73,11,345,456,14,8,32.57,24.64,57,3,0
