player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
J Suchith,0,0,0,0,,0,0,14,31,0,15.5,,,2,2,0,398,J Suchith,Mumbai Indians
BCJ Cutting,65,34,4,6,191.18,32.5,2,68,80,5,7.16,,13.6,11.17,1,0,385,BCJ Cutting,Sunrisers Hyderabad
KC Cariappa,13,11,0,1,118.18,13,1,105,159,3,9.35,53,35,17,2,1,422,KC Cariappa,Kings XI Punjab
Q de Kock,445,326,52,13,136.5,37.08,12,0,0,0,,,,0,0,0,355,Q de Kock,Delhi Daredevils
CA Lynn,25,22,0,1,113.64,25,1,0,0,0,,,,0,0,0,336,CA Lynn,Kolkata Knight Riders
TM Head,54,39,3,2,138.46,27,2,0,0,0,,,,0,0,0,417,TM Head,Royal Challengers Bangalore
NM Coulter-Nile,9,14,1,0,64.29,9,0,93,117,3,7.8,,31,15,1,2,371,NM Coulter-Nile,Delhi Daredevils
KJ Abbott,13,8,0,1,162.5,13,1,102,180,2,11.25,90,51,16,5,1,416,KJ Abbott,Kings XI Punjab
BB Sran,4,3,0,0,133.33,4,0,312,416,14,8.4,29.71,22.29,49.5,15,0,429,BB Sran,Sunrisers Hyderabad
DL Chahar,0,0,0,0,,0,0,33,41,0,8.2,,,5,3,0,465,DL Chahar,Rising Pune Supergiants
Anureet Singh,0,0,0,0,,0,0,38,43,0,7.17,,,6,0,2,395,Anureet Singh,Kings XI Punjab
DR Smith,324,220,35,16,147.27,29.45,11,113,153,8,8.5,19.12,14.12,18,4,1,147,DR Smith,Gujarat Lions
MK Pandey,248,183,17,9,135.52,31,8,0,0,0,,,,0,0,0,96,MK Pandey,Kolkata Knight Riders
R Dhawan,14,6,0,1,233.33,14,0,45,56,2,8,,22.5,7,3,0,356,R Dhawan,Kings XI Punjab
EJG Morgan,123,105,8,4,117.14,24.6,5,0,0,0,,,,0,0,0,216,EJG Morgan,Sunrisers Hyderabad
S Aravind,0,0,0,0,,0,0,182,219,11,7.51,19.91,16.55,29.17,7,0,270,S Aravind,Royal Challengers Bangalore
UT Yadav,9,5,0,1,180,9,1,163,240,10,9.23,24,16.3,26,5,2,232,UT Yadav,Kolkata Knight Riders
A Zampa,0,1,0,0,0,0,1,103,115,12,6.76,9.58,8.58,17,1,0,430,A Zampa,Rising Pune Supergiants
JP Faulkner,77,58,7,0,132.76,25.67,3,108,167,2,9.82,83.5,54,17,4,2,310,JP Faulkner,Gujarat Lions
AF Milne,0,0,0,0,,0,0,25,43,1,10.75,,25,4,1,0,461,AF Milne,Royal Challengers Bangalore
Parvez Rasool,10,9,1,0,111.11,10,1,84,129,1,9.21,,84,14,0,0,366,Parvez Rasool,Royal Challengers Bangalore
SB Jakati,1,2,0,0,50,1,0,123,178,2,8.9,89,61.5,20,2,1,186,SB Jakati,Gujarat Lions
S Ladda,0,0,0,0,,0,0,12,21,0,10.5,,,2,0,0,222,S Ladda,Gujarat Lions
YK Pathan,361,248,33,13,145.56,72.2,5,38,33,1,5.5,,38,6,2,0,31,YK Pathan,Kolkata Knight Riders
KL Rahul,397,271,37,16,146.49,44.11,9,0,0,0,,,,0,0,0,354,KL Rahul,Royal Challengers Bangalore
MM Sharma,32,26,3,1,123.08,8,4,304,407,13,8.39,31.31,23.38,48.5,13,0,364,MM Sharma,Kings XI Punjab
MR Marsh,7,11,0,0,63.64,7,1,55,45,4,5,,13.75,9,1,0,253,MR Marsh,Rising Pune Supergiants
PA Patel,177,151,23,4,117.22,17.7,10,0,0,0,,,,0,0,0,17,PA Patel,Mumbai Indians
SP Narine,7,13,0,0,53.85,7,1,262,306,11,7.17,27.82,23.82,42.67,6,0,315,SP Narine,Kolkata Knight Riders
SV Samson,291,258,20,8,112.79,26.45,11,0,0,0,,,,0,0,0,351,SV Samson,Delhi Daredevils
AR Patel,111,77,4,8,144.16,15.86,7,294,388,13,8.11,29.85,22.62,47.83,7,0,374,AR Patel,Kings XI Punjab
DW Steyn,1,2,0,0,50,1,1,13,17,0,8.5,,,2,1,0,94,DW Steyn,Gujarat Lions
KK Nair,357,295,40,6,121.02,35.7,10,0,0,0,,,,0,0,0,339,KK Nair,Delhi Daredevils
JP Duminy,191,155,13,3,123.23,38.2,5,43,55,2,7.86,,21.5,7,1,0,154,JP Duminy,Delhi Daredevils
CH Gayle,227,150,17,21,151.33,22.7,10,65,63,2,6.3,,32.5,10,4,1,162,CH Gayle,Royal Challengers Bangalore
LMP Simmons,8,8,0,1,100,8,1,0,0,0,,,,0,0,0,383,LMP Simmons,Mumbai Indians
D Wiese,5,4,0,0,125,5,0,27,49,0,12.25,,,4,2,1,401,D Wiese,Royal Challengers Bangalore
MG Johnson,5,14,0,0,35.71,2.5,2,69,107,2,9.73,,34.5,11,2,1,357,MG Johnson,Kings XI Punjab
SK Raina,399,312,39,10,127.88,28.5,14,61,82,0,8.2,,,10,1,0,21,SK Raina,Gujarat Lions
GB Hogg,0,0,0,0,,0,0,98,142,4,8.88,,24.5,16,2,0,316,GB Hogg,Kolkata Knight Riders
AS Rajpoot,0,0,0,0,,0,0,72,98,3,8.91,,24,11,5,1,344,AS Rajpoot,Kolkata Knight Riders
C Munro,30,30,3,0,100,10,3,12,15,0,7.5,,,2,0,0,411,C Munro,Kolkata Knight Riders
R Ashwin,41,38,3,1,107.89,20.5,2,278,319,10,7.25,31.9,27.8,44,14,0,201,R Ashwin,Rising Pune Supergiants
MA Agarwal,27,25,3,1,108,9,3,0,0,0,,,,0,0,0,260,MA Agarwal,Delhi Daredevils
Swapnil Singh,0,1,0,0,0,0,1,18,29,0,9.67,,,3,0,0,424,Swapnil Singh,Kings XI Punjab
JD Unadkat,0,0,0,0,,0,0,19,49,0,16.33,,,3,1,0,346,JD Unadkat,Kolkata Knight Riders
RV Uthappa,394,288,45,8,136.81,26.27,15,0,0,0,,,,0,0,0,46,RV Uthappa,Kolkata Knight Riders
P Sahu,19,13,1,1,146.15,19,1,107,149,3,8.51,49.67,35.67,17.5,2,0,412,P Sahu,Kings XI Punjab
TG Southee,30,18,1,2,166.67,10,3,268,329,9,7.65,36.56,29.78,43,10,0,377,TG Southee,Mumbai Indians
G Gambhir,501,411,54,6,121.9,38.54,13,0,0,0,,,,0,0,0,40,G Gambhir,Kolkata Knight Riders
NV Ojha,136,138,7,5,98.55,13.6,10,0,0,0,,,,0,0,0,183,NV Ojha,Sunrisers Hyderabad
Imran Tahir,5,7,1,0,71.43,5,1,97,138,5,8.62,,19.4,16,1,0,386,Imran Tahir,Delhi Daredevils
RR Pant,198,152,19,6,130.26,24.75,8,0,0,0,,,,0,0,0,420,RR Pant,Delhi Daredevils
M Vijay,453,364,50,10,124.45,34.85,13,7,8,0,8,,,1,1,0,185,M Vijay,Kings XI Punjab
MJ McClenaghan,34,23,2,3,147.83,11.33,3,332,439,17,8.23,25.82,19.53,53.33,11,1,403,MJ McClenaghan,Mumbai Indians
STR Binny,63,39,5,4,161.54,15.75,4,104,134,1,7.88,134,104,17,2,0,255,STR Binny,Royal Challengers Bangalore
S Dhawan,501,427,51,8,117.33,38.54,13,0,0,0,,,,0,0,0,42,S Dhawan,Sunrisers Hyderabad
MP Stoinis,146,108,13,4,135.19,36.5,4,140,198,8,8.61,24.75,17.5,23,2,0,409,MP Stoinis,Kings XI Punjab
SR Watson,179,134,14,12,133.58,13.77,13,360,486,20,8.6,24.3,18,56.5,20,1,32,SR Watson,Royal Challengers Bangalore
JO Holder,22,19,2,1,115.79,5.5,4,83,103,2,7.92,,41.5,13,4,1,391,JO Holder,Kolkata Knight Riders
KS Williamson,124,122,14,0,101.64,20.67,6,6,7,0,7,,,1,0,0,396,KS Williamson,Sunrisers Hyderabad
Sachin Baby,119,77,9,5,154.55,29.75,4,10,8,2,4.79,,5,1.67,0,0,369,Sachin Baby,Royal Challengers Bangalore
IK Pathan,11,13,0,0,84.62,3.67,3,48,61,0,7.62,,,8,0,0,29,IK Pathan,Rising Pune Supergiants
AD Nath,20,27,1,0,74.07,6.67,3,0,0,0,,,,0,0,0,414,AD Nath,Gujarat Lions
Ishan Kishan,42,41,5,0,102.44,8.4,5,0,0,0,,,,0,0,0,410,Ishan Kishan,Gujarat Lions
RA Jadeja,191,175,14,4,109.14,21.22,9,247,312,8,7.77,39,30.88,40.17,5,1,35,RA Jadeja,Gujarat Lions
Sandeep Sharma,8,9,0,0,88.89,8,0,309,369,15,7.38,24.6,20.6,50,9,0,367,Sandeep Sharma,Kings XI Punjab
NS Naik,23,31,1,0,74.19,11.5,2,0,0,0,,,,0,0,0,419,NS Naik,Kings XI Punjab
R Sathish,24,24,1,1,100,8,3,38,59,1,9.83,,38,6,2,0,209,R Sathish,Kolkata Knight Riders
YS Chahal,0,0,0,0,,0,0,308,404,21,8.22,19.24,14.67,49.17,12,1,382,YS Chahal,Royal Challengers Bangalore
R Bhatia,34,20,1,2,170,34,1,208,244,6,7.18,40.67,34.67,34,3,1,89,R Bhatia,Rising Pune Supergiants
V Kohli,973,637,84,38,152.75,81.08,12,8,13,0,13,,,1,0,2,8,V Kohli,Royal Challengers Bangalore
N Rana,104,74,7,8,140.54,34.67,3,6,3,0,3,,,1,0,0,431,N Rana,Mumbai Indians
Iqbal Abdulla,37,26,4,1,142.31,37,0,155,213,6,8.52,35.5,25.83,25,5,0,140,Iqbal Abdulla,Royal Challengers Bangalore
AB de Villiers,687,405,57,37,169.63,52.85,13,0,0,0,,,,0,0,0,110,AB de Villiers,Royal Challengers Bangalore
S Gopal,2,16,0,0,12.5,2,1,18,18,0,6,,,3,0,0,388,S Gopal,Mumbai Indians
PV Tambe,7,18,1,0,38.89,7,0,97,143,5,8.94,,19.4,16,1,0,370,PV Tambe,Gujarat Lions
Bipul Sharma,51,25,1,5,204,25.5,2,84,122,3,8.71,,28,14,0,0,228,Bipul Sharma,Sunrisers Hyderabad
KD Karthik,335,266,38,3,125.94,25.77,13,0,0,0,,,,0,0,0,88,KD Karthik,Gujarat Lions
JA Morkel,16,9,0,2,177.78,16,1,34,66,2,13.2,,17,5,4,0,109,JA Morkel,Rising Pune Supergiants
KP Pietersen,73,61,4,3,119.67,24.33,3,0,0,0,,,,0,0,0,158,KP Pietersen,Rising Pune Supergiants
UT Khawaja,127,99,14,3,128.28,21.17,6,0,0,0,,,,0,0,0,426,UT Khawaja,Rising Pune Supergiants
PSP Handscomb,6,12,0,0,50,6,1,0,0,0,,,,0,0,0,423,PSP Handscomb,Rising Pune Supergiants
SM Boland,0,0,0,0,,0,0,43,55,2,7.86,,21.5,7,1,0,464,SM Boland,Rising Pune Supergiants
P Negi,57,59,2,3,96.61,28.5,2,54,84,1,9.33,,54,9,0,0,322,P Negi,Delhi Daredevils
B Kumar,43,27,6,1,159.26,7.17,6,414,490,23,7.42,21.3,18,66,17,1,299,B Kumar,Sunrisers Hyderabad
KM Jadhav,42,31,2,2,135.48,42,0,0,0,0,,,,0,0,0,237,KM Jadhav,Royal Challengers Bangalore
CR Brathwaite,83,38,6,8,218.42,13.83,6,143,190,7,8.2,27.14,20.43,23.17,1,3,408,CR Brathwaite,Delhi Daredevils
S Nadeem,1,5,0,0,20,1,0,91,127,2,8.47,,45.5,15,1,0,293,S Nadeem,Delhi Daredevils
DA Miller,161,130,11,4,123.85,16.1,10,0,0,0,,,,0,0,0,320,DA Miller,Kings XI Punjab
SE Marsh,159,134,13,4,118.66,31.8,5,0,0,0,,,,0,0,0,100,SE Marsh,Kings XI Punjab
JJ Bumrah,8,11,1,0,72.73,8,1,322,406,15,7.81,27.07,21.47,52,6,4,375,JJ Bumrah,Mumbai Indians
CH Morris,195,109,15,12,178.9,65,3,274,311,13,7.07,23.92,21.08,44,9,1,350,CH Morris,Delhi Daredevils
SS Iyer,30,43,2,1,69.77,5,6,0,0,0,,,,0,0,0,393,SS Iyer,Delhi Daredevils
BB McCullum,354,262,38,16,135.11,22.12,16,0,0,0,,,,0,0,0,2,BB McCullum,Gujarat Lions
PP Chawla,27,26,4,0,103.85,9,3,216,273,11,7.73,24.82,19.64,35.33,3,1,67,PP Chawla,Kolkata Knight Riders
A Nehra,1,1,0,0,100,1,0,161,199,9,7.65,22.11,17.89,26,5,0,73,A Nehra,Sunrisers Hyderabad
MJ Guptill,57,55,3,3,103.64,19,3,0,0,0,,,,0,0,0,415,MJ Guptill,Mumbai Indians
MS Dhoni,284,210,18,14,135.24,40.57,7,0,0,0,,,,0,0,0,20,MS Dhoni,Rising Pune Supergiants
J Yadav,6,10,0,0,60,3,2,104,125,2,7.35,62.5,52,17,2,0,425,J Yadav,Delhi Daredevils
HM Amla,157,119,20,4,131.93,26.17,6,0,0,0,,,,0,0,0,427,HM Amla,Kings XI Punjab
Gurkeerat Singh,113,86,11,3,131.4,22.6,5,26,31,2,7.75,,13,4,2,0,329,Gurkeerat Singh,Kings XI Punjab
AD Russell,188,114,10,15,164.91,26.86,7,224,294,15,8.05,19.6,14.93,36.5,5,0,334,AD Russell,Kolkata Knight Riders
Z Khan,6,13,1,0,46.15,3,2,271,340,10,7.79,34,27.1,43.67,9,0,15,Z Khan,Delhi Daredevils
WP Saha,270,212,29,1,127.36,24.55,11,0,0,0,,,,0,0,0,62,WP Saha,Kings XI Punjab
Harbhajan Singh,92,84,11,2,109.52,30.67,3,300,395,9,8.06,43.89,33.33,49,6,0,50,Harbhajan Singh,Mumbai Indians
R Vinay Kumar,13,12,0,1,108.33,13,1,57,64,3,7.11,,19,9,3,0,81,R Vinay Kumar,Mumbai Indians
AB Dinda,0,0,0,0,,0,0,192,234,11,7.67,21.27,17.45,30.5,8,1,106,AB Dinda,Rising Pune Supergiants
JW Hastings,0,0,0,0,,0,0,42,37,2,5.55,,21,6.67,2,0,457,JW Hastings,Kolkata Knight Riders
VR Aaron,0,0,0,0,,0,0,155,227,2,9.59,113.5,77.5,23.67,11,2,296,VR Aaron,Royal Challengers Bangalore
AP Tare,8,15,1,0,53.33,4,2,0,0,0,,,,0,0,0,207,AP Tare,Sunrisers Hyderabad
SA Yadav,182,141,18,5,129.08,26,7,0,0,0,,,,0,0,0,308,SA Yadav,Kolkata Knight Riders
AM Rahane,480,378,54,9,126.98,43.64,11,0,0,0,,,,0,0,0,85,AM Rahane,Rising Pune Supergiants
KH Pandya,237,124,22,13,191.13,39.5,6,194,236,6,7.57,39.33,32.33,31.17,7,0,413,KH Pandya,Mumbai Indians
F du Plessis,206,162,17,9,127.16,34.33,6,0,0,0,,,,0,0,0,303,F du Plessis,Rising Pune Supergiants
DJ Bravo,99,82,11,1,120.73,12.38,8,348,497,17,8.88,29.24,20.47,56,11,1,71,DJ Bravo,Gujarat Lions
AT Rayudu,334,277,28,12,120.58,30.36,11,0,0,0,,,,0,0,0,208,AT Rayudu,Mumbai Indians
M Vohra,161,131,19,3,122.9,23,7,0,0,0,,,,0,0,0,345,M Vohra,Kings XI Punjab
DA Warner,848,558,88,31,151.97,60.57,14,0,0,0,,,,0,0,0,187,DA Warner,Sunrisers Hyderabad
DJ Hooda,144,119,9,5,121.01,10.29,14,80,97,3,7.46,,26.67,13,2,0,394,DJ Hooda,Sunrisers Hyderabad
Kuldeep Yadav,0,0,0,0,,0,0,74,100,6,8.33,,12.33,12,2,0,462,Kuldeep Yadav,Kolkata Knight Riders
KA Pollard,207,144,11,16,143.75,25.88,8,37,81,0,13.5,,,6,1,0,221,KA Pollard,Mumbai Indians
GJ Maxwell,179,124,14,8,144.35,19.89,9,55,80,0,8.89,,,9,1,0,305,GJ Maxwell,Kings XI Punjab
Ankit Sharma,3,3,0,0,100,3,0,70,84,1,7.64,,70,11,4,0,314,Ankit Sharma,Rising Pune Supergiants
F Behardien,14,13,2,0,107.69,7,2,0,0,0,,,,0,0,0,428,F Behardien,Kings XI Punjab
AJ Finch,393,297,45,11,132.32,39.3,10,0,0,0,,,,0,0,0,254,AJ Finch,Gujarat Lions
M Morkel,1,1,0,0,100,1,0,220,297,10,8.37,29.7,22,35.5,5,2,190,M Morkel,Kolkata Knight Riders
Shakib Al Hasan,114,106,7,5,107.55,22.8,5,190,244,5,7.87,48.8,38,31,4,0,276,Shakib Al Hasan,Kolkata Knight Riders
RG Sharma,489,366,49,17,133.61,44.45,11,0,0,0,,,,0,0,0,57,RG Sharma,Mumbai Indians
Mustafizur Rahman,0,0,0,0,,0,0,376,421,17,6.9,24.76,22.12,61,10,0,460,Mustafizur Rahman,Sunrisers Hyderabad
NLTC Perera,150,92,7,11,163.04,21.43,7,202,326,9,9.83,36.22,22.44,33.17,3,0,280,NLTC Perera,Rising Pune Supergiants
A Ashish Reddy,47,29,2,4,162.07,23.5,2,23,39,1,10.18,,23,3.83,0,0,325,A Ashish Reddy,Sunrisers Hyderabad
SN Khan,66,31,7,4,212.9,33,2,0,0,0,,,,0,0,0,402,SN Khan,Royal Challengers Bangalore
RP Singh,0,0,0,0,,0,0,76,111,3,9.25,,25.33,12,3,1,61,RP Singh,Rising Pune Supergiants
P Kumar,24,26,3,0,92.31,6,4,319,401,9,7.79,44.56,35.44,51.5,10,0,14,P Kumar,Gujarat Lions
MC Henriques,182,157,15,6,115.92,15.17,12,318,416,12,8,34.67,26.5,52,6,0,163,MC Henriques,Sunrisers Hyderabad
S Kaushik,0,1,0,0,0,0,1,142,192,6,8.35,32,23.67,23,3,1,432,S Kaushik,Gujarat Lions
