player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
MM Patel,2,7,0,0,28.57,2,0,288,370,15,7.93,24.67,19.2,46.67,4,4,126,MM Patel,Mumbai Indians
LJ Wright,0,0,0,0,,0,0,12,24,0,12,,,2,0,0,358,LJ Wright,Pune Warriors
CA Lynn,6,9,1,0,66.67,6,1,0,0,0,,,,0,0,0,336,CA Lynn,Deccan Chargers
R Sharma,2,11,0,0,18.18,0.5,4,224,303,9,8.19,33.67,24.89,37,2,0,235,R Sharma,Pune Warriors
SP Goswami,69,67,4,1,102.99,13.8,5,0,0,0,,,,0,0,0,132,SP Goswami,Rajasthan Royals
M Kartik,26,21,1,1,123.81,26,0,225,266,4,7.39,66.5,56.25,36,8,1,83,M Kartik,Pune Warriors
TL Suman,15,19,1,1,78.95,7.5,2,0,0,0,,,,0,0,0,178,TL Suman,Mumbai Indians
V Sehwag,495,307,57,19,161.24,33,15,24,45,0,11.25,,,4,0,0,41,V Sehwag,Delhi Daredevils
TM Dilshan,285,259,33,5,110.04,35.62,8,44,77,0,11,,,7,2,0,135,TM Dilshan,Royal Challengers Bangalore
KC Sangakkara,200,183,21,4,109.29,18.18,11,0,0,0,,,,0,0,0,26,KC Sangakkara,Deccan Chargers
AA Jhunjhunwala,24,26,1,1,92.31,12,2,36,38,1,6.33,,36,6,0,0,211,AA Jhunjhunwala,Deccan Chargers
DL Vettori,31,26,3,1,119.23,7.75,4,212,236,5,6.74,47.2,42.4,35,2,0,175,DL Vettori,Royal Challengers Bangalore
BA Bhatt,6,2,0,1,300,6,0,100,139,2,8.42,,50,16.5,0,1,302,BA Bhatt,Kings XI Punjab
M Manhas,120,96,10,4,125,30,4,0,0,0,,,,0,0,0,171,M Manhas,Pune Warriors
DR Smith,157,97,18,7,161.86,39.25,4,79,96,2,7.38,,39.5,13,0,1,147,DR Smith,Mumbai Indians
LRPL Taylor,197,171,12,7,115.2,19.7,10,0,0,0,,,,0,0,0,52,LRPL Taylor,Delhi Daredevils
MK Pandey,143,110,12,6,130,20.43,7,0,0,0,,,,0,0,0,96,MK Pandey,Pune Warriors
DE Bollinger,3,5,0,0,60,3,1,113,157,8,8.72,19.62,14.12,18,5,0,248,DE Bollinger,Chennai Super Kings
S Aravind,14,8,3,0,175,14,0,18,48,0,16,,,3,0,0,270,S Aravind,Royal Challengers Bangalore
JD Ryder,256,211,23,8,121.33,25.6,10,43,73,1,10.43,,43,7,1,0,157,JD Ryder,Pune Warriors
UT Yadav,2,7,0,0,28.57,1,2,383,453,19,7.43,23.84,20.16,61,14,3,232,UT Yadav,Delhi Daredevils
JP Faulkner,14,13,0,0,107.69,14,1,49,72,3,9,,16.33,8,1,0,310,JP Faulkner,Kings XI Punjab
HH Gibbs,81,88,8,2,92.05,40.5,2,0,0,0,,,,0,0,0,97,HH Gibbs,Mumbai Indians
K Upadhyay,11,8,0,1,137.5,11,0,24,33,0,8.25,,,4,0,0,332,K Upadhyay,Pune Warriors
CJ Ferguson,50,63,3,0,79.37,12.5,4,0,0,0,,,,0,0,0,295,CJ Ferguson,Pune Warriors
SB Jakati,7,12,0,0,58.33,7,0,248,336,9,8.2,37.33,27.56,41,2,0,186,SB Jakati,Chennai Super Kings
YK Pathan,194,166,10,7,116.87,19.4,10,137,182,3,8.27,60.67,45.67,22,5,0,31,YK Pathan,Kolkata Knight Riders
AG Murtaza,3,5,0,0,60,3,0,12,11,0,5.5,,,2,0,0,286,AG Murtaza,Pune Warriors
PA Patel,194,164,19,4,118.29,17.64,11,0,0,0,,,,0,0,0,17,PA Patel,Deccan Chargers
SP Narine,9,7,2,0,128.57,9,1,357,327,24,5.53,13.62,14.88,59.17,2,0,315,SP Narine,Kolkata Knight Riders
S Anirudha,19,6,1,2,316.67,19,0,0,0,0,,,,0,0,0,125,S Anirudha,Chennai Super Kings
DW Steyn,19,21,0,1,90.48,3.8,5,289,285,18,6.11,15.83,16.06,46.67,8,1,94,DW Steyn,Deccan Chargers
JP Duminy,244,190,13,11,128.42,81.33,3,78,104,1,8.67,,78,12,6,0,154,JP Duminy,Deccan Chargers
CH Gayle,733,451,46,59,162.53,61.08,12,30,66,0,14.13,,,4.67,2,0,162,CH Gayle,Royal Challengers Bangalore
AM Nayar,45,49,2,1,91.84,15,3,6,16,0,16,,,1,0,0,48,AM Nayar,Kings XI Punjab
DJ Harris,111,101,11,5,109.9,27.75,4,18,26,0,8.67,,,3,0,0,313,DJ Harris,Deccan Chargers
