player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
BCJ Cutting,51,26,5,3,196.15,25.5,2,79,123,1,9.71,,79,12.67,3,0,385,BCJ Cutting,Sunrisers Hyderabad
KC Cariappa,2,7,0,0,28.57,1,2,94,127,4,8.47,,23.5,15,3,1,422,KC Cariappa,Kings XI Punjab
MM Patel,0,1,0,0,0,0,1,42,57,1,8.14,,42,7,0,0,126,MM Patel,Gujarat Lions
CA Lynn,295,161,25,19,183.23,49.17,6,0,0,0,,,,0,0,0,336,CA Lynn,Kolkata Knight Riders
CJ Anderson,142,122,8,9,116.39,20.29,7,121,186,3,9.88,62,40.33,18.83,8,0,372,CJ Anderson,Delhi Daredevils
TM Head,151,108,9,6,139.81,30.2,5,48,81,2,10.12,,24,8,0,0,417,TM Head,Royal Challengers Bangalore
NM Coulter-Nile,14,12,0,2,116.67,4.67,3,178,228,15,8.05,15.2,11.87,28.33,5,3,371,NM Coulter-Nile,Kolkata Knight Riders
BB Sran,0,0,0,0,,0,0,13,29,0,14.5,,,2,1,0,429,BB Sran,Sunrisers Hyderabad
DL Chahar,14,6,0,2,233.33,14,1,44,74,1,10.57,,44,7,2,0,465,DL Chahar,Rising Pune Supergiants
Anureet Singh,15,12,2,0,125,15,1,12,26,0,13,,,2,0,0,395,Anureet Singh,Kings XI Punjab
DR Smith,239,156,32,8,153.21,21.73,11,82,148,2,11.38,,41,13,4,0,147,DR Smith,Gujarat Lions
MK Pandey,396,306,28,12,129.41,49.5,8,0,0,0,,,,0,0,0,96,MK Pandey,Kolkata Knight Riders
S Aravind,32,40,2,0,80,8,4,190,275,5,9.02,55,38,30.5,6,1,270,S Aravind,Royal Challengers Bangalore
EJG Morgan,65,62,6,2,104.84,16.25,4,0,0,0,,,,0,0,0,216,EJG Morgan,Kings XI Punjab
