player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
LJ Wright,106,59,16,3,179.66,21.2,5,63,100,2,10.17,,31.5,9.83,4,0,358,LJ Wright,Pune Warriors
MM Patel,0,0,0,0,,0,0,91,137,3,9.13,,30.33,15,1,0,126,MM Patel,Mumbai Indians
JDP Oram,0,0,0,0,,0,0,26,25,0,6.25,,,4,2,0,22,JDP Oram,Mumbai Indians
Q de Kock,6,15,1,0,40,2,3,0,0,0,,,,0,0,0,355,Q de Kock,Sunrisers Hyderabad
SMSM Senanayake,10,16,0,0,62.5,10,1,195,209,9,6.53,23.22,21.67,32,3,0,352,SMSM Senanayake,Kolkata Knight Riders
TL Suman,52,58,8,0,89.66,10.4,5,12,15,1,7.5,,12,2,0,0,178,TL Suman,Pune Warriors
R Sharma,11,17,1,0,64.71,2.75,4,247,281,9,6.85,31.22,27.44,41,1,0,235,R Sharma,Pune Warriors
M Kartik,0,1,0,0,0,0,1,215,260,9,7.43,28.89,23.89,35,5,0,83,M Kartik,Royal Challengers Bangalore
NM Coulter-Nile,9,6,0,1,150,9,1,25,29,1,7.25,,25,4,1,0,371,NM Coulter-Nile,Mumbai Indians
R McLaren,3,6,0,0,50,1.5,2,46,94,3,13.43,,15.33,7,4,0,210,R McLaren,Kolkata Knight Riders
V Sehwag,270,207,37,6,130.43,24.55,11,6,9,0,9,,,1,0,0,41,V Sehwag,Delhi Daredevils
TM Dilshan,71,83,12,0,85.54,17.75,4,0,0,0,,,,0,0,0,135,TM Dilshan,Royal Challengers Bangalore
KC Sangakkara,104,119,12,0,87.39,13,8,0,0,0,,,,0,0,0,26,KC Sangakkara,Sunrisers Hyderabad
BA Bhatt,0,0,0,0,,0,0,31,32,1,6.4,,31,5,1,0,302,BA Bhatt,Kings XI Punjab
M Manhas,13,17,1,0,76.47,13,0,0,0,0,,,,0,0,0,171,M Manhas,Pune Warriors
DR Smith,418,340,40,19,122.94,32.15,13,32,59,2,11.8,,16,5,0,2,147,DR Smith,Mumbai Indians
LRPL Taylor,63,76,2,1,82.89,12.6,5,0,0,0,,,,0,0,0,52,LRPL Taylor,Pune Warriors
MK Pandey,136,137,11,3,99.27,22.67,6,0,0,0,,,,0,0,0,96,MK Pandey,Pune Warriors
