player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
R Dhawan,21,21,3,0,100,7,3,95,112,2,7.47,,47.5,15,3,2,356,R Dhawan,Mumbai Indians
BMAJ Mendis,23,27,0,0,85.19,7.67,3,30,36,1,7.2,,30,5,0,0,348,BMAJ Mendis,Delhi Daredevils
EJG Morgan,307,240,28,13,127.92,27.91,11,0,0,0,,,,0,0,0,216,EJG Morgan,Kolkata Knight Riders
UT Yadav,38,38,3,1,100,38,1,339,487,14,9.05,34.79,24.21,53.83,15,1,232,UT Yadav,Delhi Daredevils
JP Faulkner,57,57,5,2,100,11.4,5,395,427,28,6.76,15.25,14.11,63.17,16,0,310,JP Faulkner,Rajasthan Royals
Parvez Rasool,5,9,0,0,55.56,5,1,30,28,1,5.6,,30,5,0,0,366,Parvez Rasool,Pune Warriors
K Upadhyay,1,1,0,0,100,1,0,32,48,0,9.6,,,5,2,0,332,K Upadhyay,Pune Warriors
S Ladda,0,0,0,0,,0,0,12,18,1,9,,12,2,0,0,222,S Ladda,Kolkata Knight Riders
YK Pathan,332,239,30,15,138.91,30.18,11,55,73,1,8.11,,55,9,1,0,31,YK Pathan,Kolkata Knight Riders
KL Rahul,8,4,2,0,200,8,1,0,0,0,,,,0,0,0,354,KL Rahul,Royal Challengers Bangalore
MM Sharma,0,5,0,0,0,0,1,311,326,20,6.43,16.3,15.55,50.67,7,0,364,MM Sharma,Chennai Super Kings
MR Marsh,140,106,6,10,132.08,20,7,122,182,7,9.42,26,17.43,19.33,5,1,253,MR Marsh,Pune Warriors
AG Murtaza,5,4,1,0,125,5,1,62,94,3,9.4,,20.67,10,2,0,286,AG Murtaza,Pune Warriors
PA Patel,292,251,37,4,116.33,24.33,12,0,0,0,,,,0,0,0,17,PA Patel,Sunrisers Hyderabad
SP Narine,21,19,0,2,110.53,7,3,387,350,22,5.47,15.91,17.59,64,3,0,315,SP Narine,Kolkata Knight Riders
SV Samson,206,178,19,5,115.73,25.75,8,0,0,0,,,,0,0,0,351,SV Samson,Rajasthan Royals
A Mukund,19,21,1,0,90.48,19,1,0,0,0,,,,0,0,0,152,A Mukund,Royal Challengers Bangalore
DW Steyn,50,33,5,2,151.52,25,2,393,350,18,5.48,19.44,21.83,63.83,10,0,94,DW Steyn,Sunrisers Hyderabad
KK Nair,0,3,0,0,0,0,1,0,0,0,,,,0,0,0,339,KK Nair,Royal Challengers Bangalore
S Anirudha,0,2,0,0,0,0,1,0,0,0,,,,0,0,0,125,S Anirudha,Chennai Super Kings
CH Gayle,694,437,57,49,158.81,69.4,10,25,40,3,10,,8.33,4,1,0,162,CH Gayle,Royal Challengers Bangalore
AM Nayar,66,73,5,0,90.41,11,6,50,59,2,7.38,,25,8,2,0,48,AM Nayar,Pune Warriors
VS Malik,0,0,0,0,,0,0,61,59,2,5.9,,30.5,10,1,0,243,VS Malik,Rajasthan Royals
P Suyal,0,0,0,0,,0,0,19,21,1,7,,19,3,1,0,453,P Suyal,Mumbai Indians
SR Tendulkar,287,231,39,5,124.24,20.5,14,0,0,0,,,,0,0,0,133,SR Tendulkar,Mumbai Indians
MG Johnson,39,36,2,2,108.33,9.75,4,403,463,24,7.23,19.29,16.79,64,19,0,357,MG Johnson,Mumbai Indians
SK Raina,548,364,50,18,150.55,42.15,13,12,23,1,11.5,,12,2,0,0,21,SK Raina,Chennai Super Kings
A Mithun,2,2,0,0,100,2,1,25,37,1,9.25,,25,4,1,0,244,A Mithun,Royal Challengers Bangalore
GB Hogg,0,0,0,0,,0,0,21,31,0,9.31,,,3.33,1,0,316,GB Hogg,Rajasthan Royals
Mandeep Singh,260,223,36,0,116.59,20,13,0,0,0,,,,0,0,0,236,Mandeep Singh,Kings XI Punjab
KK Cooper,39,22,4,2,177.27,9.75,4,341,450,19,8.33,23.68,17.95,54,17,0,309,KK Cooper,Rajasthan Royals
AS Rajpoot,2,6,0,0,33.33,2,0,25,35,1,8.75,,25,4,1,0,344,AS Rajpoot,Chennai Super Kings
DJG Sammy,174,132,11,10,131.82,29,6,138,168,8,7.52,21,17.25,22.33,3,1,362,DJG Sammy,Sunrisers Hyderabad
RV Gomez,4,1,1,0,400,4,0,6,5,0,5,,,1,0,0,259,RV Gomez,Pune Warriors
R Ashwin,35,49,4,0,71.43,8.75,4,354,391,15,6.74,26.07,23.6,58,6,0,201,R Ashwin,Chennai Super Kings
MA Agarwal,60,54,6,3,111.11,15,4,0,0,0,,,,0,0,0,260,MA Agarwal,Royal Challengers Bangalore
JD Unadkat,1,1,0,0,100,1,0,248,322,9,7.85,35.78,27.56,41,2,0,346,JD Unadkat,Royal Challengers Bangalore
RV Uthappa,434,368,42,12,117.93,27.12,16,0,0,0,,,,0,0,0,46,RV Uthappa,Pune Warriors
UA Birla,7,14,1,0,50,7,1,0,0,0,,,,0,0,0,365,UA Birla,Pune Warriors
J Syed Mohammad,9,11,1,0,81.82,9,1,50,78,3,9.75,,16.67,8,2,0,283,J Syed Mohammad,Royal Challengers Bangalore
G Gambhir,406,342,51,5,118.71,25.38,16,0,0,0,,,,0,0,0,40,G Gambhir,Kolkata Knight Riders
NV Ojha,9,10,1,0,90,9,1,0,0,0,,,,0,0,0,183,NV Ojha,Delhi Daredevils
R Shukla,1,2,0,0,50,1,0,53,79,3,9.88,,17.67,8,5,0,342,R Shukla,Rajasthan Royals
MK Tiwary,146,140,12,1,104.29,18.25,8,0,0,0,,,,0,0,0,87,MK Tiwary,Kolkata Knight Riders
DPMD Jayawardene,303,281,37,6,107.83,21.64,14,0,0,0,,,,0,0,0,64,DPMD Jayawardene,Delhi Daredevils
MS Gony,45,25,4,3,180,11.25,4,175,259,7,9.25,37,25,28,6,1,120,MS Gony,Kings XI Punjab
PA Reddy,68,80,7,0,85,11.33,6,0,0,0,,,,0,0,0,331,PA Reddy,Sunrisers Hyderabad
B Laughlin,4,9,0,0,44.44,4,1,45,71,1,10.14,,45,7,3,0,343,B Laughlin,Chennai Super Kings
M Vijay,312,286,27,8,109.09,22.29,14,0,0,0,,,,0,0,0,185,M Vijay,Chennai Super Kings
STR Binny,293,199,25,12,147.24,32.56,9,149,162,6,6.75,27,24.83,24,5,0,255,STR Binny,Rajasthan Royals
DB Ravi Teja,14,17,0,0,82.35,14,1,0,0,0,,,,0,0,0,112,DB Ravi Teja,Sunrisers Hyderabad
LA Pomersbach,58,59,5,1,98.31,29,2,0,0,0,,,,0,0,0,139,LA Pomersbach,Kings XI Punjab
S Dhawan,311,253,37,5,122.92,38.88,8,0,0,0,,,,0,0,0,42,S Dhawan,Sunrisers Hyderabad
SR Watson,543,378,59,22,143.65,38.79,14,256,306,13,7.34,23.54,19.69,41.67,6,0,32,SR Watson,Rajasthan Royals
JO Holder,0,0,0,0,,0,0,125,171,2,8.55,85.5,62.5,20,5,0,391,JO Holder,Chennai Super Kings
Harmeet Singh,3,4,0,0,75,3,1,96,121,6,7.89,,16,15.33,3,1,256,Harmeet Singh,Rajasthan Royals
GH Vihari,197,231,15,1,85.28,14.07,14,31,33,0,6.6,,,5,1,0,340,GH Vihari,Sunrisers Hyderabad
Sachin Baby,3,7,0,0,42.86,3,1,0,0,0,,,,0,0,0,369,Sachin Baby,Rajasthan Royals
MDKJ Perera,14,13,3,0,107.69,7,2,0,0,0,,,,0,0,0,341,MDKJ Perera,Rajasthan Royals
IK Pathan,123,143,7,2,86.01,15.38,8,291,344,10,7.27,34.4,29.1,47.33,7,0,29,IK Pathan,Delhi Daredevils
X Thalaivan Sargunam,10,17,0,0,58.82,10,1,0,0,0,,,,0,0,0,361,X Thalaivan Sargunam,Sunrisers Hyderabad
P Awana,1,9,0,0,11.11,0.5,2,332,412,15,7.63,27.47,22.13,54,6,2,333,P Awana,Kings XI Punjab
RA Jadeja,201,134,17,6,150,25.12,8,262,323,13,7.48,24.85,20.15,43.17,2,1,35,RA Jadeja,Chennai Super Kings
Sandeep Sharma,0,1,0,0,0,0,0,98,125,8,7.81,,12.25,16,0,2,367,Sandeep Sharma,Kings XI Punjab
R Sathish,109,76,9,5,143.42,21.8,5,24,51,0,12.75,,,4,0,0,209,R Sathish,Kings XI Punjab
YS Chahal,0,0,0,0,,0,0,24,34,0,8.5,,,4,0,0,382,YS Chahal,Mumbai Indians
DB Das,75,74,5,5,101.35,15,5,0,0,0,,,,0,0,0,95,DB Das,Kolkata Knight Riders
R Bhatia,99,80,8,3,123.75,16.5,6,266,332,11,7.57,30.18,24.18,43.83,3,0,89,R Bhatia,Kolkata Knight Riders
PP Ojha,2,4,0,0,50,2,1,318,384,16,7.34,24,19.88,52.33,4,0,131,PP Ojha,Mumbai Indians
V Kohli,523,358,52,20,146.09,43.58,12,0,0,0,,,,0,0,0,8,V Kohli,Royal Challengers Bangalore
Iqbal Abdulla,8,14,0,0,57.14,8,0,113,142,7,7.54,20.29,16.14,18.83,0,0,140,Iqbal Abdulla,Kolkata Knight Riders
AB de Villiers,321,187,31,14,171.66,35.67,9,0,0,0,,,,0,0,0,110,AB de Villiers,Royal Challengers Bangalore
MEK Hussey,733,565,81,17,129.73,52.36,14,0,0,0,,,,0,0,0,19,MEK Hussey,Chennai Super Kings
SL Malinga,9,18,1,0,50,2.25,4,402,471,20,7.21,23.55,20.1,65.33,8,2,194,SL Malinga,Mumbai Indians
BJ Hodge,293,217,27,9,135.02,41.86,7,6,3,0,3,,,1,0,0,104,BJ Hodge,Rajasthan Royals
PV Tambe,3,6,0,0,50,3,0,69,89,1,8.09,,69,11,3,0,370,PV Tambe,Rajasthan Royals
Bipul Sharma,0,0,0,0,,0,0,24,21,1,5.25,,24,4,0,0,228,Bipul Sharma,Kings XI Punjab
CM Gautam,44,34,4,1,129.41,22,2,0,0,0,,,,0,0,0,360,CM Gautam,Delhi Daredevils
KD Karthik,510,409,54,14,124.69,28.33,18,0,0,0,,,,0,0,0,88,KD Karthik,Mumbai Indians
JA Morkel,46,37,2,3,124.32,15.33,3,149,160,7,6.67,22.86,21.29,24,5,0,109,JA Morkel,Chennai Super Kings
B Kumar,52,71,3,1,73.24,7.43,7,359,373,13,6.54,28.69,27.62,57,16,1,299,B Kumar,Pune Warriors
JH Kallis,311,322,35,3,96.58,20.73,15,329,394,16,7.43,24.62,20.56,53,7,4,9,JH Kallis,Kolkata Knight Riders
S Nadeem,14,27,1,0,51.85,2.8,5,243,233,8,5.83,29.12,30.38,40,3,0,293,S Nadeem,Delhi Daredevils
KM Jadhav,123,107,6,4,114.95,17.57,7,0,0,0,,,,0,0,0,237,KM Jadhav,Delhi Daredevils
AB Agarkar,12,16,0,0,75,12,1,63,92,0,9.2,,,10,3,0,82,AB Agarkar,Delhi Daredevils
LR Shukla,3,12,0,0,25,1.5,2,18,22,1,7.33,,18,3,0,0,63,LR Shukla,Kolkata Knight Riders
P Negi,0,0,0,0,,0,0,26,28,0,7,,,4,2,0,322,P Negi,Delhi Daredevils
A Chandila,4,6,0,0,66.67,4,0,150,157,6,6.28,26.17,25,25,0,0,335,A Chandila,Rajasthan Royals
DA Miller,418,253,28,24,165.22,59.71,7,0,0,0,,,,0,0,0,320,DA Miller,Kings XI Punjab
SE Marsh,300,249,39,4,120.48,37.5,8,0,0,0,,,,0,0,0,100,SE Marsh,Kings XI Punjab
JJ Bumrah,0,0,0,0,,0,0,45,73,3,10.43,,15,7,1,2,375,JJ Bumrah,Mumbai Indians
KB Arun Karthik,36,32,3,1,112.5,36,1,0,0,0,,,,0,0,0,239,KB Arun Karthik,Royal Challengers Bangalore
CH Morris,14,16,0,0,87.5,7,2,309,401,15,8.02,26.73,20.6,50,8,1,350,CH Morris,Chennai Super Kings
B Lee,21,12,1,2,175,21,1,75,86,4,7.17,,18.75,12,3,0,66,B Lee,Kolkata Knight Riders
RJ Harris,2,5,0,0,40,2,1,74,72,1,6,,74,12,2,0,188,RJ Harris,Kings XI Punjab
MG Neser,0,0,0,0,,0,0,25,62,0,15.5,,,4,0,1,454,MG Neser,Kings XI Punjab
R Rampaul,26,29,3,0,89.66,6.5,4,210,236,13,7.01,18.15,16.15,33.67,7,1,349,R Rampaul,Royal Challengers Bangalore
BB McCullum,6,7,1,0,85.71,6,1,0,0,0,,,,0,0,0,2,BB McCullum,Kolkata Knight Riders
PP Chawla,64,57,5,3,112.28,10.67,6,352,427,11,7.32,38.82,32,58.33,2,0,67,PP Chawla,Kings XI Punjab
A Nehra,1,8,0,0,12.5,0.25,4,196,285,10,8.91,28.5,19.6,32,4,0,73,A Nehra,Delhi Daredevils
SW Tait,1,3,0,0,33.33,1,1,70,101,1,10.1,,70,10,10,0,238,SW Tait,Rajasthan Royals
MS Dhoni,461,280,32,25,164.64,41.91,11,0,0,0,,,,0,0,0,20,MS Dhoni,Chennai Super Kings
DP Nannes,0,0,0,0,,0,0,126,161,4,8.12,40.25,31.5,19.83,5,2,223,DP Nannes,Chennai Super Kings
S Kaul,7,9,0,0,77.78,7,0,133,170,4,7.79,42.5,33.25,21.83,2,0,368,S Kaul,Delhi Daredevils
Gurkeerat Singh,108,95,10,3,113.68,13.5,8,0,0,0,,,,0,0,0,329,Gurkeerat Singh,Kings XI Punjab
AD Russell,11,14,0,0,78.57,5.5,2,44,68,0,9.71,,,7,2,0,334,AD Russell,Delhi Daredevils
IC Pandey,0,2,0,0,0,0,1,25,50,1,12.5,,25,4,0,1,359,IC Pandey,Pune Warriors
DH Yagnik,125,93,17,2,134.41,15.62,8,0,0,0,,,,0,0,0,277,DH Yagnik,Rajasthan Royals
J Botha,43,52,5,1,82.69,7.17,6,102,112,5,6.72,22.4,20.4,16.67,2,0,192,J Botha,Delhi Daredevils
PC Valthaty,6,17,0,0,35.29,6,1,0,0,0,,,,0,0,0,167,PC Valthaty,Kings XI Punjab
RE van der Merwe,22,25,2,0,88,11,2,67,71,3,6.45,,22.33,11,1,0,177,RE van der Merwe,Delhi Daredevils
WP Saha,70,56,6,4,125,23.33,3,0,0,0,,,,0,0,0,62,WP Saha,Chennai Super Kings
Z Khan,0,0,0,0,,0,0,38,47,5,7.83,,7.6,6,2,0,15,Z Khan,Royal Challengers Bangalore
Azhar Mahmood,196,154,22,5,127.27,19.6,10,267,330,15,7.53,22,17.8,43.83,3,1,321,Azhar Mahmood,Kings XI Punjab
Harbhajan Singh,116,79,12,5,146.84,19.33,6,430,462,24,6.6,19.25,17.92,70,8,2,50,Harbhajan Singh,Mumbai Indians
L Balaji,9,10,1,0,90,9,1,311,390,12,7.8,32.5,25.92,50,11,0,151,L Balaji,Kolkata Knight Riders
AB Dinda,9,11,1,0,81.82,4.5,2,304,465,16,9.49,29.06,19,49,8,2,106,AB Dinda,Pune Warriors
R Vinay Kumar,62,39,5,3,158.97,62,0,322,448,21,8.59,21.33,15.33,52.17,7,2,81,R Vinay Kumar,Royal Challengers Bangalore
M Muralitharan,0,0,0,0,,0,0,116,159,2,8.37,79.5,58,19,1,1,121,M Muralitharan,Royal Challengers Bangalore
OA Shah,25,23,2,0,108.7,12.5,2,0,0,0,,,,0,0,0,204,OA Shah,Rajasthan Royals
P Dogra,5,8,0,0,62.5,5,1,0,0,0,,,,0,0,0,212,P Dogra,Kolkata Knight Riders
AP Tare,123,84,14,5,146.43,24.6,5,0,0,0,,,,0,0,0,207,AP Tare,Mumbai Indians
AM Rahane,488,458,42,11,106.55,34.86,14,0,0,0,,,,0,0,0,85,AM Rahane,Rajasthan Royals
AD Mathews,172,139,5,10,123.74,24.57,7,188,243,5,7.84,48.6,37.6,31,2,0,191,AD Mathews,Pune Warriors
BJ Rohrer,179,126,19,5,142.06,35.8,5,7,12,0,12,,,1,1,0,353,BJ Rohrer,Delhi Daredevils
DJ Bravo,121,106,11,3,114.15,15.12,8,392,500,32,8,15.62,12.25,62.5,16,1,71,DJ Bravo,Chennai Super Kings
DJ Hussey,235,208,20,6,112.98,23.5,10,68,92,0,8.36,,,11,2,0,4,DJ Hussey,Kings XI Punjab
AT Rayudu,265,229,22,4,115.72,18.93,14,0,0,0,,,,0,0,0,208,AT Rayudu,Mumbai Indians
M Vohra,161,117,22,2,137.61,20.12,8,0,0,0,,,,0,0,0,345,M Vohra,Kings XI Punjab
DA Warner,395,310,38,14,127.42,32.92,12,0,0,0,,,,0,0,0,187,DA Warner,Delhi Daredevils
KA Pollard,420,278,27,29,151.08,42,10,197,292,10,9.42,29.2,19.7,31,11,0,221,KA Pollard,Mumbai Indians
GJ Maxwell,36,27,1,4,133.33,18,2,12,23,0,11.5,,,2,0,0,305,GJ Maxwell,Mumbai Indians
SK Trivedi,3,7,0,0,42.86,3,1,368,412,12,6.89,34.33,30.67,59.83,9,0,39,SK Trivedi,Rajasthan Royals
AN Ahmed,0,0,0,0,,0,0,42,45,3,6.43,,14,7,0,0,246,AN Ahmed,Mumbai Indians
MC Juneja,108,112,9,1,96.43,18,6,0,0,0,,,,0,0,0,338,MC Juneja,Delhi Daredevils
AJ Finch,456,335,54,16,136.12,32.57,14,24,49,1,12.25,,24,4,0,0,254,AJ Finch,Pune Warriors
M Morkel,57,29,6,3,196.55,11.4,5,222,305,6,8.47,50.83,37,36,3,3,190,M Morkel,Delhi Daredevils
AA Chavan,0,0,0,0,,0,0,56,63,1,7,,56,9,2,0,297,AA Chavan,Rajasthan Royals
RG Sharma,538,408,35,28,131.86,38.43,14,9,6,0,4.51,,,1.33,1,0,57,RG Sharma,Mumbai Indians
M Rawat,5,11,0,0,45.45,5,1,0,0,0,,,,0,0,0,36,M Rawat,Pune Warriors
S Sreesanth,1,4,0,0,25,1,1,136,167,5,7.71,33.4,27.2,21.67,2,4,77,S Sreesanth,Rajasthan Royals
NLTC Perera,226,154,11,14,146.75,25.11,9,344,461,18,8.28,25.61,19.11,55.67,7,3,280,NLTC Perera,Sunrisers Hyderabad
BB Samantray,123,111,13,2,110.81,24.6,5,0,0,0,,,,0,0,0,327,BB Samantray,Sunrisers Hyderabad
A Ashish Reddy,111,77,8,4,144.16,22.2,5,35,63,2,11.11,,17.5,5.67,1,0,325,A Ashish Reddy,Sunrisers Hyderabad
Anand Rajan,0,0,0,0,,0,0,51,42,2,5.25,,25.5,8,3,0,446,Anand Rajan,Sunrisers Hyderabad
RP Singh,0,0,0,0,,0,0,226,287,13,8.01,22.08,17.38,35.83,9,2,61,RP Singh,Royal Challengers Bangalore
P Kumar,47,38,3,3,123.68,7.83,6,354,381,12,6.76,31.75,29.5,56.33,16,0,14,P Kumar,Kings XI Punjab
MC Henriques,121,84,15,3,144.05,40.33,3,113,171,5,9.41,34.2,22.6,18.17,4,0,163,MC Henriques,Royal Challengers Bangalore
AL Menaria,1,2,0,0,50,1,1,0,0,0,,,,0,0,0,266,AL Menaria,Rajasthan Royals
CL White,204,182,17,7,112.09,18.55,11,12,16,1,8,,12,2,0,0,10,CL White,Sunrisers Hyderabad
SPD Smith,159,132,15,4,120.45,39.75,4,0,0,0,,,,0,0,0,306,SPD Smith,Pune Warriors
S Narwal,23,15,4,0,153.33,23,1,14,17,0,8.5,,,2,2,0,226,S Narwal,Kolkata Knight Riders
RT Ponting,52,75,3,1,69.33,10.4,5,0,0,0,,,,0,0,0,3,RT Ponting,Mumbai Indians
MN Samuels,8,18,1,0,44.44,4,2,25,34,1,8.5,,25,4,1,0,307,MN Samuels,Pune Warriors
DT Christian,6,15,0,0,40,3,2,38,55,0,9.17,,,6,0,2,258,DT Christian,Royal Challengers Bangalore
MS Bisla,255,235,36,6,108.51,19.62,13,0,0,0,,,,0,0,0,214,MS Bisla,Kolkata Knight Riders
RN ten Doeschate,85,63,9,2,134.92,28.33,3,18,24,0,8,,,3,0,0,284,RN ten Doeschate,Kolkata Knight Riders
CA Pujara,92,99,14,0,92.93,23,4,0,0,0,,,,0,0,0,203,CA Pujara,Royal Challengers Bangalore
DS Kulkarni,0,0,0,0,,0,0,119,151,8,8.09,18.88,14.88,18.67,6,1,80,DS Kulkarni,Mumbai Indians
B Chipli,16,17,1,1,94.12,16,1,0,0,0,,,,0,0,0,93,B Chipli,Delhi Daredevils
AC Gilchrist,294,229,41,6,128.38,24.5,12,1,0,1,0,,1,0.17,0,0,53,AC Gilchrist,Kings XI Punjab
WD Parnell,5,7,0,0,71.43,5,1,97,140,6,9.44,,16.17,14.83,7,1,267,WD Parnell,Pune Warriors
S Badree,0,0,0,0,,0,0,25,34,0,8.5,,,4,1,0,452,S Badree,Rajasthan Royals
SS Tiwary,109,106,4,4,102.83,27.25,4,0,0,0,,,,0,0,0,79,SS Tiwary,Royal Challengers Bangalore
S Badrinath,124,120,11,0,103.33,17.71,7,0,0,0,,,,0,0,0,23,S Badrinath,Chennai Super Kings
R Dravid,471,424,64,5,111.08,29.44,16,0,0,0,,,,0,0,0,6,R Dravid,Rajasthan Royals
PJ Sangwan,4,2,1,0,200,4,0,26,51,0,12.75,,,4,1,1,116,PJ Sangwan,Kolkata Knight Riders
Mohammed Shami,5,10,0,0,50,5,1,57,78,1,8.67,,57,9,3,0,347,Mohammed Shami,Kolkata Knight Riders
KV Sharma,85,86,6,2,98.84,21.25,4,211,233,11,6.69,21.18,19.18,34.83,2,0,166,KV Sharma,Sunrisers Hyderabad
UBT Chand,158,157,17,4,100.64,17.56,9,0,0,0,,,,0,0,0,262,UBT Chand,Delhi Daredevils
KW Richardson,34,36,2,1,94.44,17,2,73,101,2,8.54,,36.5,11.83,2,0,363,KW Richardson,Pune Warriors
AD Mascarenhas,5,5,0,0,100,5,0,24,25,0,6.25,,,4,0,0,137,AD Mascarenhas,Kings XI Punjab
Yuvraj Singh,238,190,14,15,125.26,19.83,12,133,152,6,6.91,25.33,22.17,22,1,0,27,Yuvraj Singh,Pune Warriors
BAW Mendis,2,4,0,0,50,2,1,72,78,2,6.5,,36,12,0,0,174,BAW Mendis,Pune Warriors
A Mishra,89,95,9,0,93.68,17.8,5,352,379,20,6.53,18.95,17.6,58,2,2,136,A Mishra,Sunrisers Hyderabad
I Sharma,0,0,0,0,,0,0,350,439,12,7.89,36.58,29.17,55.67,13,3,84,I Sharma,Sunrisers Hyderabad
