player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
M Ntini,11,18,2,0,61.11,11,1,213,248,7,7.09,35.43,30.43,35,1,2,122,M Ntini,Chennai Super Kings
MM Patel,0,1,0,0,0,0,0,336,420,14,7.64,30,24,55,5,1,126,MM Patel,Rajasthan Royals
JDP Oram,18,12,1,1,150,18,1,100,149,3,9.31,,33.33,16,4,0,22,JDP Oram,Chennai Super Kings
SK Warne,70,58,7,2,120.69,14,5,319,404,19,7.77,21.26,16.79,52,7,0,38,SK Warne,Rajasthan Royals
SP Goswami,82,85,9,1,96.47,27.33,3,0,0,0,,,,0,0,0,132,SP Goswami,Royal Challengers Bangalore
M Kartik,30,27,3,0,111.11,10,3,89,127,3,8.66,,29.67,14.67,1,0,83,M Kartik,Kolkata Knight Riders
V Sehwag,406,216,46,21,187.96,33.83,12,67,133,3,12.09,,22.33,11,1,0,41,V Sehwag,Delhi Capitals
TM Dilshan,104,78,14,3,133.33,17.33,6,6,3,1,3,,6,1,0,0,135,TM Dilshan,Delhi Capitals
KC Sangakkara,320,197,41,8,162.44,35.56,9,0,0,0,,,,0,0,0,26,KC Sangakkara,Kings XI Punjab
DL Vettori,0,0,0,0,,0,0,48,54,2,6.75,,24,8,0,0,175,DL Vettori,Delhi Capitals
PR Shah,34,34,4,0,100,8.5,4,0,0,0,,,,0,0,0,47,PR Shah,Mumbai Indians
S Chanderpaul,25,31,4,0,80.65,8.33,3,0,0,0,,,,0,0,0,51,S Chanderpaul,Royal Challengers Bangalore
DR Smith,45,40,5,1,112.5,15,3,69,83,5,7.55,,13.8,11,3,0,147,DR Smith,Mumbai Indians
LRPL Taylor,149,81,13,10,183.95,37.25,4,0,0,0,,,,0,0,0,52,LRPL Taylor,Royal Challengers Bangalore
MK Pandey,3,9,0,0,33.33,1.5,2,0,0,0,,,,0,0,0,96,MK Pandey,Mumbai Indians
HH Gibbs,167,153,17,8,109.15,18.56,9,0,0,0,,,,0,0,0,97,HH Gibbs,Deccan Chargers
MV Boucher,225,177,24,6,127.12,32.14,7,0,0,0,,,,0,0,0,11,MV Boucher,Royal Challengers Bangalore
YK Pathan,435,239,43,25,182.01,31.07,14,170,230,8,8.16,28.75,21.25,28.17,1,0,31,YK Pathan,Rajasthan Royals
Shoaib Malik,52,46,5,0,113.04,13,4,58,85,2,10,,29,8.5,6,1,86,Shoaib Malik,Delhi Capitals
PA Patel,302,295,42,3,102.37,27.45,11,0,0,0,,,,0,0,0,17,PA Patel,Chennai Super Kings
SB Bangar,47,49,1,3,95.92,7.83,6,153,219,4,8.76,54.75,38.25,25,3,0,59,SB Bangar,Deccan Chargers
