,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
0,Q de Kock,436,300,42,19,145.33,36.33,12,0,0,0,,,,0.0,0,0,Mumbai Indians
1,SP Goswami,0,4,0,0,0.0,0.0,2,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
2,NM Coulter-Nile,1,3,0,0,33.33,1.0,1,141,173,5,7.86,34.6,28.2,22.0,9,0,Mumbai Indians
3,Shivam Mavi,10,14,1,0,71.43,5.0,2,143,178,8,7.74,22.25,17.88,23.0,5,0,Kolkata Knight Riders
4,DL Chahar,7,12,0,0,58.33,7.0,1,321,397,12,7.63,33.08,26.75,52.0,9,0,Chennai Super Kings
5,MK Pandey,419,326,35,18,128.53,34.92,12,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
6,Arshdeep Singh,0,3,0,0,0.0,0.0,1,139,183,7,8.38,26.14,19.86,21.83,7,1,Punjab Kings
7,EJG Morgan,384,278,29,23,138.13,42.67,9,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
8,UT Yadav,0,2,0,0,0.0,0.0,1,46,84,0,12.0,,,7.0,3,1,Royal Challengers Bangalore
9,A Zampa,0,0,0,0,,0.0,0,43,39,1,5.57,,43.0,7.0,1,0,Royal Challengers Bangalore
10,S Sandeep Warrier,0,0,0,0,,0.0,0,21,34,0,11.33,,,3.0,3,0,Kolkata Knight Riders
11,Rashid Khan,34,28,3,2,121.43,8.5,4,363,318,19,5.3,16.74,19.11,60.0,3,0,Sunrisers Hyderabad
12,CJ Green,0,0,0,0,,0.0,0,17,24,0,8.48,,,2.83,0,0,Kolkata Knight Riders
13,JR Hazlewood,0,0,0,0,,0.0,0,61,70,1,7.0,,61.0,10.0,1,0,Chennai Super Kings
14,Mujeeb Ur Rahman,1,3,0,0,33.33,1.0,1,49,83,0,10.38,,,8.0,1,0,Punjab Kings
15,KL Rahul,572,446,49,19,128.25,57.2,10,0,0,0,,,,0.0,0,0,Punjab Kings
16,MR Marsh,0,1,0,0,0.0,0.0,1,4,6,0,8.96,,,0.67,0,0,Sunrisers Hyderabad
17,SP Narine,121,85,10,8,142.35,13.44,9,230,303,5,7.97,60.6,46.0,38.0,2,0,Kolkata Knight Riders
18,SV Samson,375,234,21,26,160.26,28.85,13,0,0,0,,,,0.0,0,0,Rajasthan Royals
19,AR Patel,111,75,6,8,148.0,15.86,7,284,313,8,6.66,39.12,35.5,47.0,2,0,Delhi Capitals
20,DW Steyn,1,2,0,0,50.0,1.0,0,75,133,1,11.4,,75.0,11.67,5,0,Royal Challengers Bangalore
21,KK Nair,15,11,2,0,136.36,15.0,1,0,0,0,,,,0.0,0,0,Punjab Kings
22,CH Gayle,264,189,14,21,139.68,44.0,6,5,5,0,6.02,,,0.83,0,0,Punjab Kings
23,P Dubey,7,13,0,0,53.85,7.0,0,48,72,0,9.0,,,8.0,0,0,Delhi Capitals
24,Kartik Tyagi,4,6,0,0,66.67,4.0,1,241,367,9,9.61,40.78,26.78,38.17,11,1,Rajasthan Royals
25,Harpreet Brar,0,0,0,0,,0.0,0,25,41,0,10.25,,,4.0,1,0,Punjab Kings
26,Washington Sundar,111,95,10,2,116.84,18.5,6,278,286,7,6.22,40.86,39.71,46.0,1,1,Royal Challengers Bangalore
27,A Nortje,4,5,0,0,80.0,4.0,1,352,482,22,8.46,21.91,16.0,57.0,10,0,Delhi Capitals
28,MJ Santner,0,0,0,0,,0.0,0,42,53,2,7.57,,21.0,7.0,0,0,Chennai Super Kings
29,LH Ferguson,43,29,4,1,148.28,43.0,0,100,133,3,8.4,,33.33,15.83,4,1,Kolkata Knight Riders
