player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
MM Patel,33,26,5,0,126.92,11,3,199,205,15,6.44,13.67,13.27,31.83,3,5,126,MM Patel,Rajasthan Royals
JDP Oram,88,92,5,4,95.65,14.67,6,94,136,5,8.77,,18.8,15.5,0,1,22,JDP Oram,Chennai Super Kings
SK Warne,106,114,6,4,92.98,13.25,8,287,340,12,7.39,28.33,23.92,46,11,0,38,SK Warne,Rajasthan Royals
TL Suman,237,190,18,8,124.74,23.7,10,91,108,5,7.2,,18.2,15,0,1,178,TL Suman,Deccan Chargers
SP Goswami,53,60,6,0,88.33,26.5,2,0,0,0,,,,0,0,0,132,SP Goswami,Royal Challengers Bangalore
M Kartik,21,20,0,0,105,21,0,210,202,4,5.94,50.5,52.5,34,6,0,83,M Kartik,Kolkata Knight Riders
SM Harwood,9,13,0,0,69.23,9,0,67,73,3,7.3,,22.33,10,7,0,184,SM Harwood,Rajasthan Royals
V Sehwag,198,134,24,7,147.76,19.8,10,7,25,0,25,,,1,0,1,41,V Sehwag,Delhi Daredevils
KC Sangakkara,332,322,29,5,103.11,30.18,11,0,0,0,,,,0,0,0,26,KC Sangakkara,Kings XI Punjab
TM Dilshan,418,339,42,13,123.3,41.8,10,96,98,0,6.12,,,16,0,0,135,TM Dilshan,Delhi Daredevils
Jaskaran Singh,0,0,0,0,,0,0,19,32,0,10.67,,,3,1,0,206,Jaskaran Singh,Deccan Chargers
DL Vettori,34,31,3,0,109.68,17,2,141,183,7,7.9,26.14,20.14,23.17,2,0,175,DL Vettori,Delhi Daredevils
SS Sarkar,0,0,0,0,,0,0,25,34,1,8.15,,25,4.17,0,0,441,SS Sarkar,Kolkata Knight Riders
PR Shah,53,51,4,2,103.92,17.67,3,0,0,0,,,,0,0,0,47,PR Shah,Mumbai Indians
Anureet Singh,0,0,0,0,,0,0,8,12,0,12,,,1,2,0,395,Anureet Singh,Kolkata Knight Riders
M Manhas,75,62,7,1,120.97,25,3,0,0,0,,,,0,0,0,171,M Manhas,Delhi Daredevils
DR Smith,215,131,12,15,164.12,26.88,8,85,124,1,8.86,,85,14,1,0,147,DR Smith,Deccan Chargers
LRPL Taylor,280,206,20,15,135.92,31.11,9,7,13,0,13,,,1,1,0,52,LRPL Taylor,Royal Challengers Bangalore
MK Pandey,168,117,17,4,143.59,84,2,0,0,0,,,,0,0,0,96,MK Pandey,Royal Challengers Bangalore
JD Ryder,56,48,9,0,116.67,11.2,5,104,118,3,6.94,39.33,34.67,17,2,0,157,JD Ryder,Royal Challengers Bangalore
HH Gibbs,371,330,32,12,112.42,33.73,11,0,0,0,,,,0,0,0,97,HH Gibbs,Deccan Chargers
MV Boucher,150,114,8,6,131.58,30,5,0,0,0,,,,0,0,0,11,MV Boucher,Royal Challengers Bangalore
SB Jakati,20,15,3,0,133.33,20,1,175,221,13,7.62,17,13.46,29,1,0,186,SB Jakati,Chennai Super Kings
C Nanda,0,1,0,0,0,0,1,50,57,2,7.12,,25,8,2,0,193,C Nanda,Mumbai Indians
YK Pathan,201,162,18,10,124.07,18.27,11,193,216,7,6.97,30.86,27.57,31,7,0,31,YK Pathan,Rajasthan Royals
RJ Quiney,97,100,12,2,97,16.17,6,0,0,0,,,,0,0,0,168,RJ Quiney,Rajasthan Royals
PA Patel,142,126,19,2,112.7,15.78,9,0,0,0,,,,0,0,0,17,PA Patel,Chennai Super Kings
Mashrafe Mortaza,2,2,0,0,100,2,0,28,58,0,14.5,,,4,2,2,195,Mashrafe Mortaza,Kolkata Knight Riders
YA Abdulla,0,0,0,0,,0,0,180,241,14,8.61,17.21,12.86,28,11,1,215,YA Abdulla,Kings XI Punjab
DW Steyn,0,3,0,0,0,0,1,59,62,2,6.89,,29.5,9,5,0,94,DW Steyn,Royal Challengers Bangalore
JP Duminy,372,325,26,11,114.46,41.33,9,107,93,4,5.31,23.25,26.75,17.5,2,0,154,JP Duminy,Mumbai Indians
SA Asnodkar,98,93,11,4,105.38,12.25,8,0,0,0,,,,0,0,0,101,SA Asnodkar,Rajasthan Royals
CH Gayle,130,110,13,6,118.18,26,5,93,124,1,8.36,,93,14.83,4,0,162,CH Gayle,Kolkata Knight Riders
AM Nayar,193,151,14,7,127.81,21.44,9,77,84,4,7,,19.25,12,5,0,48,AM Nayar,Mumbai Indians
VS Malik,0,0,0,0,,0,0,74,98,2,8.17,,37,12,1,1,243,VS Malik,Kings XI Punjab
T Kohli,1,4,0,0,25,1,1,0,0,0,,,,0,0,0,30,T Kohli,Kings XI Punjab
VY Mahesh,0,0,0,0,,0,0,13,25,1,12.5,,13,2,1,0,91,VY Mahesh,Delhi Daredevils
SR Tendulkar,364,299,39,10,121.74,33.09,11,37,58,0,9.67,,,6,1,0,133,SR Tendulkar,Mumbai Indians
SK Raina,434,306,37,21,141.83,31,14,167,164,7,5.93,23.43,23.86,27.67,1,0,21,SK Raina,Chennai Super Kings
A Mithun,0,0,0,0,,0,0,27,42,0,10.5,,,4,3,0,244,A Mithun,Royal Challengers Bangalore
