player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
R Ashwin,8,15,1,0,53.33,8,1,24,13,2,3.25,,12,4,0,0,201,R Ashwin,Chennai Super Kings
RV Uthappa,175,170,18,3,102.94,15.91,11,0,0,0,,,,0,0,0,46,RV Uthappa,Royal Challengers Bangalore
Shoaib Ahmed,1,6,0,0,16.67,0.5,2,103,152,5,8.94,30.4,20.6,17,1,0,179,Shoaib Ahmed,Deccan Chargers
RR Bose,0,0,0,0,,0,0,12,24,0,12,,,2,0,0,440,RR Bose,Kings XI Punjab
G Gambhir,286,276,32,2,103.62,22,13,0,0,0,,,,0,0,0,40,G Gambhir,Delhi Daredevils
NV Ojha,168,144,11,11,116.67,24,7,0,0,0,,,,0,0,0,183,NV Ojha,Rajasthan Royals
MK Tiwary,9,13,1,0,69.23,9,1,6,11,0,11,,,1,0,0,87,MK Tiwary,Delhi Daredevils
I Sharma,15,12,1,1,125,15,1,246,262,9,6.72,29.11,27.33,39,10,2,84,I Sharma,Kolkata Knight Riders
DPMD Jayawardene,219,165,17,7,132.73,36.5,6,0,0,0,,,,0,0,0,64,DPMD Jayawardene,Kings XI Punjab
MS Gony,13,7,0,2,185.71,6.5,2,107,172,5,10.12,34.4,21.4,17,4,1,120,MS Gony,Chennai Super Kings
M Vijay,60,67,4,2,89.55,15,4,0,0,0,,,,0,0,0,185,M Vijay,Chennai Super Kings
DB Ravi Teja,65,70,7,0,92.86,21.67,3,0,0,0,,,,0,0,0,112,DB Ravi Teja,Deccan Chargers
LA Pomersbach,41,46,3,1,89.13,10.25,4,0,0,0,,,,0,0,0,139,LA Pomersbach,Kings XI Punjab
S Dhawan,40,45,3,0,88.89,10,4,0,0,0,,,,0,0,0,42,S Dhawan,Mumbai Indians
Harmeet Singh,0,0,0,0,,0,0,142,195,3,8.54,65,47.33,22.83,5,0,256,Harmeet Singh,Deccan Chargers
L Ronchi,0,2,0,0,0,0,1,0,0,0,,,,0,0,0,43,L Ronchi,Mumbai Indians
IK Pathan,196,158,17,6,124.05,19.6,10,314,391,17,7.77,23,18.47,50.33,12,0,29,IK Pathan,Kings XI Punjab
RA Jadeja,273,239,21,6,114.23,27.3,10,138,144,6,6.45,24,23,22.33,4,0,35,RA Jadeja,Rajasthan Royals
D du Preez,10,13,0,0,76.92,10,1,43,56,4,8,,10.75,7,0,1,189,D du Preez,Royal Challengers Bangalore
R Bhatia,8,18,1,0,44.44,1.6,5,133,149,10,6.88,14.9,13.3,21.67,3,0,89,R Bhatia,Delhi Daredevils
PP Ojha,1,7,0,0,14.29,0.33,3,327,351,18,6.56,19.5,18.17,53.5,6,0,131,PP Ojha,Deccan Chargers
LA Carseldine,81,66,11,0,122.73,20.25,4,7,6,1,6,,7,1,1,0,182,LA Carseldine,Rajasthan Royals
V Kohli,246,219,22,8,112.33,22.36,11,39,46,0,7.67,,,6,3,0,8,V Kohli,Royal Challengers Bangalore
A Flintoff,62,53,5,2,116.98,31,2,66,105,2,9.55,,33,11,0,0,155,A Flintoff,Chennai Super Kings
AB de Villiers,465,354,39,12,131.36,51.67,9,0,0,0,,,,0,0,0,110,AB de Villiers,Delhi Daredevils
MF Maharoof,21,21,0,0,100,21,1,66,65,4,6.5,,16.5,10,2,4,90,MF Maharoof,Delhi Daredevils
SL Malinga,0,1,0,0,0,0,2,326,324,18,6.55,18,18.11,49.5,26,3,194,SL Malinga,Mumbai Indians
MN van Wyk,167,131,19,1,127.48,55.67,3,0,0,0,,,,0,0,0,176,MN van Wyk,Kolkata Knight Riders
BJ Hodge,360,302,34,9,119.21,45,8,123,164,7,8.2,23.43,17.57,20,3,0,104,BJ Hodge,Kolkata Knight Riders
RS Bopara,138,119,8,7,115.97,27.6,5,8,5,0,3.76,,,1.33,0,0,161,RS Bopara,Kings XI Punjab
S Tyagi,0,0,0,0,,0,1,118,139,5,7.32,27.8,23.6,19,3,1,218,S Tyagi,Chennai Super Kings
WA Mota,30,48,0,0,62.5,6,5,55,61,3,6.78,,18.33,9,0,1,68,WA Mota,Kings XI Punjab
KD Karthik,288,217,20,9,132.72,36,8,0,0,0,,,,0,0,0,88,KD Karthik,Delhi Daredevils
JA Morkel,97,70,8,4,138.57,24.25,4,249,328,13,8.2,25.23,19.15,40,4,5,109,JA Morkel,Chennai Super Kings
A Symonds,249,163,15,11,152.76,35.57,7,147,160,7,6.67,22.86,21,24,3,0,56,A Symonds,Deccan Chargers
A Chopra,11,19,2,0,57.89,11,1,0,0,0,,,,0,0,0,128,A Chopra,Kolkata Knight Riders
KP Pietersen,93,84,8,2,110.71,15.5,6,80,85,4,6.54,,20,13,2,0,158,KP Pietersen,Royal Challengers Bangalore
T Thushara,2,7,0,0,28.57,2,1,50,60,3,7.5,,16.67,8,2,0,156,T Thushara,Chennai Super Kings
Kamran Khan,3,5,0,0,60,3,1,87,106,3,7.75,,29,13.67,4,1,160,Kamran Khan,Rajasthan Royals
JH Kallis,361,331,37,8,109.06,27.77,13,289,356,6,7.74,59.33,48.17,46,11,2,9,JH Kallis,Royal Challengers Bangalore
LR Shukla,70,72,4,3,97.22,17.5,4,88,100,3,7.14,,29.33,14,4,0,63,LR Shukla,Kolkata Knight Riders
SD Chitnis,6,8,1,0,75,6,1,0,0,0,,,,0,0,0,148,SD Chitnis,Rajasthan Royals
AB Agarkar,65,56,3,3,116.07,32.5,2,192,273,6,9.1,45.5,32,30,12,0,82,AB Agarkar,Kolkata Knight Riders
Y Nagar,20,20,1,0,100,20,1,13,20,2,10,,6.5,2,0,1,199,Y Nagar,Delhi Daredevils
AS Raut,57,48,4,1,118.75,14.25,4,24,36,0,9,,,4,0,0,169,AS Raut,Rajasthan Royals
AA Bilakhia,67,80,5,0,83.75,16.75,4,0,0,0,,,,0,0,0,172,AA Bilakhia,Deccan Chargers
VRV Singh,0,0,0,0,,0,0,54,82,1,9.11,,54,9,0,0,78,VRV Singh,Kings XI Punjab
RA Shaikh,0,0,0,0,,0,0,6,11,0,11,,,1,0,0,442,RA Shaikh,Mumbai Indians
TM Srivastava,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,92,TM Srivastava,Kings XI Punjab
FH Edwards,4,5,0,0,80,4,1,150,155,5,6.64,31,30,23.33,9,1,165,FH Edwards,Deccan Chargers
B Lee,28,34,2,1,82.35,14,2,133,111,5,5.55,22.2,26.6,20,8,5,66,B Lee,Kings XI Punjab
RJ Harris,21,18,0,0,116.67,21,1,192,230,6,7.42,38.33,32,31,5,1,188,RJ Harris,Deccan Chargers
SS Shaikh,6,7,1,0,85.71,6,1,0,0,0,,,,0,0,0,200,SS Shaikh,Kolkata Knight Riders
BB McCullum,282,226,27,12,124.78,25.64,11,0,0,0,,,,0,0,0,2,BB McCullum,Kolkata Knight Riders
PP Chawla,31,36,3,0,86.11,6.2,5,273,314,12,7,26.17,22.75,44.83,4,0,67,PP Chawla,Kings XI Punjab
Y Venugopal Rao,124,114,6,3,108.77,11.27,11,92,122,4,8.13,,23,15,2,0,54,Y Venugopal Rao,Deccan Chargers
A Nehra,1,1,0,0,100,1,0,326,350,19,6.86,18.42,17.16,51,15,5,73,A Nehra,Delhi Daredevils
SM Katich,145,117,15,6,123.93,16.11,9,0,0,0,,,,0,0,0,28,SM Katich,Kings XI Punjab
MS Dhoni,332,261,22,9,127.2,41.5,8,0,0,0,,,,0,0,0,20,MS Dhoni,Chennai Super Kings
DP Nannes,0,0,0,0,,0,0,320,375,15,7.58,25,21.33,49.5,23,0,223,DP Nannes,Delhi Daredevils
YV Takawale,18,22,2,0,81.82,18,1,0,0,0,,,,0,0,0,114,YV Takawale,Mumbai Indians
J Botha,47,39,5,0,120.51,23.5,2,75,74,3,6.17,,25,12,3,0,192,J Botha,Rajasthan Royals
PC Valthaty,1,5,0,0,20,1,1,0,0,0,,,,0,0,0,167,PC Valthaty,Rajasthan Royals
RE van der Merwe,122,98,8,8,124.49,15.25,8,209,254,9,7.47,28.22,23.22,34,5,0,177,RE van der Merwe,Royal Challengers Bangalore
WP Saha,72,41,3,4,175.61,24,3,0,0,0,,,,0,0,0,62,WP Saha,Kolkata Knight Riders
Z Khan,8,11,0,0,72.73,8,1,132,142,6,6.76,23.67,22,21,5,1,15,Z Khan,Mumbai Indians
GC Smith,197,192,26,1,102.6,19.7,10,0,0,0,,,,0,0,0,74,GC Smith,Rajasthan Royals
R Bishnoi,19,17,1,2,111.76,6.33,3,0,0,0,,,,0,0,0,164,R Bishnoi,Royal Challengers Bangalore
Harbhajan Singh,84,53,6,5,158.49,10.5,8,268,263,12,5.98,21.92,22.33,44,4,0,50,Harbhajan Singh,Mumbai Indians
R Vinay Kumar,47,44,4,1,106.82,9.4,5,199,271,9,8.38,30.11,22.11,32.33,5,0,81,R Vinay Kumar,Royal Challengers Bangalore
L Balaji,4,10,0,0,40,1.33,3,229,316,13,8.47,24.31,17.62,37.33,5,0,151,L Balaji,Chennai Super Kings
M Muralitharan,8,8,1,0,100,4,2,304,261,14,5.22,18.64,21.71,50,4,0,121,M Muralitharan,Chennai Super Kings
AB Dinda,2,3,0,0,66.67,1,2,150,193,4,8.04,48.25,37.5,24,6,0,106,AB Dinda,Kolkata Knight Riders
KP Appanna,0,1,0,0,0,0,0,72,90,2,7.5,,36,12,0,0,181,KP Appanna,Royal Challengers Bangalore
NK Patel,18,38,1,0,47.37,9,2,0,0,0,,,,0,0,0,138,NK Patel,Rajasthan Royals
CK Langeveldt,0,0,0,0,,0,0,25,15,3,3.75,,8.33,4,1,0,242,CK Langeveldt,Kolkata Knight Riders
GR Napier,15,16,1,0,93.75,15,1,24,27,1,6.75,,24,4,0,0,180,GR Napier,Mumbai Indians
AM Rahane,144,121,12,3,119.01,24,6,6,5,1,5,,6,1,0,0,85,AM Rahane,Mumbai Indians
AD Mathews,16,13,2,0,123.08,16,1,15,31,0,13.3,,,2.33,1,0,191,AD Mathews,Kolkata Knight Riders
SB Styris,14,8,0,1,175,14,1,49,64,5,8,,9.8,8,1,0,58,SB Styris,Deccan Chargers
Yashpal Singh,27,47,2,0,57.45,9,3,0,0,0,,,,0,0,0,170,Yashpal Singh,Kolkata Knight Riders
DJ Bravo,218,201,15,8,108.46,27.25,8,211,262,11,7.9,23.82,19.18,33.17,11,1,71,DJ Bravo,Mumbai Indians
DJ Hussey,98,57,7,6,171.93,24.5,4,25,34,0,8.5,,,4,1,0,4,DJ Hussey,Kolkata Knight Riders
W Jaffer,15,17,2,0,88.24,7.5,2,0,0,0,,,,0,0,0,7,W Jaffer,Royal Challengers Bangalore
DA Warner,163,132,16,5,123.48,23.29,7,0,0,0,,,,0,0,0,187,DA Warner,Delhi Daredevils
Joginder Sharma,20,18,0,1,111.11,20,1,43,57,2,8.14,,21.5,7,1,0,119,Joginder Sharma,Chennai Super Kings
S Sohal,115,91,9,8,126.37,14.38,8,0,0,0,,,,0,0,0,65,S Sohal,Kings XI Punjab
SK Trivedi,9,17,0,0,52.94,4.5,2,123,152,6,7.6,25.33,20.5,20,2,1,39,SK Trivedi,Rajasthan Royals
AN Ghosh,7,8,1,0,87.5,3.5,2,0,0,0,,,,0,0,0,173,AN Ghosh,Kolkata Knight Riders
M Morkel,8,8,1,0,100,8,1,44,40,0,5.71,,,7,2,0,190,M Morkel,Rajasthan Royals
ST Jayasuriya,221,190,23,7,116.32,18.42,12,119,163,7,8.58,23.29,17,19,5,0,44,ST Jayasuriya,Mumbai Indians
AM Salvi,0,0,0,0,,0,0,106,135,4,7.94,33.75,26.5,17,4,0,439,AM Salvi,Delhi Daredevils
RG Sharma,362,313,22,18,115.65,27.85,13,140,161,11,7,14.64,12.73,23,2,0,57,RG Sharma,Deccan Chargers
S Sreesanth,5,18,1,0,27.78,5,0,145,195,6,8.48,32.5,24.17,23,4,3,77,S Sreesanth,Kings XI Punjab
M Rawat,16,19,1,0,84.21,16,0,0,0,0,,,,0,0,0,36,M Rawat,Rajasthan Royals
A Singh,1,3,0,0,33.33,1,1,107,96,9,5.49,10.67,11.89,17.5,1,1,196,A Singh,Rajasthan Royals
RR Powar,23,22,2,0,104.55,23,1,132,135,5,6.43,27,26.4,21,6,0,153,RR Powar,Kings XI Punjab
RP Singh,8,17,0,0,47.06,2,4,382,423,23,7.09,18.39,16.61,59.67,17,7,61,RP Singh,Deccan Chargers
P Kumar,65,46,1,6,141.3,13,5,312,397,13,7.99,30.54,24,49.67,13,1,14,P Kumar,Royal Challengers Bangalore
MC Henriques,38,40,2,1,95,19,2,76,107,2,8.79,,38,12.17,3,0,163,MC Henriques,Kolkata Knight Riders
RR Raje,12,9,0,1,133.33,12,1,42,72,1,10.54,,42,6.83,1,0,115,RR Raje,Mumbai Indians
T Henderson,11,15,0,1,73.33,5.5,2,36,40,1,6.67,,36,6,0,0,159,T Henderson,Rajasthan Royals
K Goel,124,133,9,4,93.23,15.5,8,49,61,0,7.62,,,8,1,0,24,K Goel,Kings XI Punjab
DS Kulkarni,9,17,0,0,52.94,4.5,2,160,207,5,7.96,41.4,32,26,4,0,80,DS Kulkarni,Mumbai Indians
AB McDonald,3,4,0,0,75,3,1,18,22,0,7.33,,,3,0,0,198,AB McDonald,Delhi Daredevils
AC Gilchrist,495,322,54,29,153.73,30.94,16,0,0,0,,,,0,0,0,53,AC Gilchrist,Deccan Chargers
WPUJC Vaas,30,21,1,1,142.86,30,1,52,71,4,8.88,,13,8,2,2,60,WPUJC Vaas,Deccan Chargers
SS Tiwary,13,12,0,0,108.33,13,1,0,0,0,,,,0,0,0,79,SS Tiwary,Mumbai Indians
Mohammad Ashraful,2,10,0,0,20,2,1,0,0,0,,,,0,0,0,202,Mohammad Ashraful,Mumbai Indians
ML Hayden,572,393,60,22,145.55,52,11,0,0,0,,,,0,0,0,18,ML Hayden,Chennai Super Kings
SC Ganguly,143,176,9,4,81.25,14.3,10,55,74,2,8.22,,27.5,9,1,0,1,SC Ganguly,Kolkata Knight Riders
GJ Bailey,45,39,7,0,115.38,22.5,2,0,0,0,,,,0,0,0,197,GJ Bailey,Chennai Super Kings
S Badrinath,177,164,20,4,107.93,19.67,9,0,0,0,,,,0,0,0,23,S Badrinath,Chennai Super Kings
R Dravid,271,234,28,3,115.81,22.58,12,0,0,0,,,,0,0,0,6,R Dravid,Royal Challengers Bangalore
Pankaj Singh,1,2,0,0,50,1,1,45,65,2,9.29,,22.5,7,3,0,75,Pankaj Singh,Royal Challengers Bangalore
B Akhil,17,15,1,1,113.33,8.5,2,69,80,4,7.27,,17.25,11,3,0,12,B Akhil,Royal Challengers Bangalore
PJ Sangwan,6,10,0,0,60,6,1,297,365,15,7.82,24.33,19.8,46.67,15,2,116,PJ Sangwan,Delhi Daredevils
KV Sharma,1,3,0,0,33.33,1,1,0,0,0,,,,0,0,0,166,KV Sharma,Royal Challengers Bangalore
VVS Laxman,19,33,1,1,57.58,3.8,5,0,0,0,,,,0,0,0,55,VVS Laxman,Deccan Chargers
AD Mascarenhas,12,11,2,0,109.09,4,3,92,103,5,6.72,,18.4,15.33,0,0,137,AD Mascarenhas,Rajasthan Royals
Yuvraj Singh,340,294,25,16,115.65,28.33,12,121,142,6,7.1,23.67,20.17,20,1,0,27,Yuvraj Singh,Kings XI Punjab
BAW Mendis,0,1,0,0,0,0,1,73,98,1,8.17,,73,12,0,1,174,BAW Mendis,Kolkata Knight Riders
A Mishra,26,20,2,2,130,8.67,3,262,296,14,7.02,21.14,18.71,42.17,3,6,136,A Mishra,Delhi Daredevils
A Kumble,16,19,2,0,84.21,16,1,358,347,21,5.86,16.52,17.05,59.17,3,0,124,A Kumble,Royal Challengers Bangalore
