player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
MM Patel,0,1,0,0,0,0,1,329,367,22,6.76,16.68,14.95,54.33,3,0,126,MM Patel,Mumbai Indians
S Randiv,2,4,0,0,50,2,1,180,223,6,7.69,37.17,30,29,6,0,278,S Randiv,Chennai Super Kings
SP Goswami,29,29,5,0,100,7.25,4,0,0,0,,,,0,0,0,132,SP Goswami,Kolkata Knight Riders
TL Suman,65,51,5,5,127.45,10.83,6,36,50,0,8.33,,,6,0,0,178,TL Suman,Mumbai Indians
M Kartik,12,14,1,0,85.71,12,1,130,169,1,8.11,169,130,20.83,2,3,83,M Kartik,Pune Warriors
R McLaren,90,96,7,1,93.75,30,3,111,179,5,9.94,35.8,22.2,18,1,2,210,R McLaren,Kings XI Punjab
KC Sangakkara,358,291,44,5,123.02,27.54,13,0,0,0,,,,0,0,0,26,KC Sangakkara,Deccan Chargers
TM Dilshan,226,180,33,3,125.56,28.25,8,74,108,1,9,,74,12,2,0,135,TM Dilshan,Royal Challengers Bangalore
AA Jhunjhunwala,10,17,2,0,58.82,5,2,13,22,0,11,,,2,1,0,211,AA Jhunjhunwala,Pune Warriors
BA Bhatt,0,5,0,0,0,0,1,172,232,9,8.34,25.78,19.11,27.83,5,0,302,BA Bhatt,Kings XI Punjab
DL Vettori,23,28,1,1,82.14,23,1,312,311,12,6.02,25.92,26,51.67,2,0,175,DL Vettori,Royal Challengers Bangalore
PR Shah,5,5,1,0,100,5,1,0,0,0,,,,0,0,0,47,PR Shah,Rajasthan Royals
LRPL Taylor,181,150,11,7,120.67,36.2,5,6,11,0,11,,,1,0,0,52,LRPL Taylor,Rajasthan Royals
DE Bollinger,0,1,0,0,0,0,0,294,333,17,7.09,19.59,17.29,47,11,1,248,DE Bollinger,Chennai Super Kings
JD Ryder,292,196,37,11,148.98,22.46,13,94,118,4,7.7,,23.5,15.33,2,0,157,JD Ryder,Pune Warriors
CJ Ferguson,48,54,6,0,88.89,24,2,0,0,0,,,,0,0,0,295,CJ Ferguson,Pune Warriors
SB Jakati,0,0,0,0,,0,0,269,336,10,7.61,33.6,26.9,44.17,3,1,186,SB Jakati,Chennai Super Kings
MR Marsh,50,49,2,3,102.04,25,2,73,88,6,7.33,,12.17,12,1,0,253,MR Marsh,Pune Warriors
AG Murtaza,2,5,0,0,40,2,0,122,120,3,6,40,40.67,20,2,0,286,AG Murtaza,Mumbai Indians
