player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
BCJ Cutting,8,6,0,1,133.33,8,1,24,31,1,7.75,,24,4,0,0,385,BCJ Cutting,Rajasthan Royals
CA Lynn,58,49,5,3,118.37,29,2,0,0,0,,,,0,0,0,336,CA Lynn,Kolkata Knight Riders
Q de Kock,153,130,19,4,117.69,21.86,7,0,0,0,,,,0,0,0,355,Q de Kock,Delhi Daredevils
CJ Anderson,265,181,21,15,146.41,29.44,9,114,184,4,10.22,46,28.5,18,6,0,372,CJ Anderson,Mumbai Indians
R Sharma,0,0,0,0,,0,0,36,65,1,10.83,,36,6,0,0,235,R Sharma,Delhi Daredevils
M Kartik,0,0,0,0,,0,0,49,91,1,11.38,,49,8,1,0,83,M Kartik,Kings XI Punjab
NM Coulter-Nile,0,0,0,0,,0,0,26,27,2,6.75,,13,4,1,1,371,NM Coulter-Nile,Delhi Daredevils
V Sehwag,455,314,56,18,144.9,26.76,17,0,0,0,,,,0,0,0,41,V Sehwag,Kings XI Punjab
M Manhas,35,23,3,1,152.17,17.5,2,0,0,0,,,,0,0,0,171,M Manhas,Chennai Super Kings
DR Smith,566,415,50,34,136.39,35.38,16,62,98,4,9.8,,15.5,10,2,0,147,DR Smith,Chennai Super Kings
LRPL Taylor,59,59,6,0,100,19.67,3,0,0,0,,,,0,0,0,52,LRPL Taylor,Delhi Daredevils
MK Pandey,382,329,34,9,116.11,31.83,12,0,0,0,,,,0,0,0,96,MK Pandey,Kolkata Knight Riders
R Dhawan,82,75,8,1,109.33,41,2,294,368,13,7.78,28.31,22.62,47.33,10,0,356,R Dhawan,Kings XI Punjab
UT Yadav,2,4,0,0,50,2,1,283,370,11,8.22,33.64,25.73,45,10,3,232,UT Yadav,Kolkata Knight Riders
JP Faulkner,179,92,8,16,194.57,44.75,4,258,414,8,10.1,51.75,32.25,41,10,2,310,JP Faulkner,Rajasthan Royals
Parvez Rasool,0,0,0,0,,0,0,56,83,1,9.22,,56,9,2,0,366,Parvez Rasool,Sunrisers Hyderabad
SB Jakati,0,0,0,0,,0,0,22,41,0,11.17,,,3.67,0,0,186,SB Jakati,Royal Challengers Bangalore
YK Pathan,268,165,15,20,162.42,29.78,9,6,10,0,10,,,1,0,0,31,YK Pathan,Kolkata Knight Riders
KL Rahul,166,164,12,3,101.22,20.75,8,0,0,0,,,,0,0,0,354,KL Rahul,Sunrisers Hyderabad
MM Sharma,1,3,0,0,33.33,1,0,324,452,23,8.4,19.65,14.09,53.83,1,0,364,MM Sharma,Chennai Super Kings
PA Patel,205,185,30,1,110.81,20.5,10,0,0,0,,,,0,0,0,17,PA Patel,Royal Challengers Bangalore
SP Narine,9,13,0,0,69.23,4.5,2,362,384,21,6.4,18.29,17.24,60,0,2,315,SP Narine,Kolkata Knight Riders
SV Samson,319,254,21,17,125.59,26.58,12,0,0,0,,,,0,0,0,351,SV Samson,Rajasthan Royals
AR Patel,62,60,6,1,103.33,10.33,6,403,412,17,6.24,24.24,23.71,66,7,0,374,AR Patel,Kings XI Punjab
BR Dunk,40,35,7,0,114.29,13.33,3,0,0,0,,,,0,0,0,379,BR Dunk,Mumbai Indians
S Anirudha,3,5,0,0,60,3,1,0,0,0,,,,0,0,0,125,S Anirudha,Sunrisers Hyderabad
DW Steyn,22,26,1,0,84.62,7.33,3,342,432,11,7.71,39.27,31.09,56,6,0,94,DW Steyn,Sunrisers Hyderabad
KK Nair,329,227,38,9,144.93,36.56,9,0,0,0,,,,0,0,0,339,KK Nair,Rajasthan Royals
JP Duminy,410,302,22,20,135.76,51.25,8,204,240,3,7.27,80,68,33,6,0,154,JP Duminy,Delhi Daredevils
CH Gayle,196,184,18,12,106.52,21.78,9,0,0,0,,,,0,0,0,162,CH Gayle,Royal Challengers Bangalore
AM Nayar,43,46,5,1,93.48,14.33,3,0,0,0,,,,0,0,0,48,AM Nayar,Rajasthan Royals
VS Malik,1,2,0,0,50,1,0,19,29,1,9.67,,19,3,1,0,243,VS Malik,Rajasthan Royals
LMP Simmons,394,290,43,14,135.86,56.29,7,18,34,1,11.33,,18,3,0,0,383,LMP Simmons,Mumbai Indians
P Suyal,0,0,0,0,,0,0,21,35,1,11.67,,21,3,3,0,453,P Suyal,Mumbai Indians
MG Johnson,56,50,4,3,112,18.67,3,340,445,17,8.32,26.18,20,53.5,13,6,357,MG Johnson,Kings XI Punjab
MA Starc,85,84,9,0,101.19,14.17,6,340,403,14,7.51,28.79,24.29,53.67,16,2,378,MA Starc,Royal Challengers Bangalore
SK Raina,523,357,51,19,146.5,40.23,13,109,134,1,7.44,134,109,18,1,0,21,SK Raina,Chennai Super Kings
Mandeep Singh,24,25,2,0,96,8,3,0,0,0,,,,0,0,0,236,Mandeep Singh,Kings XI Punjab
R Tewatia,16,13,0,1,123.08,16,1,55,59,2,6.56,,27.5,9,1,0,390,R Tewatia,Rajasthan Royals
KK Cooper,39,26,2,3,150,13,3,110,137,4,7.61,34.25,27.5,18,1,1,309,KK Cooper,Rajasthan Royals
DJG Sammy,108,91,4,8,118.68,15.43,7,88,158,3,11.29,,29.33,14,3,1,362,DJG Sammy,Sunrisers Hyderabad
V Shankar,0,0,0,0,,0,0,6,19,0,19,,,1,0,0,455,V Shankar,Chennai Super Kings
R Ashwin,45,45,4,0,100,15,3,379,437,16,7.3,27.31,23.69,59.83,20,0,201,R Ashwin,Chennai Super Kings
MA Agarwal,115,91,12,3,126.37,14.38,8,0,0,0,,,,0,0,0,260,MA Agarwal,Delhi Daredevils
M de Lange,1,2,0,0,50,1,1,26,32,2,8,,13,4,1,1,389,M de Lange,Mumbai Indians
