player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
SP Narine,Kolkata Night Riders,143,85,17,9,168.24,17.88,8,273,347,10,7.83,34.7,27.3,44.33,7,0
Mohammad Nabi,Mumbai Indians,84,55,6,5,152.73,16.8,5,151,173,7,6.87,24.71,21.57,25.17,1,0
STR Binny,Rajasthan Royals,70,40,5,4,175,23.33,3,43,44,1,6.29,1,43,7,1,0
RG Sharma,Mumbai Indians,381,296,47,10,128.72,29.31,13,1,1,1,1,1,1,1,1,0
SN Khan,Kings XI Punjab,180,141,19,4,127.66,45,4,2,6,1,18.18,1,1,0.33,1,0
P Ray Barman,Royal Challengers Bangalore,19,24,2,1,79.17,19,1,24,56,1,14,1,1,4,1,0
AS Roy,Mumbai Indians,1,1,1,1,1,1,1,15,11,1,5.5,1,15,2,3,0
CH Gayle,Kings XI Punjab,490,319,45,34,153.61,40.83,12,1,1,1,1,1,1,1,1,0
AR Patel,Delhi Capitals,110,87,10,3,126.44,18.33,6,307,367,10,7.2,36.7,30.7,51,1,0
CH Morris,Delhi Capitals,32,37,1,2,86.49,5.33,6,182,274,12,9.45,22.83,15.17,29,6,2
AS Rajpoot,Kings XI Punjab,1,1,1,1,1,1,1,102,154,3,9.62,51.33,34,16,1,5
SK Raina,Chennai Super Kings,383,312,45,9,122.76,23.94,16,6,6,1,6,1,1,1,1,0
S Lamichhane,Delhi Capitals,1,1,1,1,1,1,1,114,181,7,9.53,25.86,16.29,19,1,0
S Nadeem,Delhi Capitals,1,1,1,1,1,1,1,54,90,2,10,45,27,9,1,0
KL Rahul,Kings XI Punjab,593,437,49,25,135.7,53.91,11,1,1,1,1,1,1,1,1,0
S Kaul,Sunrisers Hyderabad,1,1,1,1,1,1,1,169,242,6,8.96,40.33,28.17,27,5,2
KA Pollard,Mumbai Indians,269,166,14,21,162.05,38.43,7,1,1,1,1,1,1,1,1,0
Navdeep Saini,Royal Challengers Bangalore,2,3,1,1,66.67,2,1,293,392,11,8.34,35.64,26.64,47,6,5
K Rabada,Delhi Capitals,14,15,1,1,93.33,4.67,3,267,328,24,7.63,13.67,11.12,43,9,0
RK Bhui,Sunrisers Hyderabad,7,12,1,1,58.33,7,1,1,1,1,1,1,1,1,1,0
J Suchith,Delhi Capitals,6,15,1,1,40,6,1,24,28,2,7,1,12,4,1,0
DJ Bravo,Chennai Super Kings,80,66,6,3,121.21,16,5,263,333,11,8.09,30.27,23.91,41.17,14,2
BCJ Cutting,Mumbai Indians,18,17,1,1,105.88,9,2,12,27,1,13.5,1,12,2,1,0
RA Jadeja,Chennai Super Kings,106,87,7,4,121.84,35.33,3,326,343,15,6.35,22.87,21.73,54,2,0
TG Southee,Royal Challengers Bangalore,9,9,1,1,100,9,1,58,121,1,13.44,121,58,9,4,0
DL Chahar,Chennai Super Kings,7,9,1,1,77.78,3.5,2,400,482,22,7.47,21.91,18.18,64.5,10,3
UT Yadav,Royal Challengers Bangalore,25,25,3,1,100,12.5,2,232,364,8,9.88,45.5,29,36.83,10,1
AD Nath,Royal Challengers Bangalore,61,57,5,2,107.02,12.2,5,1,1,1,1,1,1,1,1,0
PP Chawla,Kolkata Night Riders,30,32,3,1,93.75,15,2,243,366,9,9.04,40.67,27,40.5,1,0
HF Gurney,Kolkata Night Riders,1,5,1,1,20,1,1,169,238,7,8.81,34,24.14,27,6,1
KMA Paul,Delhi Capitals,18,24,1,1,75,3.6,5,180,237,9,8.72,26.33,20,27.17,12,5
KK Nair,Kings XI Punjab,5,6,1,1,83.33,5,1,1,1,1,1,1,1,1,1,0
Sandeep Sharma,Rajasthan Royals,6,3,1,1,200,6,1,265,352,12,8.25,29.33,22.08,42.67,9,0
Kuldeep Yadav,Kolkata Night Riders,2,3,1,1,66.67,1,2,178,245,2,8.45,122.5,89,29,4,0
K Gowtham,Rajasthan Royals,18,19,1,1,94.74,6,3,122,167,1,8.35,167,122,20,2,0
CV Varun,Kings XI Punjab,1,1,1,1,1,1,1,18,35,1,11.67,1,18,3,1,0
PA Patel,Royal Challengers Bangalore,365,260,47,10,140.38,28.08,13,1,1,1,1,1,1,1,1,0
MA Agarwal,Royal Challengers Bangalore,332,234,26,14,141.88,25.54,13,1,1,1,1,1,1,1,1,0
Mujeeb Ur Rahman,Kings XI Punjab,1,4,1,1,1,1,1,123,192,3,10.11,64,41,19,9,0
JC Buttler,Rajasthan Royals,311,205,38,14,151.71,38.88,8,1,1,1,1,1,1,1,1,0
MM Ali,Royal Challengers Bangalore,220,133,16,17,165.41,27.5,8,151,169,6,6.76,28.17,25.17,25,1,0
Harbhajan Singh,Chennai Super Kings,1,3,1,1,33.33,1,1,269,312,16,7.09,19.5,16.81,44,5,0
Mohammed Siraj,Royal Challengers Bangalore,4,12,1,1,33.33,4,1,179,269,7,9.55,38.43,25.57,28.17,8,2
DJ Hooda,Kings XI Punjab,64,63,5,1,101.59,10.67,6,13,21,1,10.5,1,13,2,1,0
JL Denly,Kolkata Night Riders,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
SV Samson,Rajasthan Royals,314,216,26,10,145.37,34.89,9,1,1,1,1,1,1,1,1,0
AM Rahane,Rajasthan Royals,393,285,45,9,137.89,32.75,12,1,1,1,1,1,1,1,1,0
AJ Tye,Kings XI Punjab ,1,2,1,1,1,1,1,137,233,3,10.59,77.67,45.67,22,5,0
KC Cariappa,Kolkata Night Riders,9,3,1,1,300,9,1,13,34,1,17,1,1,2,1,0
SPD Smith,Rajasthan Royals,319,273,30,4,116.85,39.88,8,1,1,1,1,1,1,1,1,0
PP Shaw,Delhi Capitals,254,208,33,6,122.12,16.93,15,1,1,1,1,1,1,1,1,0
KK Ahmed,Sunrisers Hyderabad,1,1,1,1,1,1,1,198,246,16,7.98,15.38,12.38,30.83,13,0
R Tewatia,Delhi Capitals,26,22,2,1,118.18,26,1,39,42,2,6.64,1,19.5,6.33,1,0
Shubman Gill,Kolkata Night Riders,292,232,21,10,125.86,36.5,8,1,1,1,1,1,1,1,1,0
MK Lomror,Rajasthan Royals,8,3,2,1,266.67,8,1,1,1,1,1,1,1,1,1,0
Yuvraj Singh,Kings XI Punjab,98,75,7,6,130.67,24.5,4,1,1,1,1,1,1,1,1,0
KS Williamson,Sunrisers Hyderabad,153,122,12,5,125.41,25.5,6,1,1,1,1,1,1,1,1,0
RA Tripathi,Rajasthan Royals,141,117,13,2,120.51,23.5,6,1,1,1,1,1,1,1,1,0
CA Lynn,Kolkata Night Riders,385,270,38,22,142.59,32.08,12,1,1,1,1,1,1,1,1,0
Avesh Khan,Rajasthan Royals,4,3,1,1,133.33,4,1,19,30,1,10,1,1,3,1,0
B Kumar,Sunrisers Hyderabad,12,19,1,1,63.16,4,3,342,432,12,7.85,36,28.5,55,11,1
MJ Guptill,Sunrisers Hyderabad,66,42,3,6,157.14,33,2,1,1,1,1,1,1,1,1,0
YK Pathan,Sunrisers Hyderabad,40,45,1,1,88.89,13.33,3,6,8,1,8,1,1,1,1,0
Arshdeep Singh,Kings XI Punjab,1,1,1,1,1,1,1,65,112,3,11.2,37.33,21.67,10,5,0
RK Singh,Kolkata Night Riders,37,34,1,2,108.82,18.5,2,1,1,1,1,1,1,1,1,0
RD Chahar,Mumbai Indians,12,11,2,1,109.09,6,2,263,287,13,6.67,22.08,20.23,43,5,0
LS Livingstone,Rajasthan Royals,59,41,5,4,143.9,19.67,3,6,13,1,13,1,1,1,1,0
SL Malinga,Mumbai Indians,1,1,1,1,1,1,1,256,402,16,9.85,25.12,16,40.83,9,2
Harpreet Brar,Kings XI Punjab,20,12,2,1,166.67,20,1,30,48,1,9.6,1,1,5,1,0
Rasikh Salam,Mumbai Indians,5,4,1,1,125,5,1,27,42,1,10.5,1,1,4,1,2
GC Viljoen,Kings XI Punjab,3,7,1,1,42.86,1.5,2,146,225,7,9.78,32.14,20.86,23,8,0
V Kohli,Royal Challengers Bangalore,439,320,45,10,137.19,33.77,13,1,1,1,1,1,1,1,1,0
AB de Villiers,Royal Challengers Bangalore,432,283,29,26,152.65,48,9,1,1,1,1,1,1,1,1,0
CR Brathwaite,Kolkata Night Riders,11,9,1,1,122.22,5.5,2,21,29,1,9.67,1,1,3,3,0
JJ Bumrah,Mumbai Indians,1,1,1,1,1,1,1,354,381,17,6.61,22.41,20.82,57.67,4,4
DR Shorey,Chennai Super Kings,5,8,1,1,62.5,5,1,1,1,1,1,1,1,1,1,0
Y Prithvi Raj,Kolkata Night Riders,1,1,1,1,1,1,1,33,57,1,11.4,1,33,5,3,0
S Dube,Royal Challengers Bangalore,40,33,1,3,121.21,13.33,3,11,8,1,4.79,1,1,1.67,1,0
M Ashwin,Kings XI Punjab,3,5,1,1,60,3,1,211,255,5,7.5,51,42.2,34,6,1
KM Jadhav,Chennai Super Kings,162,166,19,3,97.59,18,9,1,1,1,1,1,1,1,1,0
V Shankar,Sunrisers Hyderabad,232,176,11,12,131.82,21.09,11,52,70,1,8.75,70,52,8,3,1
C Munro,Delhi Capitals,84,70,9,4,120,21,4,1,1,1,1,1,1,1,1,0
MP Stoinis,Royal Challengers Bangalore,211,155,14,10,136.13,70.33,3,103,145,2,8.7,72.5,51.5,16.67,3,0
DS Kulkarni,Rajasthan Royals,5,3,1,0,166.67,5,1,219,335,6,9.57,55.83,36.5,35,8,1
MJ Santner,Chennai Super Kings,32,22,1,3,145.45,32,1,88,94,4,6.71,23.5,22,14,3,1
Washington Sundar,Royal Challengers Bangalore,1,3,1,1,33.33,0.5,2,54,74,4,8.22,18.5,13.5,9,1,0
SA Yadav,Mumbai Indians,401,307,42,9,130.62,33.42,12,1,1,1,1,1,1,1,1,0
DW Steyn,Royal Challengers Bangalore,1,1,1,1,1,1,1,48,72,4,9,1,12,8,1,0
J Yadav,Mumbai Indians,1,1,1,1,1,1,1,43,50,1,7.14,1,43,7,1,1
KH Pandya,Mumbai Indians,174,147,18,4,118.37,15.82,11,257,313,10,7.45,31.3,25.7,42,5,0
RV Uthappa,Kolkata Night Riders,271,239,26,10,113.39,33.88,8,1,1,1,1,1,1,1,1,0
JD Unadkat,Rajasthan Royals,1,3,1,1,33.33,1,1,230,392,9,10.79,43.56,25.56,36.33,12,0
SR Watson,Chennai Super Kings,398,311,42,20,127.97,23.41,17,1,1,1,1,1,1,1,1,0
AS Joseph,Mumbai Indians,15,13,2,1,115.38,15,1,55,87,6,10.03,14.5,9.17,8.67,3,0
A Mishra,Delhi Capitals,21,24,2,1,87.5,10.5,2,218,234,10,6.5,23.4,21.8,36,2,0
AD Russell,Kolkata Night Riders,448,219,27,46,204.57,56,8,164,259,10,9.53,25.9,16.4,27.17,1,0
Mandeep Singh,Kings XI Punjab,165,120,10,4,137.5,41.25,4,12,26,1,13,1,1,2,1,0
F du Plessis,Chennai Super Kings,396,321,36,15,123.36,36,11,1,1,1,1,1,1,1,1,0
SW Billings,Chennai Super Kings,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Basil Thampi,Sunrisers Hyderabad,1,1,1,1,100,1,1,48,70,1,8.75,1,1,8,1,0
I Sharma,Delhi Capitals,10,3,1,1,333.33,10,1,285,355,13,7.72,27.31,21.92,46,9,0
MJ McClenaghan,Mumbai Indians,11,16,2,1,68.75,3.67,3,114,142,3,7.89,47.33,38,18,6,0
Mohammed Shami,Kings XI Punjab,1,2,1,1,50,1,1,331,469,19,8.69,24.68,17.42,54,6,1
SD Lad,Kolkata Night Riders,15,13,1,1,115.38,15,1,1,1,1,1,1,1,1,1,0
Ishan Kishan,Mumbai Indians,101,100,8,4,101,16.83,6,1,1,1,1,1,1,1,1,0
Rashid Khan,Sunrisers Hyderabad,34,23,2,2,147.83,6.8,5,340,359,17,6.41,21.12,20,56,4,0
P Simran Singh,Kings XI Punjab ,16,17,1,1,94.12,16,1,1,1,1,1,1,1,1,1,0
M Vijay,Chennai Super Kings,64,61,6,1,104.92,32,2,1,1,1,1,1,1,1,1,0
GH Vihari,Delhi Capitals,2,5,1,1,40,2,1,6,9,1,9,1,1,1,1,0
AT Rayudu,Chennai Super Kings,282,301,20,7,93.69,23.5,12,1,1,1,1,1,1,1,1,0
MS Dhoni,Chennai Super Kings,416,305,22,23,136.39,83.2,5,1,1,1,1,1,1,1,1,0
S Midhun,Rajasthan Royals,1,1,1,1,1,1,1,13,28,1,14,1,1,2,1,0
DA Miller,Kings XI Punjab,213,163,19,7,130.67,26.62,8,1,1,1,1,1,1,1,1,0
E Lewis,Mumbai Indians,47,46,4,2,102.17,23.5,2,1,1,1,1,1,1,1,1,0
Imran Tahir,Chennai Super Kings,1,1,1,1,1,1,1,388,437,26,6.79,16.81,14.92,64.33,2,0
SS Iyer,Delhi Capitals,420,352,37,12,119.32,30,14,1,1,1,1,1,1,1,1,0
Shakib Al Hasan,Sunrisers Hyderabad,9,10,1,1,90,9,1,66,95,2,8.77,47.5,33,10.83,1,0
