player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
KD Karthik,Kolkata Night Riders,203,136,17,12,149.26,29,7,1,1,1,1,1,1,1,1,0
MM Sharma,Chennai Super Kings,1,2,1,1,1,1,1,18,27,1,9,1,18,3,1,0
BB Sran,Mumbai Indians,3,3,0,0,100,3,1,12,27,1,13.5,1,1,2,1,0
S Dhawan,Delhi Capitals,505,374,62,10,135.03,36.07,14,1,1,1,1,1,1,1,1,0
M Markande,Kings XI Punjab,6,5,1,1,120,6,1,37,59,1,9.83,1,37,6,1,0
JC Archer,Rajasthan Royals,67,40,4,4,167.5,33.5,2,264,297,11,6.91,27,24,43,4,2
TA Boult,Mumbai Indians,7,4,1,1,175,7,1,120,163,5,8.58,32.6,24,19,6,0
K Khejroliya,Royal Challengers Bangalore,1,1,1,1,1,1,1,25,29,1,7.25,1,25,4,1,0
R Ashwin,Kings XI Punjab,42,28,3,3,150,8.4,5,342,400,15,7.27,26.67,22.8,55,12,0
KV Sharma,Chennai Super Kings,1,1,1,1,1,1,1,17,33,1,11.66,1,17,2.83,1,0
SM Curran,Kings XI Punjab,95,55,13,3,172.73,23.75,4,207,323,10,9.79,32.3,20.7,33,8,1
N Pooran,Kings XI Punjab,168,107,10,14,157.01,28,6,1,1,1,1,1,1,1,1,0
SN Thakur,Chennai Super Kings,14,7,1,1,200,7,2,190,281,8,9.37,35.12,23.75,30,10,0
C de Grandhomme,Royal Challengers Bangalore,46,49,4,2,93.88,15.33,3,31,55,1,11,1,1,5,1,0
HV Patel,Royal Challengers Bangalore,1,2,1,1,1,1,1,26,37,1,9.25,1,1,4,2,0
SC Kuggeleijn,Chennai Super Kings,1,1,1,1,1,1,1,50,71,2,8.88,1,25,8,2,0
WP Saha,Sunrisers Hyderabad,61,38,8,1,160.53,15.25,4,1,1,1,1,1,1,1,1,0
Abhishek Sharma,Sunrisers Hyderabad,7,6,1,1,116.67,7,1,13,21,1,10.5,1,13,2,1,1
S Sandeep Warrier,Kolkata Night Riders,1,1,1,1,1,1,1,73,85,2,7.08,42.5,36.5,12,1,1
N Rana,Kolkata Night Riders,343,233,27,21,147.21,38.11,9,44,64,3,9.14,1,14.67,7,2,0
IS Sodhi,Rajasthan Royals,6,11,1,1,54.55,6,1,44,67,4,9.34,1,11,7.17,1,0
YS Chahal,Rajasthan Royals,6,16,1,1,37.5,3,2,306,390,17,7.96,22.94,18,49,12,0
BA Stokes,Rajasthan Royals,123,97,8,4,126.8,20.5,6,109,195,6,11.59,32.5,18.17,16.83,7,1
Q de Kock,Mumbai Indians,460,339,39,23,135.69,30.67,15,1,1,1,1,1,1,1,1,0
RR Pant,Delhi Capitals,477,283,36,27,168.55,39.75,12,1,1,1,1,1,1,1,1,0
JP Behrendorff,Chennai Super Kings,1,1,1,1,1,1,1,117,165,5,8.68,33,23.4,19,3,0
H Klaasen,Royal Challengers Bangalore,3,3,1,1,100,3,1,1,1,1,1,1,1,1,1,0
HH Pandya,Mumbai Indians,384,199,27,28,192.96,48,8,257,373,12,9.21,31.08,21.42,40.5,13,1
JM Bairstow,Sunrisers Hyderabad,445,281,48,18,158.36,55.62,8,1,1,1,1,1,1,1,1,0
P Negi,Royal Challengers Bangalore,5,9,1,1,55.56,1.67,3,70,102,3,9.13,34,23.33,11.17,3,0
AJ Turner,Rajasthan Royals,3,10,1,1,30,1,3,1,1,1,1,1,1,1,1,0
LH Ferguson,Kolkata Night Riders,1,1,1,1,1,1,1,81,145,1,11.15,145,81,13,3,0
R Parag,Rajasthan Royals,160,126,17,5,126.98,32,5,78,111,1,8.54,111,78,13,1,0
CA Ingram,Delhi Capitals,174,147,19,5,118.37,19.33,9,1,1,1,1,1,1,1,1,0
SO Hetmyer,Royal Challengers Bangalore,90,73,4,7,123.29,18,5,1,1,1,1,1,1,1,1,0
M Prasidh Krishna,Kolkata Night Riders,1,2,1,1,1,1,1,229,344,4,9.47,86,57.25,36.33,7,4
DA Warner,Sunrisers Hyderabad,692,481,57,21,143.87,69.2,10,1,1,1,1,1,1,1,1,0
SE Rutherford,Delhi Capitals,73,54,2,7,135.19,14.6,5,46,59,1,8.64,1,46,6.83,5,0
MK Pandey,Kolkata Night Riders,273,216,26,4,126.39,34.12,8,1,1,1,1,1,1,1,1,0
S Gopal,Rajasthan Royals,63,46,8,1,136.96,15.75,4,283,335,17,7.13,19.71,16.65,47,1,1
O Thomas,Rajasthan Royals,1,1,1,1,1,1,1,56,74,3,8.22,24.67,18.67,9,1,1
Gurkeerat Singh,Royal Challengers Bangalore,92,67,10,2,137.31,46,2,1,1,1,1,1,1,1,1,0
VR Aaron,Rajasthan Royals,3,7,1,1,42.86,3,1,68,102,4,9.27,25.5,17,11,2,0
