,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
0,TH David,186,86,12,16,216.28,37.2,5,0,0,0,,,,0.0,0,0,Mumbai Indians
1,PN Mankad,4,1,1,0,400.0,4.0,0,0,0,0,,,,0.0,0,0,Lucknow Super Giants
2,Q de Kock,508,340,47,23,149.41,36.29,14,0,0,0,,,,0.0,0,0,Lucknow Super Giants
3,KR Sen,0,3,0,0,0.0,0.0,0,157,237,8,9.42,29.62,19.62,25.17,6,0,Rajasthan Royals
4,Yash Dayal,0,1,0,0,0.0,0.0,1,205,296,11,9.25,26.91,18.64,32.0,10,3,Gujarat Titans
5,AS Roy,0,2,0,0,0.0,0.0,1,42,55,1,7.86,,42.0,7.0,0,0,Kolkate Knight Riders
6,Tilak Varma,397,302,29,16,131.46,36.09,11,12,13,0,6.5,,,2.0,0,0,Chennai Super Kings
7,MK Pandey,88,80,9,2,110.0,14.67,6,0,0,0,,,,0.0,0,0,Delhi Capitals
8,KS Sharma,4,4,1,0,100.0,4.0,1,0,0,0,,,,0.0,0,0,Lucknow Super Giants
9,R Dhawan,37,40,4,2,92.5,18.5,2,119,162,6,8.53,27.0,19.83,19.0,5,0,Punjab Kings
10,Arshdeep Singh,21,29,3,0,72.41,7.0,3,317,394,10,7.88,39.4,31.7,50.0,13,4,Punjab Kings
11,UT Yadav,55,40,4,4,137.5,13.75,4,297,346,16,7.21,21.62,18.56,48.0,4,5,Kolkate Knight Riders
12,M Shahrukh Khan,117,108,4,9,108.33,16.71,7,0,0,0,,,,0.0,0,0,Punjab Kings
13,Rashid Khan,91,44,3,9,206.82,22.75,4,386,424,19,6.64,22.32,20.32,63.83,3,0,Gujarat Titans
14,JR Hazlewood,18,26,1,0,69.23,18.0,0,289,377,20,8.11,18.85,14.45,46.5,10,0,Royal Challengers Bangalore
15,KL Rahul,616,454,45,30,135.68,51.33,12,0,0,0,,,,0.0,0,0,Lucknow Super Giants
16,MR Marsh,251,189,19,14,132.8,31.38,8,76,102,4,8.5,,19.0,12.0,4,0,Delhi Capitals
17,SP Narine,71,40,6,6,177.5,8.88,8,342,315,9,5.62,35.0,38.0,56.0,6,0,Kolkate Knight Riders
18,SV Samson,458,311,43,26,147.27,28.62,16,0,0,0,,,,0.0,0,0,Rajasthan Royals
19,AR Patel,182,120,12,10,151.67,45.5,4,261,322,6,7.49,53.67,43.5,43.0,3,0,Delhi Capitals
20,M Jansen,9,7,0,1,128.57,9.0,1,201,274,7,8.56,39.14,28.71,32.0,9,0,Sunrisers Hyderabad
21,Kartik Tyagi,7,6,1,0,116.67,3.5,2,54,79,1,9.88,,54.0,8.0,4,2,Sunrisers Hyderabad
22,VR Iyer,182,169,17,7,107.69,16.55,11,24,46,0,11.5,,,4.0,0,0,Kolkate Knight Riders
23,Harpreet Brar,22,25,1,2,88.0,7.33,3,100,146,4,9.12,,25.0,16.0,4,0,Punjab Kings
24,Washington Sundar,101,69,9,3,146.38,14.43,7,170,239,6,8.54,39.83,28.33,28.0,1,1,Sunrisers Hyderabad
25,A Nortje,1,6,0,0,16.67,1.0,0,143,217,9,9.72,24.11,15.89,22.33,5,4,Delhi Capitals
26,MJ Santner,22,27,3,0,81.48,11.0,2,114,133,4,7.0,33.25,28.5,19.0,0,0,Chennai Super Kings
27,LH Ferguson,5,4,1,0,125.0,2.5,2,298,427,12,8.96,35.58,24.83,47.67,11,1,Kolkate Knight Riders
28,RD Gaikwad,368,289,33,14,127.34,26.29,14,0,0,0,,,,0.0,0,0,Chennai Super Kings
29,R Tewatia,217,147,22,9,147.62,31.0,7,36,76,0,12.67,,,6.0,0,0,Gujarat Titans
30,A Manohar,108,75,14,3,144.0,18.0,6,0,0,0,,,,0.0,0,0,Gujarat Titans
31,Mandeep Singh,18,23,4,0,78.26,6.0,3,0,0,0,,,,0.0,0,0,Kolkate Knight Riders
32,KK Ahmed,0,2,0,0,0.0,0.0,2,242,315,16,8.04,19.69,15.12,39.17,6,1,Delhi Capitals
33,V Shankar,19,35,1,0,54.29,4.75,4,10,15,0,10.0,,,1.5,1,0,Gujarat Titans
34,R Ashwin,191,134,14,9,142.54,27.29,7,419,503,12,7.51,41.92,34.92,67.0,16,1,Rajasthan Royals
35,MA Agarwal,196,160,23,6,122.5,16.33,12,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
36,D Pretorius,44,28,3,3,157.14,11.0,4,138,210,6,10.0,35.0,23.0,21.0,12,0,Chennai Super Kings
37,Mohsin Khan,23,16,2,1,143.75,23.0,1,206,200,14,6.06,14.29,14.71,33.0,8,0,Lucknow Super Giants
38,JD Unadkat,59,37,4,3,159.46,19.67,3,123,190,6,9.5,31.67,20.5,20.0,3,0,Lucknow Super Giants
39,TG Southee,2,12,0,0,16.67,0.5,4,220,275,14,7.86,19.64,15.71,35.0,9,1,Kolkate Knight Riders
40,T Stubbs,2,4,0,0,50.0,1.0,2,0,0,0,,,,0.0,0,0,Mumbai Indians
