,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
41,RA Tripathi,413,260,40,20,158.85,34.42,12,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
42,C Sakariya,0,0,0,0,,0.0,0,71,84,3,7.64,,23.67,11.0,5,0,Delhi Capitals
43,Mohammed Siraj,30,33,5,0,90.91,15.0,2,325,518,9,10.16,57.56,36.11,51.0,16,3,Royal Challengers Bangalore
44,DJ Willey,18,30,3,0,60.0,9.0,2,66,72,1,6.55,,66.0,11.0,0,0,Gujarat Titans
45,K Rabada,48,42,5,2,114.29,9.6,5,303,409,23,8.52,17.78,13.17,48.0,12,3,Punjab Kings
46,MK Lomror,86,57,7,4,150.88,17.2,5,12,18,0,9.0,,,2.0,0,0,Royal Challengers Bangalore
47,S Dhawan,460,372,47,12,123.66,38.33,12,0,0,0,,,,0.0,0,0,Punjab Kings
48,MP Stoinis,156,106,7,13,147.17,19.5,8,44,79,4,11.29,,11.0,7.0,2,0,Lucknow Super Giants
49,JO Holder,58,44,2,6,131.82,9.67,6,266,394,14,9.49,28.14,19.0,41.5,17,0,Rajasthan Royals
50,R Powell,250,167,10,22,149.7,25.0,10,7,17,0,17.0,,,1.0,1,0,Delhi Capitals
51,B Sai Sudharsan,145,113,14,3,128.32,36.25,4,0,0,0,,,,0.0,0,0,Gujarat Titans
52,RP Meredith,0,1,0,0,0.0,0.0,0,181,236,8,8.43,29.5,22.62,28.0,13,0,Mumbai Indians
53,Avesh Khan,22,13,0,3,169.23,22.0,1,300,419,19,8.79,22.05,15.79,47.67,13,1,Lucknow Super Giants
54,R Shepherd,58,40,2,5,145.0,29.0,2,57,98,3,10.89,,19.0,9.0,3,0,Lucknow Super Giants
55,SN Thakur,120,87,7,7,137.93,15.0,8,315,477,15,9.87,31.8,21.0,48.33,24,1,Kolkate Knight Riders
56,Ishan Kishan,418,346,45,11,120.81,32.15,13,0,0,0,,,,0.0,0,0,Mumbai Indians
57,RA Jadeja,116,98,6,5,118.37,19.33,6,203,251,5,7.61,50.2,40.6,33.0,5,0,Chennai Super Kings
58,Shubman Gill,483,362,51,11,133.43,34.5,14,0,0,0,,,,0.0,0,0,Gujarat Titans
59,T Natarajan,0,0,0,0,,0.0,0,272,406,18,9.44,22.56,15.11,43.0,14,0,Sunrisers Hyderabad
60,Sandeep Sharma,0,0,0,0,,0.0,0,126,154,2,7.7,77.0,63.0,20.0,6,0,Rajasthan Royals
61,YS Chahal,5,8,0,0,62.5,5.0,1,429,527,27,7.75,19.52,15.89,68.0,21,0,Rajasthan Royals
62,V Kohli,341,294,32,8,115.99,22.73,15,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
63,N Rana,361,249,29,22,144.98,27.77,13,12,23,0,11.5,,,2.0,0,0,Kolkate Knight Riders
64,SO Hetmyer,314,204,21,21,153.92,44.86,7,0,0,0,,,,0.0,0,0,Rajasthan Royals
65,M Theekshana,7,7,0,1,100.0,7.0,1,212,264,12,7.54,22.0,17.67,35.0,2,0,Chennai Super Kings
66,NT Ellis,0,2,0,0,0.0,0.0,1,40,55,3,9.17,,13.33,6.0,3,1,Punjab Kings
67,KD Karthik,330,178,27,22,185.39,55.0,6,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
68,K Gowtham,0,1,0,0,0.0,0.0,1,72,99,5,8.25,,14.4,12.0,0,0,Lucknow Super Giants
69,B Kumar,24,25,3,0,96.0,8.0,3,330,384,12,7.36,32.0,27.5,52.17,15,2,Sunrisers Hyderabad
70,N Pooran,306,212,16,21,144.34,38.25,8,0,0,0,,,,0.0,0,0,Lucknow Super Giants
71,OC McCoy,8,5,0,1,160.0,8.0,1,173,240,11,9.29,21.82,15.73,25.83,16,2,Rajasthan Royals
72,K Kartikeya,3,5,0,0,60.0,3.0,1,78,102,5,7.85,,15.6,13.0,0,0,Mumbai Indians
73,DG Nalkande,0,0,0,0,,0.0,0,33,59,2,11.41,,16.5,5.17,2,0,Gujarat Titans
74,DA Miller,481,335,32,23,143.58,68.71,7,0,0,0,,,,0.0,0,0,Gujarat Titans
75,D Padikkal,376,305,41,14,123.28,22.12,17,0,0,0,,,,0.0,0,0,Rajasthan Royals
76,Aman Hakim Khan,5,3,1,0,166.67,5.0,1,6,13,0,13.0,,,1.0,0,0,Delhi Capitals
77,Umran Malik,4,8,0,0,50.0,4.0,1,313,444,22,9.03,20.18,14.23,49.17,14,4,Sunrisers Hyderabad
78,MS Dhoni,232,186,21,10,124.73,33.14,7,0,0,0,,,,0.0,0,0,Chennai Super Kings
79,AD Russell,335,189,18,32,177.25,37.22,9,176,281,17,9.98,16.53,10.35,28.17,6,1,Kolkate Knight Riders
80,S Dube,289,184,22,16,157.07,28.9,10,14,39,0,19.5,,,2.0,2,0,Chennai Super Kings
81,N Jagadeesan,40,37,3,1,108.11,40.0,1,0,0,0,,,,0.0,0,0,Kolkate Knight Riders
82,P Simran Singh,14,11,2,0,127.27,14.0,1,0,0,0,,,,0.0,0,0,Punjab Kings
83,Ravi Bishnoi,0,1,0,0,0.0,0.0,0,340,459,13,8.5,35.31,26.15,54.0,13,3,Lucknow Super Giants
84,RD Chahar,77,68,7,4,113.24,12.83,6,290,363,14,7.78,25.93,20.71,46.67,10,0,Punjab Kings
85,WP Saha,317,259,40,7,122.39,31.7,10,0,0,0,,,,0.0,0,0,Gujarat Titans
86,Harshit Rana,2,2,0,0,100.0,2.0,1,31,51,1,10.2,,31.0,5.0,0,1,Kolkate Knight Riders
87,Shahbaz Ahmed,219,179,14,9,122.35,27.38,8,220,339,4,9.69,84.75,55.0,35.0,9,1,Royal Challengers Bangalore
88,AK Markram,381,273,25,19,139.56,47.62,8,36,64,1,10.67,,36.0,6.0,0,0,Sunrisers Hyderabad
89,PWH de Silva,38,43,4,1,88.37,5.43,7,346,433,26,7.6,16.65,13.31,57.0,4,0,Royal Challengers Bangalore
90,YBK Jaiswal,258,191,28,10,135.08,25.8,10,1,6,0,35.29,,,0.17,0,0,Rajasthan Royals
91,SA Yadav,303,206,23,16,147.09,43.29,7,0,0,0,,,,0.0,0,0,Mumbai Indians
92,AM Rahane,133,128,14,4,103.91,19.0,7,0,0,0,,,,0.0,0,0,Chennai Super Kings
93,KH Pandya,183,145,16,4,126.21,20.33,9,232,265,10,6.97,26.5,23.2,38.0,4,0,Lucknow Super Giants
94,Fazalhaq Farooqi,2,8,0,0,25.0,2.0,0,76,110,2,9.17,,38.0,12.0,4,0,Sunrisers Hyderabad
95,Lalit Yadav,161,144,11,7,111.81,23.0,7,110,151,4,8.39,37.75,27.5,18.0,1,1,Delhi Capitals
96,F du Plessis,468,367,49,13,127.52,31.2,15,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
97,AT Rayudu,274,223,25,15,122.87,24.91,11,0,0,0,,,,0.0,0,0,Chennai Super Kings
98,DJ Hooda,451,329,36,18,137.08,32.21,14,24,43,1,10.75,,24.0,4.0,0,0,Lucknow Super Giants
99,DA Warner,432,285,52,15,151.58,48.0,9,0,0,0,,,,0.0,0,0,Delhi Capitals
100,Kuldeep Yadav,48,52,3,2,92.31,48.0,1,306,419,21,8.44,19.95,14.57,49.67,8,0,Delhi Capitals
101,LS Livingstone,437,238,29,34,183.61,36.42,12,144,202,6,8.78,33.67,24.0,23.0,6,0,Punjab Kings
102,RK Singh,174,117,17,7,148.72,34.8,5,0,0,0,,,,0.0,0,0,Kolkate Knight Riders
103,JM Sharma,234,143,22,12,163.64,29.25,8,0,0,0,,,,0.0,0,0,Punjab Kings
104,GJ Maxwell,301,177,31,15,170.06,27.36,11,146,165,6,6.88,27.5,24.33,24.0,2,0,Royal Challengers Bangalore
105,Abdul Samad,4,7,0,0,57.14,2.0,2,6,8,0,8.0,,,1.0,0,0,Sunrisers Hyderabad
106,PP Shaw,283,184,37,10,153.8,28.3,10,0,0,0,,,,0.0,0,0,Delhi Capitals
107,MM Ali,244,177,24,11,137.85,24.4,10,146,158,8,6.63,19.75,18.25,23.83,3,0,Chennai Super Kings
108,CV Varun,12,18,2,0,66.67,12.0,0,245,335,6,8.59,55.83,40.83,39.0,8,3,Kolkate Knight Riders
109,M Pathirana,0,0,0,0,,0.0,0,48,52,2,7.61,,24.0,6.83,7,0,Chennai Super Kings
110,RG Sharma,268,222,28,13,120.72,19.14,14,0,0,0,,,,0.0,0,0,Mumbai Indians
111,RV Patel,6,3,0,1,200.0,6.0,1,0,0,0,,,,0.0,0,0,Delhi Capitals
112,Mustafizur Rahman,3,5,0,0,60.0,3.0,0,199,244,8,7.62,30.5,24.88,32.0,7,0,Delhi Capitals
113,TU Deshpande,0,0,0,0,,0.0,0,43,66,1,9.43,,43.0,7.0,1,0,Chennai Super Kings
114,R Parag,183,132,11,10,138.64,16.64,11,26,59,1,14.75,,26.0,4.0,2,0,Rajasthan Royals
115,HR Shokeen,43,48,5,0,89.58,21.5,2,94,128,2,8.53,,47.0,15.0,4,0,Mumbai Indians
116,PK Garg,46,33,4,2,139.39,23.0,2,0,0,0,,,,0.0,0,0,Delhi Capitals
117,SN Khan,91,67,9,2,135.82,30.33,3,0,0,0,,,,0.0,0,0,Delhi Capitals
118,M Markande,0,0,0,0,,0.0,0,42,60,1,8.57,,42.0,7.0,0,0,Sunrisers Hyderabad
119,M Ashwin,12,14,1,1,85.71,4.0,3,179,229,9,7.9,25.44,19.89,29.0,5,0,Rajasthan Royals
120,VG Arora,5,13,0,0,38.46,2.5,2,110,164,3,9.2,54.67,36.67,17.83,3,0,Kolkate Knight Riders
121,SS Prabhudessai,67,58,7,2,115.52,13.4,5,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
122,Abhishek Sharma,426,319,47,13,133.54,30.43,14,24,38,0,9.5,,,4.0,0,0,Sunrisers Hyderabad
123,JC Buttler,863,574,84,45,150.35,57.53,15,0,0,0,,,,0.0,0,0,Rajasthan Royals
124,DP Conway,252,172,23,12,146.51,42.0,6,0,0,0,,,,0.0,0,0,Chennai Super Kings
125,Anmolpreet Singh,13,13,1,0,100.0,6.5,2,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
126,Anuj Rawat,129,118,10,7,109.32,16.12,8,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
127,A Badoni,161,130,11,7,123.85,20.12,8,12,11,2,5.5,,6.0,2.0,0,0,Lucknow Super Giants
128,Akash Deep,0,2,0,0,0.0,0.0,1,119,205,5,10.89,41.0,23.8,18.83,4,2,Royal Challengers Bangalore
129,CJ Jordan,11,8,0,0,137.5,11.0,1,80,135,2,10.52,,40.0,12.83,1,2,Mumbai Indians
130,AS Joseph,5,7,0,0,71.43,5.0,1,185,264,7,8.8,37.71,26.43,30.0,4,1,Gujarat Titans
131,Mohammed Shami,0,0,0,0,,0.0,0,378,488,20,8.0,24.4,18.9,61.0,12,0,Gujarat Titans
132,Navdeep Saini,2,2,0,0,100.0,2.0,1,39,72,3,12.0,,13.0,6.0,2,1,Rajasthan Royals
133,HH Pandya,487,370,49,12,131.62,44.27,11,189,222,8,7.28,27.75,23.62,30.5,5,1,Gujarat Titans
134,TA Boult,40,29,2,1,137.93,20.0,2,387,495,16,7.98,30.94,24.19,62.0,15,0,Rajasthan Royals
135,HV Patel,43,39,4,2,110.26,8.6,5,338,414,19,7.74,21.79,17.79,53.5,17,0,Gujarat Titans
