player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,Player_Id,Player_Name,team
MM Patel,4,5,0,0,80,4,1,78,118,3,9.08,,26,13,0,0,126,MM Patel,Rajasthan Royals
SK Warne,10,19,0,0,52.63,2,5,305,383,11,7.66,34.82,27.73,50,5,0,38,SK Warne,Rajasthan Royals
TL Suman,307,255,23,12,120.39,34.11,9,13,24,0,12,,,2,0,1,178,TL Suman,Deccan Chargers
R Sharma,29,26,3,1,111.54,9.67,3,126,167,5,8.08,33.4,25.2,20.67,2,0,235,R Sharma,Deccan Chargers
M Kartik,22,22,2,0,100,11,2,238,253,9,6.49,28.11,26.44,39,3,1,83,M Kartik,Kolkata Knight Riders
SP Goswami,8,10,2,0,80,8,1,0,0,0,,,,0,0,0,132,SP Goswami,Royal Challengers Bangalore
R McLaren,66,69,7,0,95.65,22,3,215,273,4,8.03,68.25,53.75,34,10,1,210,R McLaren,Mumbai Indians
V Sehwag,356,217,47,14,164.06,25.43,14,34,23,3,4.06,,11.33,5.67,0,0,41,V Sehwag,Delhi Daredevils
TM Dilshan,44,53,6,0,83.02,7.33,6,49,70,3,8.57,,16.33,8.17,0,0,135,TM Dilshan,Delhi Daredevils
AA Jhunjhunwala,183,166,16,4,110.24,20.33,9,39,69,0,11.18,,,6.17,2,0,211,AA Jhunjhunwala,Rajasthan Royals
KC Sangakkara,342,240,45,5,142.5,31.09,11,0,0,0,,,,0,0,0,26,KC Sangakkara,Kings XI Punjab
Jaskaran Singh,8,11,0,0,72.73,8,1,92,139,6,9.93,,15.33,14,4,4,206,Jaskaran Singh,Deccan Chargers
DL Vettori,33,27,4,0,122.22,33,1,72,97,2,8.31,,36,11.67,2,0,175,DL Vettori,Delhi Daredevils
M Manhas,157,149,14,0,105.37,39.25,4,0,0,0,,,,0,0,0,171,M Manhas,Delhi Daredevils
DR Smith,22,25,1,1,88,11,2,23,36,1,9.4,,23,3.83,0,0,147,DR Smith,Deccan Chargers
LRPL Taylor,88,75,2,6,117.33,22,4,0,0,0,,,,0,0,0,52,LRPL Taylor,Royal Challengers Bangalore
MK Pandey,249,225,27,7,110.67,20.75,12,0,0,0,,,,0,0,0,96,MK Pandey,Royal Challengers Bangalore
Anirudh Singh,63,66,6,1,95.45,15.75,4,0,0,0,,,,0,0,0,205,Anirudh Singh,Deccan Chargers
DE Bollinger,18,16,1,1,112.5,18,0,193,210,12,6.77,17.5,16.08,31,6,1,248,DE Bollinger,Chennai Super Kings
EJG Morgan,35,30,2,1,116.67,11.67,3,0,0,0,,,,0,0,0,216,EJG Morgan,Royal Challengers Bangalore
UT Yadav,3,4,0,0,75,3,0,152,187,6,7.79,31.17,25.33,24,6,2,232,UT Yadav,Delhi Daredevils
HH Gibbs,267,234,26,9,114.1,26.7,10,0,0,0,,,,0,0,0,97,HH Gibbs,Deccan Chargers
MV Boucher,13,10,0,1,130,13,1,0,0,0,,,,0,0,0,11,MV Boucher,Royal Challengers Bangalore
PD Collingwood,203,156,9,13,130.13,40.6,5,90,101,5,6.81,,18,14.83,1,0,241,PD Collingwood,Delhi Daredevils
SB Jakati,0,0,0,0,,0,0,232,292,13,7.68,22.46,17.85,38,4,0,186,SB Jakati,Chennai Super Kings
S Ladda,0,9,0,0,0,0,1,92,143,4,9.53,,23,15,2,0,222,S Ladda,Delhi Daredevils
YK Pathan,333,200,22,24,166.5,27.75,12,214,246,5,7.24,49.2,42.8,34,10,0,31,YK Pathan,Rajasthan Royals
RS Sodhi,4,2,1,0,200,4,0,0,0,0,,,,0,0,0,247,RS Sodhi,Kings XI Punjab
MR Marsh,28,30,1,1,93.33,14,2,64,88,2,8.8,,32,10,3,1,253,MR Marsh,Deccan Chargers
AG Murtaza,0,0,0,0,,0,0,73,92,3,7.67,,24.33,12,1,0,286,AG Murtaza,Mumbai Indians
PA Patel,15,21,2,0,71.43,5,3,0,0,0,,,,0,0,0,17,PA Patel,Chennai Super Kings
YA Abdulla,0,1,0,0,0,0,0,42,66,1,9.66,,42,6.83,1,0,215,YA Abdulla,Kings XI Punjab
AG Paunikar,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,252,AG Paunikar,Rajasthan Royals
S Anirudha,30,18,2,2,166.67,30,1,0,0,0,,,,0,0,0,125,S Anirudha,Chennai Super Kings
DW Steyn,13,17,2,0,76.47,3.25,4,382,408,15,6.92,27.2,25.47,59,28,0,94,DW Steyn,Royal Challengers Bangalore
JP Duminy,157,131,13,5,119.85,31.4,5,33,37,1,6.73,,33,5.5,0,0,154,JP Duminy,Mumbai Indians
SA Asnodkar,5,4,1,0,125,2.5,2,0,0,0,,,,0,0,0,101,SA Asnodkar,Rajasthan Royals
