,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
63,Tilak Varma,343,208,26,23,164.9,42.88,8,7,7,0,7.0,,,1.0,1,0,Mumbai Indians
64,MK Pandey,160,145,15,3,110.34,17.78,9,0,0,0,,,,0.0,0,0,Lucknow Super Giants
65,KS Sharma,3,5,0,0,60.0,3.0,1,0,0,0,,,,0.0,0,0,Lucknow Super Giants
66,UT Yadav,19,18,1,0,105.56,9.5,2,116,189,1,9.95,189.0,116.0,19.0,2,0,Kolkata Knight Riders
67,M Shahrukh Khan,156,93,13,9,167.74,22.29,7,0,0,0,,,,0.0,0,0,Punjab Kings
68,Rashid Khan,130,60,8,13,216.67,32.5,4,407,552,27,8.24,20.44,15.07,67.0,5,0,Gujarat Titans
69,SP Narine,21,25,2,1,84.0,3.0,7,296,386,11,8.04,35.09,26.91,48.0,8,0,Kolkata Knight Riders
70,SV Samson,362,236,25,24,153.39,30.17,12,0,0,0,,,,0.0,0,0,Rajasthan Royals
71,AR Patel,283,201,21,15,140.8,28.3,10,288,341,11,7.26,31.0,26.18,47.0,6,0,Delhi Capitals
72,M Jansen,39,43,4,0,90.7,13.0,3,178,270,10,10.0,27.0,17.8,27.0,11,5,Sunrisers Hyderabad
73,VR Iyer,404,276,32,21,146.38,28.86,14,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
74,Kartik Tyagi,0,0,0,0,,0.0,0,44,92,1,14.91,,44.0,6.17,3,4,Sunrisers Hyderabad
75,MJ Santner,2,4,0,0,50.0,2.0,0,72,81,3,6.75,,24.0,12.0,0,0,Chennai Super Kings
76,R Tewatia,87,57,3,7,152.63,21.75,4,14,15,0,6.91,,,2.17,1,0,Gujarat Titans
77,Mandeep Singh,14,16,0,1,87.5,4.67,3,0,0,0,,,,0.0,0,0,Delhi Capitals
78,V Shankar,301,187,27,15,160.96,37.62,8,0,0,0,,,,0.0,0,0,Gujarat Titans
79,R Ashwin,67,51,5,3,131.37,11.17,6,309,368,14,7.51,26.29,22.07,49.0,15,0,Rajasthan Royals
80,MA Agarwal,270,208,29,6,129.81,27.0,10,0,0,0,,,,0.0,0,0,Punjab Kings
81,Mohsin Khan,0,7,0,0,0.0,0.0,1,64,110,3,11.0,,21.33,10.0,4,0,Lucknow Super Giants
82,D Pretorius,0,0,0,0,,0.0,0,28,28,0,7.0,,,4.0,4,0,Chennai Super Kings
83,PBB Rajapaksa,71,62,6,2,114.52,17.75,4,0,0,0,,,,0.0,0,0,Punjab Kings
84,RA Tripathi,273,212,29,10,128.77,22.75,12,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
85,C Sakariya,4,6,1,0,66.67,4.0,1,55,89,3,11.12,,18.33,8.0,6,1,Delhi Capitals
86,DJ Willey,35,32,4,0,109.38,35.0,0,94,105,3,7.0,,31.33,15.0,4,0,Royal Challengers Bangalore
87,K Rabada,0,2,0,0,0.0,0.0,1,147,238,7,10.35,34.0,21.0,23.0,6,3,Punjab Kings
88,MP Stoinis,402,267,27,27,150.56,33.5,12,69,100,5,9.23,,13.8,10.83,4,0,Lucknow Super Giants
89,JO Holder,12,11,0,1,109.09,6.0,2,176,284,4,9.96,71.0,44.0,28.5,5,0,Sunrisers Hyderabad
90,B Sai Sudharsan,362,253,33,12,143.08,51.71,7,0,0,0,,,,0.0,0,0,Gujarat Titans
91,RP Meredith,0,2,0,0,0.0,0.0,0,126,207,7,10.52,29.57,18.0,19.67,7,1,Mumbai Indians
92,R Powell,7,9,1,0,77.78,2.33,3,14,18,1,9.0,,14.0,2.0,1,1,Delhi Capitals
93,Avesh Khan,0,1,0,0,0.0,0.0,0,176,284,8,9.79,35.5,22.0,29.0,2,0,Lucknow Super Giants
94,Ishan Kishan,454,318,54,18,142.77,30.27,15,0,0,0,,,,0.0,0,0,Mumbai Indians
95,RA Jadeja,190,132,11,9,143.94,23.75,8,330,420,19,7.78,22.11,17.37,54.0,6,0,Chennai Super Kings
96,T Natarajan,0,0,0,0,,0.0,0,276,413,10,9.18,41.3,27.6,45.0,6,0,Sunrisers Hyderabad
97,YS Chahal,0,0,0,0,,0.0,0,326,432,21,8.18,20.57,15.52,52.83,9,0,Rajasthan Royals
98,N Rana,413,291,39,20,141.92,31.77,13,54,75,3,8.49,,18.0,8.83,1,0,Kolkata Knight Riders
99,V Kohli,639,457,65,16,139.82,53.25,12,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
100,NT Ellis,1,7,0,0,14.29,0.5,2,233,339,13,8.92,26.08,17.92,38.0,3,2,Punjab Kings
101,KD Karthik,140,104,13,5,134.62,11.67,12,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
102,K Gowtham,60,33,2,5,181.82,20.0,3,100,118,3,7.38,,33.33,16.0,4,0,Lucknow Super Giants
103,B Kumar,42,47,4,0,89.36,14.0,3,319,425,16,8.33,26.56,19.94,51.0,13,0,Sunrisers Hyderabad
104,N Pooran,338,176,26,26,192.05,30.73,11,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
105,OC McCoy,0,0,0,0,,0.0,0,7,13,0,13.0,,,1.0,1,0,Rajasthan Royals
106,K Kartikeya,6,7,1,0,85.71,6.0,1,163,227,5,8.73,45.4,32.6,26.0,7,0,Mumbai Indians
107,Aman Hakim Khan,110,101,7,6,108.91,13.75,8,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
108,AD Russell,227,155,13,18,146.45,20.64,11,99,172,7,11.34,,14.14,15.17,5,3,Kolkata Knight Riders
109,S Dube,418,264,12,35,158.33,38.0,11,0,0,0,,,,0.0,0,0,Chennai Super Kings
110,N Jagadeesan,89,81,14,1,109.88,14.83,6,0,0,0,,,,0.0,0,0,Chennai Super Kings
111,RD Chahar,0,9,0,0,0.0,0.0,2,301,385,8,7.75,48.12,37.62,49.67,3,0,Mumbai Indians
112,Harshit Rana,0,1,0,0,0.0,0.0,1,108,147,5,8.65,29.4,21.6,17.0,5,1,Kolkata Knight Riders
113,AK Markram,248,197,18,8,125.89,22.55,11,49,70,1,8.57,,49.0,8.17,0,0,Sunrisers Hyderabad
114,SA Yadav,605,332,65,28,182.23,43.21,14,0,0,0,,,,0.0,0,0,Mumbai Indians
115,AM Rahane,326,189,24,16,172.49,32.6,10,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
116,F du Plessis,730,472,60,36,154.66,56.15,13,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
117,DJ Hooda,84,90,3,2,93.33,7.64,11,6,8,0,8.0,,,1.0,0,0,Lucknow Super Giants
118,Kuldeep Yadav,31,48,2,0,64.58,15.5,2,300,362,10,7.39,36.2,30.0,49.0,6,0,Delhi Capitals
119,LS Livingstone,279,166,20,19,168.07,34.88,8,42,94,2,13.43,,21.0,7.0,0,0,Punjab Kings
120,JM Sharma,309,196,22,21,157.65,23.77,13,0,0,0,,,,0.0,0,0,Punjab Kings
121,MM Ali,124,87,12,6,142.53,17.71,7,133,182,7,8.27,26.0,19.0,22.0,1,0,Chennai Super Kings
122,M Pathirana,0,0,0,0,,0.0,0,288,355,17,8.26,20.88,16.94,43.0,29,1,Chennai Super Kings
123,RG Sharma,332,248,35,17,133.87,20.75,16,0,0,0,,,,0.0,0,0,Mumbai Indians
124,Mustafizur Rahman,1,1,0,0,100.0,1.0,0,42,79,1,11.29,,42.0,7.0,0,0,Delhi Capitals
125,RV Patel,49,43,3,1,113.95,16.33,3,0,0,0,,,,0.0,0,0,Delhi Capitals
126,TU Deshpande,0,1,0,0,0.0,0.0,0,362,569,21,10.19,27.1,17.24,55.83,23,4,Chennai Super Kings
127,HR Shokeen,23,17,4,0,135.29,23.0,1,119,188,3,9.89,62.67,39.67,19.0,3,2,Mumbai Indians
128,SN Khan,53,61,4,1,86.89,13.25,4,0,0,0,,,,0.0,0,0,Delhi Capitals
129,M Ashwin,0,0,0,0,,0.0,0,25,53,0,13.25,,,4.0,0,1,Mumbai Indians
130,VG Arora,3,2,0,0,150.0,3.0,0,107,146,5,9.12,29.2,21.4,16.0,7,4,Punjab Kings
131,JC Buttler,392,281,42,14,139.5,28.0,14,0,0,0,,,,0.0,0,0,Rajasthan Royals
132,AS Joseph,7,12,1,0,58.33,7.0,0,150,225,7,9.38,32.14,21.43,24.0,6,0,Gujarat Titans
133,CJ Jordan,6,12,0,0,50.0,3.0,2,140,238,3,10.82,79.33,46.67,22.0,8,0,Chennai Super Kings
134,Mohammed Shami,5,6,1,0,83.33,2.5,2,403,522,28,8.03,18.64,14.39,65.0,11,2,Gujarat Titans
135,Navdeep Saini,0,0,0,0,,0.0,0,25,40,3,10.0,,8.33,4.0,1,0,Royal Challengers Bangalore
136,HV Patel,6,6,0,1,100.0,3.0,2,302,457,14,9.72,32.64,21.57,47.0,15,5,Royal Challengers Bangalore
