,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
0,PN Mankad,93,71,12,2,130.99,31.0,3,0,0,0,,,,0.0,0,0,Punjab Kings
1,Q de Kock,143,101,10,8,141.58,35.75,4,0,0,0,,,,0.0,0,0,Lucknow Super Giants
2,KR Sen,0,0,0,0,,0.0,0,19,28,0,9.33,,,3.0,0,1,Rajasthan Royals
3,AS Roy,23,19,3,0,121.05,11.5,2,51,65,3,8.12,,17.0,8.0,3,0,Kolkata Knight Riders
4,R Dhawan,20,12,1,1,166.67,10.0,2,42,63,1,9.0,,42.0,7.0,0,0,Punjab Kings
5,Arshdeep Singh,2,2,0,0,100.0,2.0,0,324,493,17,9.7,29.0,19.06,50.83,19,0,Punjab Kings
6,JR Hazlewood,1,2,0,0,50.0,1.0,0,57,76,3,8.44,,19.0,9.0,1,2,Royal Challengers Bangalore
7,KL Rahul,274,241,28,4,113.69,34.25,8,0,0,0,,,,0.0,0,0,Lucknow Super Giants
8,MR Marsh,128,97,11,7,131.96,14.22,9,132,170,12,8.43,14.17,11.0,20.17,10,1,Delhi Capitals
9,Harpreet Brar,52,41,5,2,126.83,8.67,6,166,218,9,8.02,24.22,18.44,27.17,3,0,Punjab Kings
10,Washington Sundar,60,60,6,0,100.0,15.0,4,106,146,3,8.26,48.67,35.33,17.67,0,0,Sunrisers Hyderabad
11,A Nortje,37,29,6,0,127.59,12.33,3,251,364,10,9.1,36.4,25.1,40.0,8,3,Delhi Capitals
12,LH Ferguson,0,0,0,0,,0.0,0,50,96,1,12.52,,50.0,7.67,2,2,Gujarat Titans
13,RD Gaikwad,590,398,46,30,148.24,42.14,14,0,0,0,,,,0.0,0,0,Chennai Super Kings
14,A Manohar,114,83,6,7,137.35,19.0,6,0,0,0,,,,0.0,0,0,Gujarat Titans
15,KK Ahmed,0,0,0,0,,0.0,0,212,301,9,9.12,33.44,23.56,33.0,12,2,Delhi Capitals
16,JD Unadkat,9,7,1,0,128.57,9.0,1,52,92,0,11.5,,,8.0,4,0,Mumbai Indians
17,TG Southee,0,0,0,0,,0.0,0,36,79,2,13.17,,18.0,6.0,0,0,Kolkata Knight Riders
18,T Stubbs,25,31,2,0,80.65,12.5,2,12,14,1,7.0,,12.0,2.0,0,0,Mumbai Indians
19,Mohammed Siraj,1,2,0,0,50.0,1.0,1,329,384,19,7.68,20.21,17.32,50.0,27,2,Royal Challengers Bangalore
20,MK Lomror,135,96,9,8,140.62,16.88,8,12,17,0,8.5,,,2.0,0,0,Royal Challengers Bangalore
21,S Dhawan,373,258,49,12,144.57,41.44,9,0,0,0,,,,0.0,0,0,Punjab Kings
22,SN Thakur,113,70,13,4,161.43,14.12,8,132,220,7,10.48,31.43,18.86,21.0,4,2,Delhi Capitals
23,R Shepherd,0,1,0,0,0.0,0.0,1,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
24,Sandeep Sharma,2,6,0,0,33.33,2.0,0,290,397,10,8.63,39.7,29.0,46.0,10,4,Punjab Kings
25,Shubman Gill,890,560,85,33,158.93,59.33,15,0,0,0,,,,0.0,0,0,Gujarat Titans
26,SO Hetmyer,299,196,12,23,152.55,37.38,8,0,0,0,,,,0.0,0,0,Rajasthan Royals
27,M Theekshana,0,0,0,0,,0.0,0,274,358,9,7.96,39.78,30.44,45.0,4,0,Chennai Super Kings
28,DG Nalkande,0,1,0,0,0.0,0.0,1,25,44,1,11.0,,25.0,4.0,0,1,Gujarat Titans
29,DA Miller,259,178,18,13,145.51,32.38,8,0,0,0,,,,0.0,0,0,Gujarat Titans
30,D Padikkal,261,200,31,6,130.5,26.1,10,0,0,0,,,,0.0,0,0,Rajasthan Royals
31,Umran Malik,19,7,1,2,271.43,19.0,1,124,217,5,10.85,43.4,24.8,20.0,4,0,Sunrisers Hyderabad
32,MS Dhoni,104,54,3,10,192.59,26.0,4,0,0,0,,,,0.0,0,0,Chennai Super Kings
33,P Simran Singh,358,238,38,19,150.42,25.57,14,0,0,0,,,,0.0,0,0,Punjab Kings
34,Ravi Bishnoi,20,27,1,0,74.07,6.67,3,312,391,16,7.74,24.44,19.5,50.5,7,2,Lucknow Super Giants
35,WP Saha,371,285,47,8,130.18,23.19,16,0,0,0,,,,0.0,0,0,Gujarat Titans
36,Shahbaz Ahmed,42,39,3,1,107.69,10.5,4,42,95,1,13.57,,42.0,7.0,0,0,Royal Challengers Bangalore
37,PWH de Silva,33,28,3,0,117.86,16.5,2,175,258,9,8.9,28.67,19.44,29.0,1,0,Royal Challengers Bangalore
38,YBK Jaiswal,625,381,83,26,164.04,48.08,13,0,0,0,,,,0.0,0,0,Rajasthan Royals
39,KH Pandya,188,163,15,6,115.34,18.8,10,253,316,9,7.52,35.11,28.11,42.0,1,0,Lucknow Super Giants
40,Lalit Yadav,66,59,8,0,111.86,13.2,5,82,118,2,9.08,,41.0,13.0,4,0,Delhi Capitals
41,Fazalhaq Farooqi,1,5,0,0,20.0,1.0,0,86,117,4,8.78,,21.5,13.33,6,0,Sunrisers Hyderabad
42,AT Rayudu,158,113,10,9,139.82,15.8,10,0,0,0,,,,0.0,0,0,Chennai Super Kings
43,DA Warner,516,391,69,10,131.97,36.86,14,0,0,0,,,,0.0,0,0,Delhi Capitals
44,RK Singh,474,313,31,29,151.44,59.25,8,0,0,0,,,,0.0,0,0,Kolkata Knight Riders
45,GJ Maxwell,400,218,29,31,183.49,33.33,12,64,94,3,9.1,,21.33,10.33,2,0,Royal Challengers Bangalore
46,Abdul Samad,169,125,10,11,135.2,42.25,4,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
47,CV Varun,1,9,0,0,11.11,1.0,1,323,436,20,8.28,21.8,16.15,52.67,7,0,Kolkata Knight Riders
48,PP Shaw,106,84,16,1,126.19,13.25,8,0,0,0,,,,0.0,0,0,Delhi Capitals
49,R Parag,78,65,4,5,120.0,13.0,6,0,0,0,,,,0.0,0,0,Rajasthan Royals
50,PK Garg,22,22,1,0,100.0,11.0,2,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
51,M Markande,21,13,2,1,161.54,21.0,0,230,300,12,7.89,25.0,19.17,38.0,2,0,Mumbai Indians
52,SS Prabhudessai,35,29,1,2,120.69,8.75,4,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
53,Abhishek Sharma,226,156,28,6,144.87,20.55,11,75,125,2,10.42,,37.5,12.0,3,0,Sunrisers Hyderabad
54,DP Conway,672,479,77,18,140.29,51.69,13,0,0,0,,,,0.0,0,0,Chennai Super Kings
55,Anmolpreet Singh,105,82,15,2,128.05,26.25,4,0,0,0,,,,0.0,0,0,Mumbai Indians
56,Anuj Rawat,91,71,6,4,128.17,30.33,3,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
57,Akash Deep,17,8,2,1,212.5,17.0,1,33,62,1,12.4,,33.0,5.0,1,2,Royal Challengers Bangalore
58,A Badoni,179,138,11,8,129.71,17.9,10,1,0,0,0.0,,,0.17,0,0,Lucknow Super Giants
59,HH Pandya,346,251,26,15,137.85,31.45,11,156,237,3,9.48,79.0,52.0,25.0,5,1,Gujarat Titans
60,TA Boult,16,14,1,1,114.29,16.0,1,235,312,13,8.21,24.0,18.08,38.0,7,0,Rajasthan Royals
61,TH David,231,145,12,15,159.31,25.67,9,0,0,0,,,,0.0,0,0,Mumbai Indians
62,Yash Dayal,0,0,0,0,,0.0,0,88,165,2,11.79,,44.0,14.0,4,0,Gujarat Titans
