,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
0,J Suchith,6,15,0,0,40.0,6.0,1,24,28,2,7.0,,12.0,4.0,0,0,Delhi Capitals
1,BCJ Cutting,18,17,1,1,105.88,9.0,2,12,27,1,13.5,,12.0,2.0,0,0,Mumbai Indians
2,KC Cariappa,9,3,0,1,300.0,9.0,0,13,34,0,17.0,,,2.0,1,0,Kolkata Night Riders
3,Q de Kock,460,339,39,23,135.69,30.67,15,0,0,0,,,,0.0,0,0,Mumbai Indians
4,CA Lynn,385,270,38,22,142.59,32.08,12,0,0,0,,,,0.0,0,0,Kolkata Night Riders
5,AS Roy,0,0,0,0,,0.0,0,15,11,1,5.5,,15.0,2.0,3,0,Mumbai Indians
6,BB Sran,3,3,0,0,100.0,3.0,0,12,27,0,13.5,,,2.0,0,0,Mumbai Indians
7,KMA Paul,18,24,1,1,75.0,3.6,5,180,237,9,8.72,26.33,20.0,27.17,12,5,Delhi Capitals
8,DL Chahar,7,9,1,0,77.78,3.5,2,400,482,22,7.47,21.91,18.18,64.5,10,3,Chennai Super Kings
9,MK Pandey,273,216,26,4,126.39,34.12,8,0,0,0,,,,0.0,0,0,Kolkata Night Riders
10,Arshdeep Singh,0,0,0,0,,0.0,0,65,112,3,11.2,,21.67,10.0,5,0,Kings XI Punjab
11,UT Yadav,25,25,3,1,100.0,12.5,2,232,364,8,9.88,45.5,29.0,36.83,10,1,Royal Challengers Bangalore
12,S Sandeep Warrier,0,0,0,0,,0.0,0,73,85,2,7.08,,36.5,12.0,0,1,Kolkata Night Riders
13,Rashid Khan,34,23,2,2,147.83,6.8,5,340,359,17,6.41,21.12,20.0,56.0,4,0,Sunrisers Hyderabad
14,Mujeeb Ur Rahman,0,4,0,0,0.0,0.0,1,123,192,3,10.11,64.0,41.0,19.0,9,0,Kings XI Punjab
15,YK Pathan,40,45,1,1,88.89,13.33,3,6,8,0,8.0,,,1.0,0,0,Sunrisers Hyderabad
16,KL Rahul,593,437,49,25,135.7,53.91,11,0,0,0,,,,0.0,0,0,Kings XI Punjab
17,MM Sharma,0,2,0,0,0.0,0.0,0,18,27,1,9.0,,18.0,3.0,0,0,Chennai Super Kings
18,PA Patel,365,260,47,10,140.38,28.08,13,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
19,SP Narine,143,85,17,9,168.24,17.88,8,273,347,10,7.83,34.7,27.3,44.33,7,0,Kolkata Night Riders
20,SV Samson,314,216,26,10,145.37,34.89,9,0,0,0,,,,0.0,0,0,Rajasthan Royals
21,AR Patel,110,87,10,3,126.44,18.33,6,307,367,10,7.2,36.7,30.7,51.0,1,0,Delhi Capitals
22,Y Prithvi Raj,0,1,0,0,0.0,0.0,0,33,57,1,11.4,,33.0,5.0,3,0,Kolkata Night Riders
23,DW Steyn,0,0,0,0,,0.0,0,48,72,4,9.0,,12.0,8.0,0,0,Royal Challengers Bangalore
24,KK Nair,5,6,0,0,83.33,5.0,1,0,0,0,,,,0.0,0,0,Kings XI Punjab
25,RK Bhui,7,12,0,0,58.33,7.0,1,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
26,CH Gayle,490,319,45,34,153.61,40.83,12,0,0,0,,,,0.0,0,0,Kings XI Punjab
27,HF Gurney,1,5,0,0,20.0,1.0,0,169,238,7,8.81,34.0,24.14,27.0,6,1,Kolkata Night Riders
28,Harpreet Brar,20,12,2,1,166.67,20.0,0,30,48,0,9.6,,,5.0,0,0,Kings XI Punjab
29,Washington Sundar,1,3,0,0,33.33,0.5,2,54,74,4,8.22,,13.5,9.0,0,0,Royal Challengers Bangalore
30,MJ Santner,32,22,0,3,145.45,32.0,1,88,94,4,6.71,,22.0,14.0,3,1,Chennai Super Kings
31,SK Raina,383,312,45,9,122.76,23.94,16,6,6,0,6.0,,,1.0,0,0,Chennai Super Kings
32,LH Ferguson,0,0,0,0,,0.0,0,81,145,1,11.15,,81.0,13.0,3,0,Kolkata Night Riders
33,R Tewatia,26,22,2,1,118.18,26.0,1,39,42,2,6.64,,19.5,6.33,1,0,Delhi Capitals
34,Mandeep Singh,165,120,10,4,137.5,41.25,4,12,26,0,13.0,,,2.0,0,0,Kings XI Punjab
35,AS Rajpoot,0,0,0,0,,0.0,0,102,154,3,9.62,51.33,34.0,16.0,1,5,Kings XI Punjab
36,C Munro,84,70,9,4,120.0,21.0,4,0,0,0,,,,0.0,0,0,Delhi Capitals
37,KK Ahmed,0,1,0,0,0.0,0.0,1,198,246,16,7.98,15.38,12.38,30.83,13,0,Sunrisers Hyderabad
38,V Shankar,232,176,11,12,131.82,21.09,11,52,70,1,8.75,,52.0,8.0,3,1,Sunrisers Hyderabad
39,R Ashwin,42,28,3,3,150.0,8.4,5,342,400,15,7.27,26.67,22.8,55.0,12,0,Kings XI Punjab
40,MA Agarwal,332,234,26,14,141.88,25.54,13,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
41,JD Unadkat,1,3,0,0,33.33,1.0,1,230,392,9,10.79,43.56,25.56,36.33,12,0,Rajasthan Royals
42,RV Uthappa,271,239,26,10,113.39,33.88,8,0,0,0,,,,0.0,0,0,Kolkata Night Riders
43,M Prasidh Krishna,0,2,0,0,0.0,0.0,1,229,344,4,9.47,86.0,57.25,36.33,7,4,Kolkata Night Riders
44,TG Southee,9,9,0,0,100.0,9.0,0,58,121,1,13.44,,58.0,9.0,4,0,Royal Challengers Bangalore
45,GC Viljoen,3,7,0,0,42.86,1.5,2,146,225,7,9.78,32.14,20.86,23.0,8,0,Kings XI Punjab
46,RA Tripathi,141,117,13,2,120.51,23.5,6,0,0,0,,,,0.0,0,0,Rajasthan Royals
47,Imran Tahir,0,0,0,0,,0.0,0,388,437,26,6.79,16.81,14.92,64.33,2,0,Chennai Super Kings
48,RR Pant,477,283,36,27,168.55,39.75,12,0,0,0,,,,0.0,0,0,Delhi Capitals
49,Mohammed Siraj,4,12,0,0,33.33,4.0,1,179,269,7,9.55,38.43,25.57,28.17,8,2,Royal Challengers Bangalore
50,AJ Tye,0,2,0,0,0.0,0.0,0,137,233,3,10.59,77.67,45.67,22.0,5,0,Kings XI Punjab 
51,JC Archer,67,40,4,4,167.5,33.5,2,264,297,11,6.91,27.0,24.0,43.0,4,2,Rajasthan Royals
52,K Rabada,14,15,0,1,93.33,4.67,3,267,328,24,7.63,13.67,11.12,43.0,9,0,Delhi Capitals
53,MK Lomror,8,3,2,0,266.67,8.0,1,0,0,0,,,,0.0,0,0,Rajasthan Royals
