,player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs,team
54,M Vijay,64,61,6,1,104.92,32.0,2,0,0,0,,,,0.0,0,0,Chennai Super Kings
55,MJ McClenaghan,11,16,2,0,68.75,3.67,3,114,142,3,7.89,47.33,38.0,18.0,6,0,Mumbai Indians
56,STR Binny,70,40,5,4,175.0,23.33,3,43,44,1,6.29,,43.0,7.0,1,0,Rajasthan Royals
57,JL Denly,0,1,0,0,0.0,0.0,1,0,0,0,,,,0.0,0,0,Kolkata Night Riders
58,S Dhawan,505,374,62,10,135.03,36.07,14,0,0,0,,,,0.0,0,0,Delhi Capitals
59,MP Stoinis,211,155,14,10,136.13,70.33,3,103,145,2,8.7,72.5,51.5,16.67,3,0,Royal Challengers Bangalore
60,SR Watson,398,311,42,20,127.97,23.41,17,0,0,0,,,,0.0,0,0,Chennai Super Kings
61,Rasikh Salam,5,4,0,0,125.0,5.0,0,27,42,0,10.5,,,4.0,1,2,Mumbai Indians
62,KS Williamson,153,122,12,5,125.41,25.5,6,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
63,GH Vihari,2,5,0,0,40.0,2.0,1,6,9,0,9.0,,,1.0,0,0,Delhi Capitals
64,Avesh Khan,4,3,1,0,133.33,4.0,0,19,30,0,10.0,,,3.0,1,0,Rajasthan Royals
65,H Klaasen,3,3,0,0,100.0,3.0,1,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
66,SN Thakur,14,7,1,1,200.0,7.0,2,190,281,8,9.37,35.12,23.75,30.0,10,0,Chennai Super Kings
67,AD Nath,61,57,5,2,107.02,12.2,5,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
68,Ishan Kishan,101,100,8,4,101.0,16.83,6,0,0,0,,,,0.0,0,0,Mumbai Indians
69,RA Jadeja,106,87,7,4,121.84,35.33,3,326,343,15,6.35,22.87,21.73,54.0,2,0,Chennai Super Kings
70,Sandeep Sharma,6,3,1,0,200.0,6.0,0,265,352,12,8.25,29.33,22.08,42.67,9,0,Rajasthan Royals
71,Shubman Gill,292,232,21,10,125.86,36.5,8,0,0,0,,,,0.0,0,0,Kolkata Night Riders
72,YS Chahal,6,16,0,0,37.5,3.0,2,306,390,17,7.96,22.94,18.0,49.0,12,0,Rajasthan Royals
73,E Lewis,47,46,4,2,102.17,23.5,2,0,0,0,,,,0.0,0,0,Mumbai Indians
74,V Kohli,439,320,45,10,137.19,33.77,13,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
75,N Rana,343,233,27,21,147.21,38.11,9,44,64,3,9.14,,14.67,7.0,2,0,Kolkata Night Riders
76,JP Behrendorff,0,0,0,0,,0.0,0,117,165,5,8.68,33.0,23.4,19.0,3,0,Chennai Super Kings
77,AB de Villiers,432,283,29,26,152.65,48.0,9,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
78,SO Hetmyer,90,73,4,7,123.29,18.0,5,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
79,SL Malinga,0,0,0,0,,0.0,0,256,402,16,9.85,25.12,16.0,40.83,9,2,Mumbai Indians
80,S Gopal,63,46,8,1,136.96,15.75,4,283,335,17,7.13,19.71,16.65,47.0,0,1,Rajasthan Royals
81,KD Karthik,203,136,17,12,149.26,29.0,7,0,0,0,,,,0.0,0,0,Kolkata Night Riders
82,JM Bairstow,445,281,48,18,158.36,55.62,8,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
83,C de Grandhomme,46,49,4,2,93.88,15.33,3,31,55,0,11.0,,,5.0,1,0,Royal Challengers Bangalore
84,K Gowtham,18,19,1,1,94.74,6.0,3,122,167,1,8.35,167.0,122.0,20.0,2,0,Rajasthan Royals
85,P Negi,5,9,0,0,55.56,1.67,3,70,102,3,9.13,,23.33,11.17,3,0,Royal Challengers Bangalore
86,KM Jadhav,162,166,19,3,97.59,18.0,9,0,0,0,,,,0.0,0,0,Chennai Super Kings
87,N Pooran,168,107,10,14,157.01,28.0,6,0,0,0,,,,0.0,0,0,Kings XI Punjab
88,CR Brathwaite,11,9,1,0,122.22,5.5,2,21,29,0,9.67,,,3.0,3,0,Kolkata Night Riders
89,B Kumar,12,19,1,0,63.16,4.0,3,342,432,12,7.85,36.0,28.5,55.0,11,1,Sunrisers Hyderabad
90,SC Kuggeleijn,0,0,0,0,,0.0,0,50,71,2,8.88,,25.0,8.0,2,0,Chennai Super Kings
91,S Nadeem,0,0,0,0,,0.0,0,54,90,2,10.0,,27.0,9.0,0,0,Delhi Capitals
92,IS Sodhi,6,11,0,0,54.55,6.0,1,44,67,4,9.34,,11.0,7.17,1,0,Rajasthan Royals
93,DA Miller,213,163,19,7,130.67,26.62,8,0,0,0,,,,0.0,0,0,Kings XI Punjab
94,CA Ingram,174,147,19,5,118.37,19.33,9,0,0,0,,,,0.0,0,0,Delhi Capitals
95,Mohammad Nabi,84,55,6,5,152.73,16.8,5,151,173,7,6.87,24.71,21.57,25.17,0,0,Mumbai Indians
96,JJ Bumrah,0,1,0,0,0.0,0.0,0,354,381,17,6.61,22.41,20.82,57.67,4,4,Mumbai Indians
97,CH Morris,32,37,1,2,86.49,5.33,6,182,274,12,9.45,22.83,15.17,29.0,6,2,Delhi Capitals
98,SS Iyer,420,352,37,12,119.32,30.0,14,0,0,0,,,,0.0,0,0,Delhi Capitals
99,O Thomas,0,0,0,0,,0.0,0,56,74,3,8.22,,18.67,9.0,1,1,Rajasthan Royals
100,PP Chawla,30,32,3,1,93.75,15.0,2,243,366,9,9.04,40.67,27.0,40.5,0,0,Kolkata Night Riders
101,MJ Guptill,66,42,3,6,157.14,33.0,2,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
102,K Khejroliya,0,0,0,0,,0.0,0,25,29,1,7.25,,25.0,4.0,1,0,Royal Challengers Bangalore
103,MS Dhoni,416,305,22,23,136.39,83.2,5,0,0,0,,,,0.0,0,0,Chennai Super Kings
104,J Yadav,0,0,0,0,,0.0,0,43,50,1,7.14,,43.0,7.0,0,1,Mumbai Indians
105,SM Curran,95,55,13,3,172.73,23.75,4,207,323,10,9.79,32.3,20.7,33.0,8,1,Kings XI Punjab
106,S Kaul,0,1,0,0,0.0,0.0,1,169,242,6,8.96,40.33,28.17,27.0,5,2,Sunrisers Hyderabad
107,Gurkeerat Singh,92,67,10,2,137.31,46.0,2,0,0,0,,,,0.0,0,0,Royal Challengers Bangalore
108,AD Russell,448,219,27,46,204.57,56.0,8,164,259,10,9.53,25.9,16.4,27.17,1,0,Kolkata Night Riders
109,S Dube,40,33,1,3,121.21,13.33,3,11,8,0,4.79,,,1.67,1,0,Royal Challengers Bangalore
110,P Ray Barman,19,24,2,0,79.17,19.0,1,24,56,0,14.0,,,4.0,0,0,Royal Challengers Bangalore
111,P Simran Singh,16,17,1,1,94.12,16.0,1,0,0,0,,,,0.0,0,0,Kings XI Punjab 
112,SE Rutherford,73,54,2,7,135.19,14.6,5,46,59,1,8.64,,46.0,6.83,5,0,Delhi Capitals
113,RD Chahar,12,11,2,0,109.09,6.0,2,263,287,13,6.67,22.08,20.23,43.0,5,0,Mumbai Indians
114,WP Saha,61,38,8,1,160.53,15.25,4,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
115,S Midhun,0,0,0,0,,0.0,0,13,28,0,14.0,,,2.0,1,0,Rajasthan Royals
116,Harbhajan Singh,1,3,0,0,33.33,1.0,1,269,312,16,7.09,19.5,16.81,44.0,5,0,Chennai Super Kings
117,VR Aaron,3,7,0,0,42.86,3.0,0,68,102,4,9.27,,17.0,11.0,2,0,Rajasthan Royals
118,SA Yadav,401,307,42,9,130.62,33.42,12,0,0,0,,,,0.0,0,0,Mumbai Indians
119,AM Rahane,393,285,45,9,137.89,32.75,12,0,0,0,,,,0.0,0,0,Rajasthan Royals
120,KH Pandya,174,147,18,4,118.37,15.82,11,257,313,10,7.45,31.3,25.7,42.0,5,0,Mumbai Indians
121,DJ Bravo,80,66,6,3,121.21,16.0,5,263,333,11,8.09,30.27,23.91,41.17,14,2,Chennai Super Kings
122,F du Plessis,396,321,36,15,123.36,36.0,11,0,0,0,,,,0.0,0,0,Chennai Super Kings
123,BA Stokes,123,97,8,4,126.8,20.5,6,109,195,6,11.59,32.5,18.17,16.83,7,1,Rajasthan Royals
124,AT Rayudu,282,301,20,7,93.69,23.5,12,0,0,0,,,,0.0,0,0,Chennai Super Kings
125,DJ Hooda,64,63,5,1,101.59,10.67,6,13,21,1,10.5,,13.0,2.0,1,0,Kings XI Punjab
126,DA Warner,692,481,57,21,143.87,69.2,10,0,0,0,,,,0.0,0,0,Sunrisers Hyderabad
127,Kuldeep Yadav,2,3,0,0,66.67,1.0,2,178,245,2,8.45,122.5,89.0,29.0,4,0,Kolkata Night Riders
128,LS Livingstone,59,41,5,4,143.9,19.67,3,6,13,0,13.0,,,1.0,0,0,Rajasthan Royals
129,KA Pollard,269,166,14,21,162.05,38.43,7,0,0,0,,,,0.0,0,0,Mumbai Indians
130,RK Singh,37,34,1,2,108.82,18.5,2,0,0,0,,,,0.0,0,0,Kolkata Night Riders
131,PP Shaw,254,208,33,6,122.12,16.93,15,0,0,0,,,,0.0,0,0,Delhi Capitals
132,MM Ali,220,133,16,17,165.41,27.5,8,151,169,6,6.76,28.17,25.17,25.0,1,0,Royal Challengers Bangalore
133,CV Varun,0,0,0,0,,0.0,0,18,35,1,11.67,,18.0,3.0,0,0,Kings XI Punjab
134,Shakib Al Hasan,9,10,0,0,90.0,9.0,1,66,95,2,8.77,,33.0,10.83,1,0,Sunrisers Hyderabad
135,RG Sharma,381,296,47,10,128.72,29.31,13,0,0,0,,,,0.0,0,0,Mumbai Indians
136,R Parag,160,126,17,5,126.98,32.0,5,78,111,1,8.54,,78.0,13.0,0,0,Rajasthan Royals
137,SN Khan,180,141,19,4,127.66,45.0,4,2,6,0,18.18,,,0.33,0,0,Kings XI Punjab
138,SPD Smith,319,273,30,4,116.85,39.88,8,0,0,0,,,,0.0,0,0,Rajasthan Royals
139,M Markande,6,5,1,0,120.0,6.0,1,37,59,1,9.83,,37.0,6.0,1,0,Kings XI Punjab
140,Basil Thampi,1,1,0,0,100.0,1.0,0,48,70,0,8.75,,,8.0,0,0,Sunrisers Hyderabad
141,M Ashwin,3,5,0,0,60.0,3.0,1,211,255,5,7.5,51.0,42.2,34.0,6,1,Kings XI Punjab
142,SD Lad,15,13,1,1,115.38,15.0,1,0,0,0,,,,0.0,0,0,Kolkata Night Riders
143,DS Kulkarni,5,3,1,0,166.67,5.0,0,219,335,6,9.57,55.83,36.5,35.0,8,1,Rajasthan Royals
144,Abhishek Sharma,7,6,1,0,116.67,7.0,1,13,21,1,10.5,,13.0,2.0,0,1,Sunrisers Hyderabad
145,JC Buttler,311,205,38,14,151.71,38.88,8,0,0,0,,,,0.0,0,0,Rajasthan Royals
146,S Lamichhane,0,1,0,0,0.0,0.0,1,114,181,7,9.53,25.86,16.29,19.0,0,0,Delhi Capitals
147,DR Shorey,5,8,0,0,62.5,5.0,1,0,0,0,,,,0.0,0,0,Chennai Super Kings
148,SW Billings,0,4,0,0,0.0,0.0,1,0,0,0,,,,0.0,0,0,Chennai Super Kings
149,AS Joseph,15,13,2,0,115.38,15.0,0,55,87,6,10.03,,9.17,8.67,3,0,Mumbai Indians
150,Mohammed Shami,1,2,0,0,50.0,1.0,1,331,469,19,8.69,24.68,17.42,54.0,6,1,Kings XI Punjab
151,Navdeep Saini,2,3,0,0,66.67,2.0,1,293,392,11,8.34,35.64,26.64,47.0,6,5,Royal Challengers Bangalore
152,HH Pandya,384,199,27,28,192.96,48.0,8,257,373,12,9.21,31.08,21.42,40.5,13,1,Mumbai Indians
153,KV Sharma,0,0,0,0,,0.0,0,17,33,1,11.66,,17.0,2.83,0,0,Chennai Super Kings
154,AJ Turner,3,10,0,0,30.0,1.0,3,0,0,0,,,,0.0,0,0,Rajasthan Royals
155,Yuvraj Singh,98,75,7,6,130.67,24.5,4,0,0,0,,,,0.0,0,0,Kings XI Punjab
156,TA Boult,7,4,0,1,175.0,7.0,1,120,163,5,8.58,32.6,24.0,19.0,6,0,Mumbai Indians
157,HV Patel,0,2,0,0,0.0,0.0,1,26,37,0,9.25,,,4.0,2,0,Royal Challengers Bangalore
158,A Mishra,21,24,2,0,87.5,10.5,2,218,234,10,6.5,23.4,21.8,36.0,2,0,Delhi Capitals
159,I Sharma,10,3,1,1,333.33,10.0,0,285,355,13,7.72,27.31,21.92,46.0,9,0,Delhi Capitals
