PLAYER,TEAM,batting id,bowling id,batting_contribution,bowling_contribution
Jason Roy,Kolkata Knight Riders,439,-1,-0.8983000000000061,-0.0
Sunil Narine,Kolkata Knight Riders,316,231,0.0082000000000164,3.4052999999999827
Suyash Sharma,Kolkata Knight Riders,-1,483,0.0,-12.5882
Anukul Roy,Kolkata Knight Riders,596,401,0.3466999999999984,-4.879700000000014
Andre Russell,Kolkata Knight Riders,335,237,0.5197000000000003,-4.1647000000000105
Venkatesh Iyer,Kolkata Knight Riders,550,434,-0.5163000000000011,0.932299999999998
Harshit Rana,Kolkata Knight Riders,592,462,-0.651299999999992,-9.265199999999991
Vaibhav Arora,Kolkata Knight Riders,575,447,1.5561999999999898,-0.0997000000000127
Varun Chakaravarthy,Kolkata Knight Riders,-1,-1,0.0,-0.0
KS Bharat,Kolkata Knight Riders,548,-1,0.871200000000016,-0.0
Chetan Sakariya,Kolkata Knight Riders,546,421,-0.1423000000000058,2.268799999999999
Mitchell Starc,Kolkata Knight Riders,379,279,-0.3507999999999924,4.3553
Angkrish Raghuvanshi,Kolkata Knight Riders,-1,-1,0.0,-0.0
Ramandeep Singh,Kolkata Knight Riders,580,468,0.3036999999999921,12.423299999999998
Sherfane Rutherford,Kolkata Knight Riders,512,397,-1.4202999999999977,-0.3686999999999898
Manish Pandey,Kolkata Knight Riders,97,-1,0.223700000000008,-0.0
Mujeeb Ur Rehman,Kolkata Knight Riders,-1,-1,0.0,-0.0
Gus Atkinson,Kolkata Knight Riders,-1,-1,0.0,-0.0
Sakib Hussain,Kolkata Knight Riders,-1,-1,0.0,-0.0
KL Rahul,Lucknow Super Giants,363,-1,-0.5407999999999902,-0.0
Quinton de Kock,Lucknow Super Giants,353,-1,-0.902799999999985,-0.0
Nicholas Pooran,Lucknow Super Giants,496,-1,1.5157000000000096,-0.0
Ayush Badoni,Lucknow Super Giants,568,460,0.0412000000000034,5.030799999999999
Kyle Mayers,Lucknow Super Giants,608,476,-1.425299999999993,-14.770700000000003
Marcus Stoinis,Lucknow Super Giants,410,314,0.3996999999999957,-9.34020000000001
Deepak Hooda,Lucknow Super Giants,395,300,1.3532000000000153,-6.110199999999992
Ravi Bishnoi,Lucknow Super Giants,528,408,-0.038800000000009,0.7553000000000054
Naveen ul Haq,Lucknow Super Giants,-1,-1,0.0,-0.0
Krunal Pandya,Lucknow Super Giants,414,319,-0.401299999999992,-3.866199999999992
Yudhvir Singh,Lucknow Super Giants,621,488,0.4162000000000034,-0.1881999999999948
Prerak Mankad,Lucknow Super Giants,604,-1,0.4952000000000112,-0.0
Yash Thakur,Lucknow Super Giants,-1,482,0.0,-3.770200000000017
Amit Mishra,Lucknow Super Giants,137,88,-0.3397999999999967,0.0837999999999965
Mark Wood,Lucknow Super Giants,463,355,-1.4672999999999945,0.7452999999999861
Mayank Yadav,Lucknow Super Giants,-1,-1,0.0,-0.0
Mohsin Khan,Lucknow Super Giants,593,443,-0.9788000000000068,-2.6862000000000137
K Gowtham,Lucknow Super Giants,466,359,0.0877000000000123,-9.986700000000011
Devdutt Padikkal,Lucknow Super Giants,517,-1,-1.2667999999999893,-0.0
Shivam Mavi,Lucknow Super Giants,473,363,-1.3522999999999854,-12.60220000000001
Arshin Kulkarni,Lucknow Super Giants,-1,-1,0.0,-0.0
M Siddharth,Lucknow Super Giants,-1,-1,0.0,-0.0
