Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Aaron Finch,1045.0,686.0,105.0,45.0,152.33,38.7,27.0,6.0,9.0,0.0,9.0,,,1.0,0.0,0.0
Abhishek Sharma,,,,,,,,,,,,,,,,
Aditya Tare,,,,,,,,,,,,,,,,
Ajinkya Rahane,352.0,311.0,30.0,6.0,113.18,20.71,17.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Akila Dhananjaya,,,,,,,,,,,,,,,,
Akshdeep Nath,,,,,,,,,,,,,,,,
Ambati Rayudu,42.0,50.0,5.0,0.0,84.0,10.5,4.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Amit Mishra,0.0,0.0,0.0,0.0,,0.0,1.0,118.0,137.0,4.0,7.21,,29.5,19.0,2.0,2.0
Andrew Tye,4.0,8.0,1.0,0.0,50.0,2.0,2.0,143.0,228.0,6.0,9.77,,23.83,23.33,1.0,2.0
Aniket Choudhary,,,,,,,,,,,,,,,,
Anirudha Ashok Joshi,,,,,,,,,,,,,,,,
Ankit Sharma,,,,,,,,,,,,,,,,
Ankit Singh Rajpoot,,,,,,,,,,,,,,,,
Anukul Roy,,,,,,,,,,,,,,,,
Anureet Singh,,,,,,,,,,,,,,,,
Apoorv Vijay Wankhade,,,,,,,,,,,,,,,,
Aryaman Vikram Birla,,,,,,,,,,,,,,,,
Asif K M,,,,,,,,,,,,,,,,
Avesh Khan,2.0,4.0,0.0,0.0,50.0,2.0,1.0,26.0,34.0,2.0,8.5,,13.0,4.0,2.0,0.0
Barinder Singh Sran,0.0,0.0,0.0,0.0,,0.0,0.0,53.0,41.0,6.0,5.12,,8.83,8.0,4.0,1.0
Basil Thampi,,,,,,,,,,,,,,,,
Ben Cutting,40.0,27.0,2.0,3.0,148.15,10.0,4.0,132.0,215.0,3.0,10.24,,44.0,21.0,6.0,0.0
Ben Dwarshuis,,,,,,,,,,,,,,,,
Ben Laughlin,0.0,0.0,0.0,0.0,,0.0,0.0,72.0,118.0,2.0,9.97,,36.0,11.83,1.0,0.0
Benjamin Stokes,192.0,140.0,17.0,8.0,137.14,14.77,13.0,346.0,486.0,10.0,9.06,48.6,34.6,53.67,22.0,2.0
Billy Stanlake,0.0,0.0,0.0,0.0,,0.0,0.0,22.0,42.0,0.0,14.0,,,3.0,4.0,0.0
Bipul Sharma,,,,,,,,,,,,,,,,
Brendon McCullum,1954.0,1434.0,181.0,81.0,136.26,36.87,53.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Cameron Delport,,,,,,,,,,,,,,,,
Carlos Brathwaite,213.0,161.0,9.0,16.0,132.3,21.3,10.0,430.0,598.0,22.0,8.67,27.18,19.55,69.0,14.0,2.0
Chaitanya Bishnoi,,,,,,,,,,,,,,,,
Chris Jordan,118.0,106.0,9.0,5.0,111.32,13.11,9.0,526.0,718.0,28.0,8.76,25.64,18.79,82.0,32.0,2.0
Chris Lynn,65.0,47.0,3.0,4.0,138.3,21.67,3.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Chris Woakes,54.0,39.0,3.0,2.0,138.46,27.0,2.0,148.0,228.0,6.0,9.91,,24.67,23.0,9.0,1.0
Christopher Gayle,1347.0,907.0,116.0,90.0,148.51,32.85,41.0,257.0,306.0,11.0,7.26,,23.36,42.17,4.0,0.0
Colin De Grandhomme,102.0,64.0,5.0,8.0,159.38,17.0,6.0,115.0,158.0,4.0,8.78,,28.75,18.0,5.0,2.0
Colin Munro,924.0,599.0,59.0,60.0,154.26,33.0,28.0,53.0,90.0,2.0,10.38,,26.5,8.67,1.0,0.0
Daniel Christian,,,,,,,,,,,,,,,,
Darcy Short,,,,,,,,,,,,,,,,
David Miller,988.0,693.0,65.0,45.0,142.57,31.87,31.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Deepak Chahar,,,,,,,,,,,,,,,,
Deepak Hooda,,,,,,,,,,,,,,,,
Dhawal Kulkarni,1.0,1.0,0.0,0.0,100.0,1.0,0.0,50.0,58.0,3.0,7.25,,16.67,8.0,2.0,0.0
Dhruv Shorey,,,,,,,,,,,,,,,,
Dinesh Karthik,,,,,,,,,,,,,,,,
Dushmantha Chameera,,,,,,,,,,,,,,,,
Dwayne Bravo,,,,,,,,,,,,,,,,
Evin Lewis,461.0,295.0,25.0,40.0,156.27,38.42,12.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Faf Du Plessis,1178.0,881.0,105.0,38.0,133.71,36.81,32.0,8.0,3.0,0.0,2.26,,,1.33,0.0,0.0
Gautam Gambhir,932.0,776.0,109.0,10.0,120.1,28.24,33.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Glenn Maxwell,697.0,437.0,66.0,32.0,159.5,26.81,26.0,426.0,535.0,16.0,7.64,33.44,26.62,70.0,5.0,1.0
Gurkeerat Singh Mann,,,,,,,,,,,,,,,,
Harbhajan Singh,107.0,83.0,11.0,4.0,128.92,15.29,7.0,602.0,606.0,24.0,6.18,25.25,25.08,98.0,13.0,1.0
Harshal Patel,121.0,148.0,8.0,0.0,81.76,13.44,9.0,58.0,77.0,2.0,8.72,,29.0,8.83,3.0,2.0
Imran Tahir,10.0,13.0,1.0,0.0,76.92,10.0,1.0,745.0,835.0,50.0,6.91,16.7,14.9,120.83,19.0,1.0
Ishan Kishan,,,,,,,,,,,,,,,,
Ishank Jaggi,,,,,,,,,,,,,,,,
Jason Behrendorff,0.0,0.0,0.0,0.0,,0.0,0.0,30.0,26.0,4.0,5.2,,7.5,5.0,0.0,0.0
Jason Roy,472.0,351.0,47.0,20.0,134.47,21.45,22.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Jatin Saxena,,,,,,,,,,,,,,,,
Javon Searless,,,,,,,,,,,,,,,,
Jayant Yadav,,,,,,,,,,,,,,,,
Jaydev Unadkat,0.0,0.0,0.0,0.0,,0.0,0.0,81.0,87.0,4.0,6.69,,20.25,13.0,3.0,0.0
Jean-Paul Duminy,1565.0,1288.0,111.0,54.0,121.51,36.4,43.0,388.0,483.0,19.0,7.65,25.42,20.42,63.17,8.0,1.0
Jofra Archer,,,,,,,,,,,,,,,,
Jos Buttler,976.0,697.0,70.0,45.0,140.03,27.89,35.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Kagiso Rabada,5.0,6.0,0.0,0.0,83.33,5.0,0.0,383.0,501.0,22.0,8.3,22.77,17.41,60.33,21.0,0.0
Kamlesh Nagarkoti,,,,,,,,,,,,,,,,
Kane Williamson,1095.0,885.0,124.0,15.0,123.73,33.18,33.0,108.0,135.0,6.0,7.64,,18.0,17.67,2.0,0.0
Kanishk Seth,,,,,,,,,,,,,,,,
Karn Sharma,0.0,0.0,0.0,0.0,,0.0,0.0,24.0,28.0,1.0,7.0,,24.0,4.0,0.0,0.0
Karun Nair,,,,,,,,,,,,,,,,
Kedar Jadhav,122.0,99.0,12.0,3.0,123.23,20.33,6.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Kieron Pollard,720.0,541.0,51.0,37.0,133.09,20.57,35.0,488.0,637.0,22.0,8.27,28.95,22.18,77.0,25.0,1.0
KL Rahul,458.0,310.0,41.0,20.0,147.74,50.89,9.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Krishnappa Gowtham,,,,,,,,,,,,,,,,
Krunal Pandya,,,,,,,,,,,,,,,,
Kshitiz Sharma,0.0,0.0,0.0,0.0,,0.0,0.0,24.0,28.0,1.0,7.0,,24.0,4.0,0.0,0.0
Kuldeep Yadav,16.0,18.0,1.0,0.0,88.89,16.0,1.0,178.0,225.0,12.0,7.76,,14.83,29.0,4.0,0.0
Kulwant Khejroliya,,,,,,,,,,,,,,,,
Lungisani Ngidi,2.0,3.0,0.0,0.0,66.67,2.0,0.0,49.0,44.0,6.0,5.5,,8.17,8.0,1.0,0.0
M. Ashwin,,,,,,,,,,,,,,,,
Washington Sundar,0.0,0.0,0.0,0.0,,0.0,0.0,24.0,22.0,1.0,5.5,,24.0,4.0,0.0,0.0
Mahipal Lomror,,,,,,,,,,,,,,,,
Manan Vohra,,,,,,,,,,,,,,,,
Mandeep Singh,87.0,72.0,11.0,1.0,120.83,43.5,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Manish Pandey,239.0,190.0,14.0,9.0,125.79,26.56,9.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Manjot Kalra,,,,,,,,,,,,,,,,
Manoj Tiwary,15.0,17.0,0.0,0.0,88.24,15.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Manzoor Dar,,,,,,,,,,,,,,,,
Marcus Stoinis,10.0,8.0,1.0,0.0,125.0,10.0,0.0,31.0,33.0,1.0,6.6,,31.0,5.0,1.0,0.0
Mark Wood,0.0,0.0,0.0,0.0,,0.0,0.0,42.0,62.0,5.0,8.86,,8.4,7.0,0.0,0.0
Mayank Agarwal,,,,,,,,,,,,,,,,
Mayank Dagar,,,,,,,,,,,,,,,,
Mayank Markande,,,,,,,,,,,,,,,,
Midhun S,,,,,,,,,,,,,,,,
Mitchell Johnson,109.0,95.0,8.0,3.0,114.74,10.9,10.0,700.0,805.0,37.0,7.36,21.76,18.92,109.33,38.0,6.0
Mitchell Santner,145.0,113.0,12.0,4.0,128.32,16.11,9.0,440.0,492.0,24.0,6.91,20.5,18.33,71.17,13.0,0.0
Mitchell Starc,3.0,8.0,0.0,0.0,37.5,3.0,1.0,430.0,444.0,25.0,6.58,17.76,17.2,67.5,25.0,0.0
