Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Abid Mushtaq,,,,,,,,,,,,,,,,
Akash Singh,0.0,0.0,0.0,0.0,,0.0,0.0,141.0,227.0,5.0,9.87,45.4,28.2,23.0,3.0,0.0
Angkrish Raghuvanshi,,,,,,,,,,,,,,,,
Anshul Kamboj,,,,,,,,,,,,,,,,
Arshin Kulkarni,,,,,,,,,,,,,,,,
Ashutosh Sharma,,,,,,,,,,,,,,,,
Avanish Rao Aravelly,,,,,,,,,,,,,,,,
Jhathavedh Subramanyan,,,,,,,,,,,,,,,,
Manav Suthar,,,,,,,,,,,,,,,,
Mohd. Arshad Khan,426.0,315.0,26.0,28.0,135.24,20.29,21.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Naman Dhir,,,,,,,,,,,,,,,,
Prince Choudhary,,,,,,,,,,,,,,,,
Ramandeep Singh,45.0,39.0,3.0,1.0,115.38,22.5,2.0,41.0,54.0,6.0,9.0,,6.83,6.0,5.0,0.0
Rasikh Dar,,,,,,,,,,,,,,,,
Ricky Bhui,7.0,17.0,0.0,0.0,41.18,3.5,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Sakib Hussain,,,,,,,,,,,,,,,,
Saurav Chuahan,,,,,,,,,,,,,,,,
Shashank Singh,69.0,47.0,5.0,4.0,146.81,17.25,4.0,13.0,20.0,0.0,10.0,,,2.0,1.0,0.0
Shivalik Sharma,,,,,,,,,,,,,,,,
Shreyas Gopal,180.0,169.0,19.0,2.0,106.51,12.86,14.0,952.0,1270.0,46.0,8.08,27.61,20.7,157.17,8.0,1.0
Swapnil Singh,14.0,24.0,0.0,0.0,58.33,4.67,3.0,73.0,108.0,1.0,9.0,,73.0,12.0,1.0,0.0
Swastik Chhikara,,,,,,,,,,,,,,,,
Tanay Thyagarajann,,,,,,,,,,,,,,,,
Vishwanath Pratap Singh,0.0,1.0,0.0,0.0,0.0,0.0,1.0,211.0,296.0,10.0,8.71,29.6,21.1,34.0,7.0,0.0
Tom Kohler-Cadmore,,,,,,,,,,,,,,,,
Azmatullah Omarzai,,,,,,,,,,,,,,,,
Chetan Sakariya,20.0,30.0,3.0,0.0,66.67,3.33,6.0,460.0,602.0,20.0,8.48,30.1,23.0,71.0,29.0,5.0
K.S. Bharat,199.0,161.0,12.0,8.0,123.6,28.43,7.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Manish Pandey,3712.0,3075.0,324.0,105.0,120.72,28.78,129.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Nandre Burger,,,,,,,,,,,,,,,,
Tristan Stubbs,27.0,35.0,2.0,0.0,77.14,6.75,4.0,12.0,14.0,1.0,7.0,,12.0,2.0,0.0,0.0
Kartik Tyagi,13.0,16.0,1.0,0.0,81.25,3.25,4.0,432.0,662.0,15.0,9.98,44.13,28.8,66.33,26.0,8.0
Shai Hope,,,,,,,,,,,,,,,,
Ashton Turner,3.0,10.0,0.0,0.0,30.0,1.0,3.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Gus Atkinson,,,,,,,,,,,,,,,,
Sumit Kumar,,,,,,,,,,,,,,,,
Mohammad Nabi,149.0,98.0,14.0,7.0,152.04,13.55,11.0,321.0,387.0,12.0,7.28,32.25,26.75,53.17,2.0,0.0
Sherfane Rutherford,106.0,104.0,3.0,8.0,101.92,15.14,7.0,46.0,59.0,1.0,8.64,,46.0,6.83,5.0,0.0
Tom Curran,127.0,107.0,10.0,3.0,118.69,25.4,5.0,252.0,430.0,13.0,10.84,33.08,19.38,39.67,11.0,3.0
Wanindu Hasaranga,,,,,,,,,,,,,,,,
Jaydev Unadkat,172.0,139.0,14.0,6.0,123.74,13.23,13.0,1937.0,2820.0,86.0,8.95,32.79,22.52,315.0,46.0,1.0
Rachin Ravindra,,,,,,,,,,,,,,,,
David Willey,53.0,62.0,7.0,0.0,85.48,26.5,2.0,221.0,272.0,6.0,7.56,45.33,36.83,36.0,5.0,0.0
Lockie Ferguson,67.0,44.0,6.0,2.0,152.27,33.5,2.0,802.0,1118.0,33.0,8.79,33.88,24.3,127.17,33.0,6.0
Mujeeb Rahman,12.0,15.0,2.0,0.0,80.0,4.0,3.0,452.0,593.0,19.0,8.2,31.21,23.79,72.33,18.0,0.0
Mustafizur Rahman,13.0,23.0,0.0,1.0,56.52,13.0,1.0,1128.0,1449.0,47.0,7.96,30.83,24.0,182.0,32.0,4.0
Sushant Mishra,,,,,,,,,,,,,,,,
M. Siddharth,,,,,,,,,,,,,,,,
Robin Minz,,,,,,,,,,,,,,,,
Harry Brook,190.0,153.0,23.0,4.0,124.18,21.11,9.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Shardul Thakur,286.0,203.0,25.0,12.0,140.89,11.92,24.0,1782.0,2566.0,89.0,9.19,28.83,20.02,279.33,99.0,7.0
Chris Woakes,78.0,77.0,7.0,2.0,101.3,13.0,6.0,463.0,662.0,30.0,9.03,22.07,15.43,73.33,22.0,1.0
Dilshan Madushanka,,,,,,,,,,,,,,,,
Nuwan Thushara,,,,,,,,,,,,,,,,
Gerald Coetzee,,,,,,,,,,,,,,,,
Jhye Richardson,15.0,24.0,2.0,0.0,62.5,7.5,2.0,69.0,120.0,3.0,10.91,,23.0,11.0,3.0,0.0
Yash Dayal,0.0,1.0,0.0,0.0,0.0,0.0,1.0,293.0,461.0,13.0,10.02,35.46,22.54,46.0,14.0,3.0
Shubham Dubey,,,,,,,,,,,,,,,,
Umesh Yadav,196.0,186.0,16.0,8.0,105.38,9.8,20.0,3025.0,4109.0,134.0,8.52,30.66,22.57,482.33,107.0,24.0
Shivam Mavi,51.0,56.0,4.0,2.0,91.07,5.67,9.0,668.0,911.0,29.0,8.66,31.41,23.03,105.17,31.0,6.0
Travis Head,205.0,147.0,12.0,8.0,139.46,29.29,7.0,48.0,81.0,2.0,10.12,,24.0,8.0,0.0,0.0
Kumar Kushagra,,,,,,,,,,,,,,,,
