Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Agnivesh Ayachi,,,,,,,,,,,,,,,,
Akshdeep Nath,,,,,,,,,,,,,,,,
Ankush Bains,,,,,,,,,,,,,,,,
Anmolpreet Singh,,,,,,,,,,,,,,,,
Anrich Nortje,,,,,,,,,,,,,,,,
Arshdeep Singh,,,,,,,,,,,,,,,,
Ashton Turner,26.0,20.0,1.0,0.0,130.0,8.67,3.0,37.0,42.0,3.0,7.0,,12.33,6.0,1.0,0.0
Axar Rajesh Patel,,,,,,,,,,,,,,,,
Bandaru Ayyappa,,,,,,,,,,,,,,,,
Barinder Singh Sran,0.0,0.0,0.0,0.0,,0.0,0.0,53.0,41.0,6.0,5.12,,8.83,8.0,4.0,1.0
Carlos Brathwaite,248.0,208.0,10.0,18.0,119.23,19.08,13.0,609.0,815.0,28.0,8.4,29.11,21.75,97.0,24.0,3.0
Colin Ingram,210.0,162.0,23.0,7.0,129.63,26.25,8.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Darshan Nalkande,,,,,,,,,,,,,,,,
Devdutt Padikkal,,,,,,,,,,,,,,,,
Gurkeerat Singh Mann,,,,,,,,,,,,,,,,
Hanuma Vihari,,,,,,,,,,,,,,,,
Hardus Viljoen,,,,,,,,,,,,,,,,
Harpreet Brar,,,,,,,,,,,,,,,,
Harry Gurney,0.0,0.0,0.0,0.0,,0.0,0.0,49.0,55.0,3.0,6.88,,16.33,8.0,1.0,0.0
Heinrich Klaasen,144.0,85.0,8.0,11.0,169.41,24.0,6.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Himmat Singh,,,,,,,,,,,,,,,,
Ishant Sharma,8.0,9.0,1.0,0.0,88.89,8.0,1.0,290.0,403.0,8.0,8.7,50.38,36.25,46.33,8.0,4.0
Jalaj Saxena,,,,,,,,,,,,,,,,
Jaydev Unadkat,0.0,0.0,0.0,0.0,,0.0,0.0,223.0,301.0,14.0,8.68,21.5,15.93,34.67,15.0,0.0
Joe Denly,40.0,45.0,5.0,0.0,88.89,8.0,5.0,30.0,31.0,5.0,6.2,,6.0,5.0,0.0,0.0
Jonny Bairstow,396.0,312.0,33.0,15.0,126.92,24.75,16.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Keemo Paul,93.0,77.0,7.0,5.0,120.78,31.0,3.0,258.0,325.0,12.0,7.99,27.08,21.5,40.67,11.0,3.0
Lasith Malinga,,,,,,,,,,,,,,,,
Liam Livingstone,16.0,19.0,1.0,0.0,84.21,8.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Lockie Ferguson,1.0,3.0,0.0,0.0,33.33,1.0,1.0,52.0,61.0,4.0,7.62,,13.0,8.0,4.0,0.0
M. Ashwin,,,,,,,,,,,,,,,,
Manan Vohra,,,,,,,,,,,,,,,,
Martin Guptill,2166.0,1589.0,186.0,103.0,136.31,36.1,60.0,6.0,11.0,0.0,11.0,,,1.0,0.0,0.0
Milind Kumar,,,,,,,,,,,,,,,,
Mohammad Shami,,,,,,,,,,,,,,,,
Mohit Sharma,3.0,6.0,0.0,0.0,50.0,3.0,0.0,127.0,174.0,5.0,8.29,34.8,25.4,21.0,1.0,0.0
Moises Henriques,159.0,121.0,8.0,7.0,131.4,31.8,5.0,105.0,159.0,4.0,9.35,39.75,26.25,17.0,3.0,0.0
Nathu Singh,,,,,,,,,,,,,,,,
Nicolas Pooran,105.0,67.0,10.0,5.0,156.72,26.25,4.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Nikhil Shankar Naik,,,,,,,,,,,,,,,,
Oshane Thomas,8.0,4.0,2.0,0.0,200.0,8.0,0.0,100.0,130.0,4.0,8.12,,25.0,16.0,2.0,2.0
Pankaj Jaswal,,,,,,,,,,,,,,,,
Prabhsimran Singh,,,,,,,,,,,,,,,,
Prayas Ray Barman,,,,,,,,,,,,,,,,
Prithvi Raj Yarra,,,,,,,,,,,,,,,,
Rasikh Dar,,,,,,,,,,,,,,,,
Riyan Parag,,,,,,,,,,,,,,,,
Ruturaj Gaikwad,,,,,,,,,,,,,,,,
Sam Curran,,,,,,,,,,,,,,,,
Sarfaraz Naushad Khan,,,,,,,,,,,,,,,,
Shashank Singh,,,,,,,,,,,,,,,,
Sherfane Rutherford,,,,,,,,,,,,,,,,
Shimron Hetmyer,58.0,45.0,9.0,2.0,128.89,14.5,4.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Shivam Dube,,,,,,,,,,,,,,,,
Shrikant Mundhe,,,,,,,,,,,,,,,,
Shubham Ranjane,,,,,,,,,,,,,,,,
Varun Aaron,,,,,,,,,,,,,,,,
Varun Chakaravarthy,,,,,,,,,,,,,,,,
Wriddhiman Saha,,,,,,,,,,,,,,,,
Yuvraj Singh,1105.0,794.0,71.0,70.0,139.17,29.08,38.0,425.0,486.0,28.0,6.98,17.36,15.18,69.67,5.0,2.0
