Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Agnivesh Ayachi,,,,,,,,,,,,,,,,
Akshdeep Nath,29.0,41.0,2.0,0.0,70.73,5.8,5.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Ankush Bains,,,,,,,,,,,,,,,,
Anmolpreet Singh,2.0,9.0,0.0,0.0,22.22,0.5,4.0,486.0,628.0,28.0,7.97,22.43,17.36,78.83,12.0,1.0
Anrich Nortje,,,,,,,,,,,,,,,,
Arshdeep Singh,2.0,9.0,0.0,0.0,22.22,0.5,4.0,486.0,628.0,28.0,7.97,22.43,17.36,78.83,12.0,1.0
Ashton Turner,,,,,,,,,,,,,,,,
Axar Rajesh Patel,674.0,535.0,36.0,32.0,125.98,18.72,36.0,1413.0,1742.0,59.0,7.56,29.53,23.95,230.5,30.0,0.0
Bandaru Ayyappa,,,,,,,,,,,,,,,,
Barinder Singh Sran,7.0,10.0,0.0,0.0,70.0,7.0,1.0,491.0,709.0,18.0,9.27,39.39,27.28,76.5,29.0,3.0
Carlos Brathwaite,170.0,101.0,9.0,16.0,168.32,15.45,11.0,245.0,351.0,13.0,8.92,27.0,18.85,39.33,6.0,3.0
Colin Ingram,8.0,14.0,1.0,0.0,57.14,4.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Darshan Nalkande,,,,,,,,,,,,,,,,
Devdutt Padikkal,,,,,,,,,,,,,,,,
Gurkeerat Singh Mann,,,,,,,,,,,,,,,,
Hanuma Vihari,,,,,,,,,,,,,,,,
Hardus Viljoen,,,,,,,,,,,,,,,,
Harpreet Brar,,,,,,,,,,,,,,,,
Harry Gurney,,,,,,,,,,,,,,,,
Heinrich Klaasen,57.0,47.0,5.0,1.0,121.28,19.0,3.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Himmat Singh,,,,,,,,,,,,,,,,
Ishant Sharma,44.0,57.0,3.0,1.0,77.19,8.8,5.0,1665.0,2177.0,53.0,8.25,41.08,31.42,263.83,61.0,21.0
Jalaj Saxena,,,,,,,,,,,,,,,,
Jaydev Unadkat,53.0,50.0,6.0,1.0,106.0,10.6,5.0,1254.0,1750.0,63.0,8.51,27.78,19.9,205.67,19.0,1.0
Joe Denly,,,,,,,,,,,,,,,,
Jonny Bairstow,,,,,,,,,,,,,,,,
Keemo Paul,,,,,,,,,,,,,,,,
Lasith Malinga,,,,,,,,,,,,,,,,
Liam Livingstone,,,,,,,,,,,,,,,,
Lockie Ferguson,1.0,1.0,0.0,0.0,100.0,1.0,0.0,87.0,93.0,3.0,7.15,,29.0,13.0,9.0,0.0
M. Ashwin,1.0,3.0,0.0,0.0,33.33,0.5,2.0,221.0,295.0,10.0,8.31,29.5,22.1,35.5,8.0,0.0
Manan Vohra,1012.0,767.0,97.0,39.0,131.94,23.53,43.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Martin Guptill,189.0,142.0,20.0,8.0,133.1,21.0,9.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Milind Kumar,,,,,,,,,,,,,,,,
Mohammad Shami,,,,,,,,,,,,,,,,
Mohit Sharma,122.0,115.0,9.0,4.0,106.09,8.13,15.0,1752.0,2398.0,90.0,8.4,26.64,19.47,285.33,35.0,5.0
Moises Henriques,925.0,713.0,82.0,27.0,129.73,28.03,33.0,899.0,1234.0,36.0,8.49,34.28,24.97,145.33,26.0,1.0
Nathu Singh,0.0,0.0,0.0,0.0,,0.0,0.0,25.0,15.0,1.0,3.75,,25.0,4.0,1.0,0.0
Nicolas Pooran,,,,,,,,,,,,,,,,
Nikhil Shankar Naik,23.0,31.0,1.0,0.0,74.19,11.5,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Oshane Thomas,,,,,,,,,,,,,,,,
Pankaj Jaswal,,,,,,,,,,,,,,,,
Prabhsimran Singh,,,,,,,,,,,,,,,,
Prayas Ray Barman,,,,,,,,,,,,,,,,
Prithvi Raj Yarra,,,,,,,,,,,,,,,,
Rasikh Dar,,,,,,,,,,,,,,,,
Riyan Parag,,,,,,,,,,,,,,,,
Ruturaj Gaikwad,,,,,,,,,,,,,,,,
Sam Curran,,,,,,,,,,,,,,,,
Sarfaraz Naushad Khan,183.0,122.0,20.0,6.0,150.0,16.64,11.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Shashank Singh,,,,,,,,,,,,,,,,
Sherfane Rutherford,,,,,,,,,,,,,,,,
Shimron Hetmyer,,,,,,,,,,,,,,,,
Shivam Dube,,,,,,,,,,,,,,,,
Shrikant Mundhe,,,,,,,,,,,,,,,,
Shubham Ranjane,,,,,,,,,,,,,,,,
Varun Aaron,46.0,54.0,2.0,2.0,85.19,11.5,4.0,904.0,1228.0,38.0,8.73,32.32,23.79,140.67,54.0,6.0
Varun Chakaravarthy,,,,,,,,,,,,,,,,
Wriddhiman Saha,1660.0,1284.0,143.0,58.0,129.28,24.41,68.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Yuvraj Singh,2598.0,2003.0,206.0,140.0,129.71,24.74,105.0,862.0,1054.0,35.0,7.43,30.11,24.63,141.83,11.0,0.0
