Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Aaron Finch,134.0,100.0,6.0,8.0,134.0,16.75,8.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Abdul Samad,,,,,,,,,,,,,,,,
Akash Singh,,,,,,,,,,,,,,,,
Alex Carey,,,,,,,,,,,,,,,,
Andrew Tye,32.0,40.0,2.0,1.0,80.0,5.33,6.0,490.0,684.0,27.0,8.77,25.33,18.15,78.0,20.0,2.0
Anirudha Ashok Joshi,,,,,,,,,,,,,,,,
Anuj Rawat,,,,,,,,,,,,,,,,
Chris Green,,,,,,,,,,,,,,,,
Chris Jordan,0.0,0.0,0.0,0.0,,0.0,0.0,25.0,34.0,0.0,8.5,,,4.0,1.0,0.0
Chris Lynn,876.0,647.0,94.0,40.0,135.39,32.44,27.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Chris Woakes,17.0,19.0,1.0,1.0,89.47,8.5,2.0,118.0,193.0,8.0,10.53,24.12,14.75,18.33,8.0,0.0
Christopher Morris,78.0,63.0,4.0,4.0,123.81,11.14,7.0,269.0,420.0,15.0,9.77,28.0,17.93,43.0,9.0,2.0
Dale Steyn,0.0,0.0,0.0,0.0,,0.0,0.0,48.0,72.0,4.0,9.0,,12.0,8.0,0.0,0.0
David Miller,287.0,226.0,22.0,9.0,126.99,28.7,10.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Deepak Hooda,151.0,144.0,7.0,4.0,104.86,15.1,10.0,32.0,45.0,1.0,9.0,,32.0,5.0,2.0,0.0
Digvijay Deshmukh,,,,,,,,,,,,,,,,
Eoin Morgan,,,,,,,,,,,,,,,,
Fabian Allen,,,,,,,,,,,,,,,,
Glenn Maxwell,169.0,120.0,14.0,9.0,140.83,14.08,12.0,98.0,132.0,5.0,8.25,26.4,19.6,16.0,2.0,0.0
Isuru Udana,,,,,,,,,,,,,,,,
James Neesham,,,,,,,,,,,,,,,,
Jason Roy,120.0,94.0,9.0,7.0,127.66,30.0,4.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Jaydev Unadkat,50.0,41.0,6.0,1.0,121.95,10.0,5.0,540.0,878.0,20.0,10.13,43.9,27.0,86.67,19.0,1.0
Josh Hazlewood,,,,,,,,,,,,,,,,
Joshua Philippe,,,,,,,,,,,,,,,,
Kane Richardson,,,,,,,,,,,,,,,,
Kartik Tyagi,,,,,,,,,,,,,,,,
Lalit Yadav,,,,,,,,,,,,,,,,
M Siddharth,,,,,,,,,,,,,,,,
Marcus Stoinis,310.0,230.0,20.0,14.0,134.78,44.29,7.0,169.0,265.0,5.0,9.58,53.0,33.8,27.67,3.0,0.0
Mitchell Marsh,,,,,,,,,,,,,,,,
Mohit Sharma,10.0,15.0,1.0,0.0,66.67,10.0,1.0,204.0,349.0,8.0,10.68,43.62,25.5,32.67,6.0,2.0
Mohsin Khan,,,,,,,,,,,,,,,,
Nathan Coulter-Nile,,,,,,,,,,,,,,,,
Nikhil Shankar Naik,,,,,,,,,,,,,,,,
Oshane Thomas,0.0,0.0,0.0,0.0,,0.0,0.0,56.0,74.0,3.0,8.22,24.67,18.67,9.0,1.0,1.0
Pat Cummins,,,,,,,,,,,,,,,,
Pavan Deshpande,,,,,,,,,,,,,,,,
Piyush Chawla,57.0,66.0,4.0,2.0,86.36,9.5,6.0,539.0,781.0,23.0,8.73,33.96,23.43,89.5,2.0,0.0
Prabhsimran Singh,16.0,17.0,1.0,1.0,94.12,16.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Pravin Tambe,,,,,,,,,,,,,,,,
Prince Balwant Rai Singh,16.0,17.0,1.0,1.0,94.12,16.0,1.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Priyam Garg,,,,,,,,,,,,,,,,
R. Sai Kishore,,,,,,,,,,,,,,,,
Rahul Tripathi,367.0,283.0,31.0,10.0,129.68,24.47,15.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Ravi Bishnoi,,,,,,,,,,,,,,,,
Robin Uthappa,622.0,503.0,56.0,31.0,123.66,25.92,24.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Sam Curran,95.0,55.0,13.0,3.0,172.73,23.75,4.0,207.0,323.0,10.0,9.79,32.3,20.7,33.0,8.0,1.0
Sandeep Bavanaka,,,,,,,,,,,,,,,,
Sanjay Yadav,913.0,691.0,103.0,25.0,132.13,35.12,26.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Saurabh Tiwary,,,,,,,,,,,,,,,,
Shahbaz Ahamad,,,,,,,,,,,,,,,,
Sheldon Cottrell,,,,,,,,,,,,,,,,
Shimron Hetmyer,90.0,73.0,4.0,7.0,123.29,18.0,5.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Tajinder Dhillon,,,,,,,,,,,,,,,,
Tom Banton,,,,,,,,,,,,,,,,
Tom Curran,23.0,28.0,3.0,0.0,82.14,7.67,3.0,64.0,118.0,6.0,11.6,19.67,10.67,10.17,1.0,2.0
Tushar Deshpande,,,,,,,,,,,,,,,,
Varun Chakaravarthy,,,,,,,,,,,,,,,,
Virat Singh,,,,,,,,,,,,,,,,
Yashasvi Jaiswal,,,,,,,,,,,,,,,,
