Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Abid Mushtaq,,,,,,,,,,,,,,,,
Akash Singh,0.0,0.0,0.0,0.0,,0.0,0.0,117.0,188.0,5.0,9.89,37.6,23.4,19.0,3.0,0.0
Angkrish Raghuvanshi,,,,,,,,,,,,,,,,
Anshul Kamboj,,,,,,,,,,,,,,,,
Arshin Kulkarni,,,,,,,,,,,,,,,,
Ashutosh Sharma,,,,,,,,,,,,,,,,
Avanish Rao Aravelly,,,,,,,,,,,,,,,,
Jhathavedh Subramanyan,,,,,,,,,,,,,,,,
Manav Suthar,,,,,,,,,,,,,,,,
Mohd. Arshad Khan,273.0,201.0,17.0,18.0,135.82,19.5,14.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Naman Dhir,,,,,,,,,,,,,,,,
Prince Choudhary,,,,,,,,,,,,,,,,
Ramandeep Singh,45.0,39.0,3.0,1.0,115.38,22.5,2.0,41.0,54.0,6.0,9.0,,6.83,6.0,5.0,0.0
Rasikh Dar,,,,,,,,,,,,,,,,
Ricky Bhui,,,,,,,,,,,,,,,,
Sakib Hussain,,,,,,,,,,,,,,,,
Saurav Chuahan,,,,,,,,,,,,,,,,
Shashank Singh,69.0,47.0,5.0,4.0,146.81,17.25,4.0,13.0,20.0,0.0,10.0,,,2.0,1.0,0.0
Shivalik Sharma,,,,,,,,,,,,,,,,
Shreyas Gopal,9.0,7.0,2.0,0.0,128.57,9.0,0.0,18.0,34.0,1.0,11.33,,18.0,3.0,0.0,0.0
Swapnil Singh,2.0,4.0,0.0,0.0,50.0,2.0,0.0,12.0,18.0,0.0,9.0,,,2.0,0.0,0.0
Swastik Chhikara,,,,,,,,,,,,,,,,
Tanay Thyagarajann,,,,,,,,,,,,,,,,
Vishwanath Pratap Singh,,,,,,,,,,,,,,,,
Tom Kohler-Cadmore,,,,,,,,,,,,,,,,
Azmatullah Omarzai,,,,,,,,,,,,,,,,
Chetan Sakariya,4.0,6.0,1.0,0.0,66.67,4.0,1.0,126.0,173.0,6.0,9.11,28.83,21.0,19.0,11.0,1.0
K.S. Bharat,8.0,7.0,2.0,0.0,114.29,4.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Manish Pandey,248.0,225.0,24.0,5.0,110.22,16.53,15.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Nandre Burger,,,,,,,,,,,,,,,,
Tristan Stubbs,27.0,35.0,2.0,0.0,77.14,6.75,4.0,12.0,14.0,1.0,7.0,,12.0,2.0,0.0,0.0
Kartik Tyagi,7.0,6.0,1.0,0.0,116.67,3.5,2.0,98.0,171.0,2.0,12.07,,49.0,14.17,7.0,6.0
Shai Hope,,,,,,,,,,,,,,,,
Ashton Turner,,,,,,,,,,,,,,,,
Gus Atkinson,,,,,,,,,,,,,,,,
Sumit Kumar,,,,,,,,,,,,,,,,
Mohammad Nabi,,,,,,,,,,,,,,,,
Sherfane Rutherford,33.0,50.0,1.0,1.0,66.0,16.5,2.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Tom Curran,,,,,,,,,,,,,,,,
Wanindu Hasaranga,,,,,,,,,,,,,,,,
Jaydev Unadkat,68.0,44.0,5.0,3.0,154.55,17.0,4.0,175.0,282.0,6.0,10.07,47.0,29.17,28.0,7.0,0.0
Rachin Ravindra,,,,,,,,,,,,,,,,
David Willey,53.0,62.0,7.0,0.0,85.48,26.5,2.0,160.0,177.0,4.0,6.81,44.25,40.0,26.0,4.0,0.0
Lockie Ferguson,5.0,4.0,1.0,0.0,125.0,2.5,2.0,348.0,523.0,13.0,9.45,40.23,26.77,55.33,13.0,3.0
Mujeeb Rahman,,,,,,,,,,,,,,,,
Mustafizur Rahman,4.0,6.0,0.0,0.0,66.67,4.0,0.0,241.0,323.0,9.0,8.28,35.89,26.78,39.0,7.0,0.0
Sushant Mishra,,,,,,,,,,,,,,,,
M. Siddharth,,,,,,,,,,,,,,,,
Robin Minz,,,,,,,,,,,,,,,,
Harry Brook,190.0,153.0,23.0,4.0,124.18,21.11,9.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Shardul Thakur,233.0,157.0,20.0,11.0,148.41,14.56,16.0,447.0,697.0,22.0,10.05,31.68,20.32,69.33,28.0,3.0
Chris Woakes,,,,,,,,,,,,,,,,
Dilshan Madushanka,,,,,,,,,,,,,,,,
Nuwan Thushara,,,,,,,,,,,,,,,,
Gerald Coetzee,,,,,,,,,,,,,,,,
Jhye Richardson,,,,,,,,,,,,,,,,
Yash Dayal,0.0,1.0,0.0,0.0,0.0,0.0,1.0,293.0,461.0,13.0,10.02,35.46,22.54,46.0,14.0,3.0
Shubham Dubey,,,,,,,,,,,,,,,,
Umesh Yadav,74.0,58.0,5.0,4.0,127.59,12.33,6.0,413.0,535.0,17.0,7.99,31.47,24.29,67.0,6.0,5.0
Shivam Mavi,3.0,7.0,0.0,0.0,42.86,1.5,2.0,142.0,227.0,5.0,10.32,45.4,28.4,22.0,8.0,2.0
Travis Head,,,,,,,,,,,,,,,,
Kumar Kushagra,,,,,,,,,,,,,,,,
Rovman Powell,257.0,176.0,11.0,22.0,146.02,19.77,13.0,21.0,35.0,1.0,11.67,,21.0,3.0,2.0,1.0
Shahrukh Khan,144.0,128.0,13.0,3.0,112.5,20.57,7.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Rilee Rossouw,209.0,140.0,17.0,11.0,149.29,29.86,7.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Sameer Rizvi,,,,,,,,,,,,,,,,
Spencer Johnson,,,,,,,,,,,,,,,,
Alzarri Joseph,12.0,19.0,1.0,0.0,63.16,12.0,1.0,335.0,489.0,14.0,9.06,34.93,23.93,54.0,10.0,1.0
Harshal Patel,49.0,45.0,4.0,3.0,108.89,7.0,7.0,640.0,871.0,33.0,8.67,26.39,19.39,100.5,32.0,5.0
Daryl Mitchell,33.0,44.0,1.0,0.0,75.0,16.5,2.0,13.0,27.0,0.0,13.5,,,2.0,1.0,0.0
Pat Cummins,63.0,23.0,5.0,6.0,273.91,15.75,4.0,127.0,215.0,7.0,10.84,30.71,18.14,19.83,8.0,0.0
Mitchell Starc,,,,,,,,,,,,,,,,
Steve Smith,,,,,,,,,,,,,,,,
