Player,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Aaron Finch,1754.0,1103.0,167.0,85.0,159.02,38.98,45.0,6.0,9.0,0.0,9.0,,,1.0,0.0,0.0
Abdul Samad,,,,,,,,,,,,,,,,
Akash Singh,,,,,,,,,,,,,,,,
Alex Carey,121.0,95.0,10.0,4.0,127.37,15.12,8.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Andrew Tye,49.0,42.0,2.0,3.0,116.67,8.17,6.0,576.0,816.0,37.0,8.89,22.05,15.57,91.83,21.0,4.0
Anirudha Ashok Joshi,,,,,,,,,,,,,,,,
Anuj Rawat,,,,,,,,,,,,,,,,
Chris Green,,,,,,,,,,,,,,,,
Chris Jordan,188.0,149.0,13.0,10.0,126.17,14.46,13.0,877.0,1180.0,51.0,8.52,23.14,17.2,138.5,41.0,5.0
Chris Lynn,278.0,207.0,27.0,13.0,134.3,19.86,14.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Chris Woakes,54.0,39.0,3.0,2.0,138.46,27.0,2.0,148.0,228.0,6.0,9.91,38.0,24.67,23.0,9.0,1.0
Christopher Morris,133.0,102.0,12.0,5.0,130.39,14.78,9.0,533.0,700.0,34.0,8.43,20.59,15.68,83.0,33.0,2.0
Dale Steyn,14.0,17.0,1.0,0.0,82.35,3.5,4.0,884.0,949.0,52.0,6.77,18.25,17.0,140.17,40.0,3.0
David Miller,1224.0,871.0,82.0,55.0,140.53,30.6,40.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Deepak Hooda,,,,,,,,,,,,,,,,
Digvijay Deshmukh,,,,,,,,,,,,,,,,
Eoin Morgan,1854.0,1360.0,137.0,91.0,136.32,29.9,62.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Fabian Allen,64.0,56.0,5.0,3.0,114.29,9.14,7.0,190.0,214.0,9.0,6.9,23.78,21.11,31.0,4.0,0.0
Glenn Maxwell,1415.0,890.0,120.0,69.0,158.99,34.51,41.0,530.0,664.0,25.0,7.63,26.56,21.2,87.0,7.0,1.0
Isuru Udana,214.0,144.0,14.0,13.0,148.61,21.4,10.0,522.0,693.0,23.0,8.43,30.13,22.7,82.17,28.0,1.0
James Neesham,184.0,129.0,19.0,8.0,142.64,18.4,10.0,216.0,276.0,8.0,8.28,34.5,27.0,33.33,16.0,0.0
Jason Roy,743.0,511.0,75.0,36.0,145.4,23.97,31.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
Jaydev Unadkat,0.0,0.0,0.0,0.0,,0.0,0.0,223.0,301.0,14.0,8.68,21.5,15.93,34.67,15.0,0.0
Josh Hazlewood,0.0,0.0,0.0,0.0,,0.0,0.0,177.0,269.0,8.0,9.61,33.62,22.12,28.0,9.0,0.0
Joshua Philippe,,,,,,,,,,,,,,,,
Kane Richardson,9.0,8.0,1.0,0.0,112.5,4.5,2.0,329.0,431.0,15.0,8.13,28.73,21.93,53.0,10.0,1.0
Kartik Tyagi,,,,,,,,,,,,,,,,
Lalit Yadav,,,,,,,,,,,,,,,,
M Siddharth,,,,,,,,,,,,,,,,
Marcus Stoinis,132.0,112.0,13.0,2.0,117.86,16.5,8.0,246.0,320.0,9.0,8.35,35.56,27.33,38.33,14.0,2.0
Mitchell Marsh,175.0,151.0,7.0,9.0,115.89,21.88,8.0,118.0,156.0,6.0,8.21,26.0,19.67,19.0,3.0,1.0
Mohit Sharma,3.0,6.0,0.0,0.0,50.0,3.0,0.0,127.0,174.0,5.0,8.29,34.8,25.4,21.0,1.0,0.0
Mohsin Khan,,,,,,,,,,,,,,,,
Nathan Coulter-Nile,132.0,108.0,9.0,8.0,122.22,14.67,9.0,577.0,771.0,32.0,8.29,24.09,18.03,93.0,17.0,2.0
Nikhil Shankar Naik,,,,,,,,,,,,,,,,
Oshane Thomas,8.0,11.0,2.0,0.0,72.73,4.0,2.0,237.0,335.0,9.0,9.05,37.22,26.33,37.0,8.0,7.0
Pat Cummins,28.0,34.0,2.0,0.0,82.35,4.67,6.0,548.0,594.0,31.0,6.75,19.16,17.68,88.0,19.0,1.0
Pavan Deshpande,,,,,,,,,,,,,,,,
Piyush Chawla,0.0,1.0,0.0,0.0,0.0,0.0,1.0,138.0,151.0,4.0,6.57,37.75,34.5,23.0,0.0,0.0
Prabhsimran Singh,,,,,,,,,,,,,,,,
Pravin Tambe,,,,,,,,,,,,,,,,
Prince Balwant Rai Singh,,,,,,,,,,,,,,,,
Priyam Garg,,,,,,,,,,,,,,,,
R. Sai Kishore,,,,,,,,,,,,,,,,
Rahul Tripathi,,,,,,,,,,,,,,,,
Ravi Bishnoi,,,,,,,,,,,,,,,,
Robin Uthappa,199.0,169.0,22.0,4.0,117.75,22.11,9.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
