PLAYER,TEAM,batting id,bowling id
Arjun Tendulkar,Mumbai Indians,627,489
Shams Mulani,Mumbai Indians,-1,-1
Nehal Wadhera,Mumbai Indians,613,-1
Jasprit Bumrah,Mumbai Indians,376,251
Kumar Kartikeya,Mumbai Indians,598,464
Piyush Chawla,Mumbai Indians,68,17
Akash Madhwal,Mumbai Indians,-1,496
Jason Behrendorff,Mumbai Indians,628,387
Hardik Pandya,Mumbai Indians,401,305
Romario Shepherd,Mumbai Indians,571,444
Gerald Coetzee,Mumbai Indians,-1,-1
Dilshan Madushanka,Mumbai Indians,2727,2032
Shreyas Gopal,Mumbai Indians,389,291
Nuwan Thushara,Mumbai Indians,2490,1453
Naman Dhir,Mumbai Indians,-1,-1
Anshul Kamboj,Mumbai Indians,-1,-1
Mohammad Nabi,Mumbai Indians,452,345
Shivalik Sharma,Mumbai Indians,-1,1637
Shikhar Dhawan,Punjab Kings,42,203
Liam Livingstone,Punjab Kings,508,393
Jonny Bairstow,Punjab Kings,493,-1
Jitesh Sharma,Punjab Kings,574,-1
Shivam Singh,Punjab Kings,1747,1810
Rahul Chahar,Punjab Kings,448,338
Prabhsimran Singh,Punjab Kings,514,-1
Arshdeep Singh,Punjab Kings,536,396
Harpreet Bhatia,Punjab Kings,-1,-1
Harpreet Brar,Punjab Kings,511,398
Atharva Taide,Punjab Kings,622,-1
Vidwath Kaverappa,Punjab Kings,-1,-1
Rishi Dhawan,Punjab Kings,354,259
Kagiso Rabada,Punjab Kings,454,347
Sam Curran,Punjab Kings,498,381
Nathan Ellis,Punjab Kings,556,436
Sikandar Raza,Punjab Kings,606,474
Harshal Patel,Punjab Kings,312,226
Chris Woakes,Punjab Kings,442,336
Ashutosh Sharma,Punjab Kings,3046,-1
Vishwanath Pratap Singh,Punjab Kings,327,235
Shashank Singh,Punjab Kings,590,456
Tanay Thyagarajan,Punjab Kings,-1,-1
Prince Choudhary,Punjab Kings,-1,-1
Rilee Rossouw,Punjab Kings,381,-1
Sanju Samson,Rajasthan Royals,351,-1
Jos Buttler,Rajasthan Royals,408,-1
Shimron Hetmyer,Rajasthan Royals,490,-1
Yashasvi Jaiswal,Rajasthan Royals,518,448
Dhruv Jurel,Rajasthan Royals,616,-1
Riyan Parag,Rajasthan Royals,505,392
Donovan Ferreira,Rajasthan Royals,-1,-1
Kunal Rathore,Rajasthan Royals,-1,-1
Ravichandran Ashwin,Rajasthan Royals,202,146
Kuldeep Sen,Rajasthan Royals,585,454
Navdeep Saini,Rajasthan Royals,492,377
Prasidh Krishna,Rajasthan Royals,-1,-1
Sandeep Sharma,Rajasthan Royals,367,267
Trent Boult,Rajasthan Royals,461,297
Yuzvendra Chahal,Rajasthan Royals,383,268
Adam Zampa,Rajasthan Royals,431,326
Avesh Khan,Rajasthan Royals,500,354
Rovman Powell,Rajasthan Royals,564,453
Shubham Dubey,Rajasthan Royals,-1,-1
Tom Kohler Cadmore,Rajasthan Royals,-1,-1
Nandre Burger,Rajasthan Royals,-1,-1
Abid Mushtaq,Rajasthan Royals,-1,-1
Faf du Plessis,Royal Challengers Bangalore,304,230
Glenn Maxwell,Royal Challengers Bangalore,306,220
Virat Kohli,Royal Challengers Bangalore,8,70
Rajat Patidar,Royal Challengers Bangalore,539,-1
Anuj Rawat,Royal Challengers Bangalore,560,-1
Dinesh Karthik,Royal Challengers Bangalore,-1,-1
Suyash Prabhudessai,Royal Challengers Bangalore,582,-1
Will Jacks,Royal Challengers Bangalore,2734,-1
Mahipal Lomror,Royal Challengers Bangalore,482,367
