PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance,batting id,bowling id,batting erd,bowling erd
Ashton Turner,Overseas,Batter,1.0,4099659.2,10000000.0,0.0,0.456556371,510,932,-0.2483000000000004,5.469799999999992
Wanindu Hasaranga,Overseas,All-Rounder,1.0,2133727.5,15000000.0,0.0,0.452554713,-1,-1,0.0,-0.0
Hanuma Vihari,Indian,All-Rounder,0.0,2113173.0,0.0,5000000.0,0.447267107,-1,-1,0.0,-0.0
Ben Cutting,Overseas,All-Rounder,1.0,6683078.0,0.0,5000000.0,0.437979519,386,289,-0.2847999999999899,-16.228700000000003
Naman Dhir,Indian,All-Rounder,0.0,2105053.2,2000000.0,0.0,0.433689563,-1,-1,0.0,-0.0
David Willey,Overseas,All-Rounder,1.0,19651054.0,20000000.0,0.0,0.423443079,572,370,-0.777799999999985,-1.7556999999999905
Benny Howell,Overseas,All-Rounder,0.0,2130367.0,0.0,4000000.0,0.415548536,-1,-1,0.0,-0.0
Sumit Kumar,Indian,All-Rounder,0.0,2109693.2,10000000.0,0.0,0.395179034,-1,-1,0.0,-0.0
Jamie Overton,Overseas,All-Rounder,0.0,2123406.5,0.0,20000000.0,0.393240042,-1,-1,0.0,-0.0
Mohammad Nabi,Overseas,All-Rounder,1.0,31896630.0,15000000.0,0.0,0.390786303,452,345,-0.8468000000000018,0.7578000000000031
Rachin Ravindra,Overseas,All-Rounder,1.0,7764715.0,18000000.0,0.0,0.387163195,2057,1525,0.5732000000000141,-0.9787000000000036
Dwaine Pretorius,Overseas,All-Rounder,1.0,18405064.0,0.0,10000000.0,0.38627352,573,446,-0.4557999999999822,2.9823000000000093
Ramandeep Singh,Indian,All-Rounder,0.0,7005607.0,2000000.0,0.0,0.371599345,580,468,0.3036999999999921,12.423299999999998
Shahrukh Khan,Indian,All-Rounder,0.0,2539426.5,74000000.0,0.0,0.358123027,403,394,0.9642000000000052,0.253799999999984
Shivalik Sharma,Indian,All-Rounder,0.0,2431848.5,2000000.0,0.0,0.355861047,-1,1637,0.0,0.7447999999999979
Abhimanyusingh Rajput,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.355047462,-1,-1,0.0,-0.0
Swapnil Singh,Indian,All-Rounder,0.0,10818467.0,2000000.0,0.0,0.34929637,425,324,0.5356999999999914,-5.787200000000013
Pat Cummins,Overseas,All-Rounder,1.0,20001018.0,205000000.0,0.0,0.345160036,406,293,-0.3892999999999915,-4.643200000000007
George Linde,Overseas,All-Rounder,1.0,7605385.5,0.0,5000000.0,0.345093351,1920,1425,0.1701999999999941,14.2723
Azmatullah Omarzai,Overseas,All-Rounder,1.0,9845098.0,5000000.0,0.0,0.338851192,2443,1820,-0.4562999999999988,-0.2351999999999918
Aditya Tare,Indian,Wicket-Keeper,0.0,2442599.8,0.0,2000000.0,0.33573626,208,-1,-0.0747999999999819,-0.0
Brydon Carse,Overseas,All-Rounder,0.0,2122246.5,0.0,5000000.0,0.331051048,-1,-1,0.0,-0.0
Abhimanyu Easwaran,Indian,Batter,0.0,2116771.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Akshat Raghuwanshi,Indian,Batter,0.0,2107491.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Amandeep Khare,Indian,Batter,0.0,2114451.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Ankit Kumar,Indian,Batter,0.0,2114451.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Ansh Gosai,Indian,Batter,0.0,2106331.0,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Azim Kazi,Indian,Batter,0.0,2060812.1,0.0,2000000.0,0.324137867,-1,213,0.0,0.5237999999999943
Bhupen Lalwani,Indian,Batter,0.0,2112131.8,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Chirag Gandhi,Indian,Batter,0.0,2122572.0,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Dinesh Bana,Indian,Batter,0.0,2106331.0,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Ekant Sen,Indian,Batter,0.0,2116771.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Himmat Singh,Indian,Batter,1.0,5620289.5,0.0,2000000.0,0.324137867,1471,1323,0.1632000000000175,0.3937999999999988
Naushad Shaikh,Indian,Batter,0.0,2121411.8,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Nikhil Gangta,Indian,Batter,0.0,2120251.8,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Priyank Panchal,Indian,Batter,0.0,2122572.0,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Priyansh Arya,Indian,Batter,0.0,2109811.2,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Pukhraj Mann,Indian,Batter,0.0,2109811.2,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
Rajat Dey,Indian,Batter,0.0,2114451.5,0.0,2000000.0,0.324137867,-1,-1,0.0,-0.0
