player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Abdul Samad,Sunrisers Hyderabad,111,87,4,8,12759,1233,9,6,9,1,90,1,60,10,1,0
Abhishek Sharma,Sunrisers Hyderabad,93,69,7,4,13478,186,5,56,50,4,556,125,140,90,2,0
DA Warner,Sunrisers Hyderabad,189,173,15,6,10925,270,7,1,1,1,1,1,1,1,1,0
J Suchith,Sunrisers Hyderabad,1,1,1,1,1,1,1,18,45,1,150,1,1,30,1,0
JM Bairstow,Sunrisers Hyderabad,210,157,17,11,13376,420,5,1,1,1,1,1,1,1,1,0
JO Holder,Sunrisers Hyderabad,85,70,2,6,12143,1417,6,203,247,16,776,1544,1269,3183,12,0
KK Ahmed,Sunrisers Hyderabad,1,2,1,1,500,10,1,144,180,5,783,360,288,230,5,1
KM Jadhav,Sunrisers Hyderabad,46,43,1,2,10698,1533,3,1,1,1,1,1,1,1,1,0
KS Williamson,Sunrisers Hyderabad,200,183,21,2,10929,3333,6,1,1,1,1,1,1,1,1,0
MK Pandey,Sunrisers Hyderabad,292,235,21,10,12426,4867,6,1,1,1,1,1,1,1,1,0
Mohammad Nabi,Sunrisers Hyderabad,34,20,3,2,1700,1133,3,48,86,2,1075,1,240,80,1,0
Mujeeb Ur Rahman,Sunrisers Hyderabad,1,1,1,1,1000,10,1,26,29,2,725,1,130,40,2,0
PK Garg,Sunrisers Hyderabad,72,74,2,3,973,144,5,1,1,1,1,1,1,1,1,0
Rashid Khan,Sunrisers Hyderabad,83,65,9,2,12769,1186,7,319,350,17,673,2059,1876,520,7,0
S Kaul,Sunrisers Hyderabad,8,8,1,1,1000,80,1,157,219,5,842,438,314,260,1,1
S Nadeem,Sunrisers Hyderabad,1,1,1,1,1,1,1,24,36,1,90,1,240,40,1,0
Sandeep Sharma,Sunrisers Hyderabad,8,7,1,1,11429,80,1,145,203,3,864,6767,4833,235,3,1
T Natarajan,Sunrisers Hyderabad,1,1,1,1,1,1,1,50,69,2,862,1,250,80,2,0
Umran Malik,Sunrisers Hyderabad,1,1,1,1,1,1,1,75,96,2,80,480,375,120,3,0
V Shankar,Sunrisers Hyderabad,50,45,1,3,11111,125,4,52,81,3,1012,270,1733,80,4,0
Virat Singh,Sunrisers Hyderabad,11,12,1,1,9167,110,1,1,1,1,1,1,1,1,1,0
WP Saha,Sunrisers Hyderabad,131,139,7,5,9424,1456,9,1,1,1,1,1,1,1,1,0
AB de Villiers,Royal Challengers Bangalore,313,211,23,16,14834,313,10,1,1,1,1,1,1,1,1,0
D Padikkal,Royal Challengers Bangalore,411,327,44,14,12569,3162,13,1,1,1,1,1,1,1,1,0
DR Sams,Royal Challengers Bangalore,6,6,1,1,1000,60,1,38,39,1,65,1,380,60,2,0
DT Christian,Royal Challengers Bangalore,14,23,1,1,6087,233,6,104,155,4,93,3875,260,1667,4,0
GHS Garton,Royal Challengers Bangalore,2,4,1,1,500,20,1,97,135,3,90,450,3233,150,5,2
GJ Maxwell,Royal Challengers Bangalore,513,354,48,21,14492,4275,12,99,135,3,844,450,330,160,3,0
HV Patel,Royal Challengers Bangalore,59,46,6,2,12826,1475,4,361,459,32,815,1434,1128,5633,16,7
KA Jamieson,Royal Challengers Bangalore,65,55,5,3,11818,1625,4,179,270,9,964,300,1989,280,8,3
