player,team,runs,balls,4s,6s,batting SR,batting average,times dismissed,balls bowled,runs conceded,wickets,economy,bowling average,bowling SR,overs bowled,wides,noballs
Akash Singh,Chennai Super Kings,1,1,1,1,1,1,1,117,188,5,989,376,234,190,3,0
AM Rahane,Chennai Super Kings,326,189,24,16,17249,326,10,1,1,1,1,1,1,1,1,0
AT Rayudu,Chennai Super Kings,158,113,10,9,13982,158,10,1,1,1,1,1,1,1,1,0
BA Stokes,Chennai Super Kings,15,14,2,1,10714,75,2,6,18,1,180,1,1,10,1,0
D Pretorius,Chennai Super Kings,1,1,1,1,1,1,1,28,28,1,70,1,1,40,4,0
DL Chahar,Chennai Super Kings,1,2,1,1,500,10,1,191,259,13,863,1992,1469,300,11,0
DP Conway,Chennai Super Kings,672,479,77,18,14029,5169,13,1,1,1,1,1,1,1,1,0
M Pathirana,Chennai Super Kings,1,1,1,1,1,1,1,288,355,17,826,2088,1694,430,29,1
M Theekshana,Chennai Super Kings,1,1,1,1,1,1,1,274,358,9,796,3978,3044,450,4,0
MJ Santner,Chennai Super Kings,2,4,1,1,500,20,1,72,81,3,675,270,240,120,1,0
MM Ali,Chennai Super Kings,124,87,12,6,14253,1771,7,133,182,7,827,260,190,220,1,0
MS Dhoni,Chennai Super Kings,104,54,3,10,19259,260,4,1,1,1,1,1,1,1,1,0
RA Jadeja,Chennai Super Kings,190,132,11,9,14394,2375,8,330,420,19,778,2211,1737,540,6,0
RD Gaikwad,Chennai Super Kings,590,398,46,30,14824,4214,14,1,1,1,1,1,1,1,1,0
RS Hangargekar,Chennai Super Kings,1,1,1,1,1,1,1,43,60,3,100,1,1433,60,6,1
S Dube,Chennai Super Kings,418,264,12,35,15833,380,11,1,1,1,1,1,1,1,1,0
SSB Magala,Chennai Super Kings,1,1,1,1,1,1,1,37,51,1,85,1,370,60,1,0
Tilak Varma,Chennai Super Kings,343,208,26,23,1649,4288,8,7,7,1,70,1,1,10,1,0
TU Deshpande,Chennai Super Kings,1,1,1,1,1,1,1,362,569,21,1019,271,1724,5583,23,4
A Nortje,Delhi Capitals,37,29,6,1,12759,1233,3,251,364,10,91,364,251,400,8,3
Abishek Porel,Delhi Capitals,33,31,1,2,10645,825,4,1,1,1,1,1,1,1,1,0
Aman Hakim Khan,Delhi Capitals,110,101,7,6,10891,1375,8,1,1,1,1,1,1,1,1,0
AR Patel,Delhi Capitals,283,201,21,15,1408,283,10,288,341,11,726,310,2618,470,6,0
C Sakariya,Delhi Capitals,4,6,1,1,6667,40,1,55,89,3,1112,2967,1833,80,6,1
