,team_name,rank_pm1,rank_pm2,rank_pm3,year
127,Kings XI Punjab,3,7,10,2023
128,Lucknow Super Giants,8,8,2,2023
129,Rajasthan Royals,9,5,1,2023
130,Kolkata Knight Riders,7,6,4,2023
131,Royal Challengers Bangalore,2,3,9,2023
132,Delhi Capitals,10,10,6,2023
133,Sunrisers Hyderabad,6,9,8,2023
134,Gujarat Titans,1,1,7,2023
135,Chennai Super Kings,4,2,3,2023
136,Mumbai Indians,5,4,5,2023
