,PLAYER,OverseasIndian,TYPE,Played For Country,Predicted Price,Selling Price,Base Price,Performance
57,Mohammad Nabi,Overseas,All-Rounder,1.0,31896630.0,15000000.0,0.0,0.390786303
58,Rachin Ravindra,Overseas,All-Rounder,1.0,7764715.0,18000000.0,0.0,0.387163195
59,Dwaine Pretorius,Overseas,All-Rounder,1.0,18405064.0,0.0,10000000.0,0.38627352
60,Ramandeep Singh,Indian,All-Rounder,0.0,7005607.0,2000000.0,0.0,0.371599345
61,Shahrukh Khan,Indian,All-Rounder,0.0,2539426.5,74000000.0,0.0,0.358123027
62,Shivalik Sharma,Indian,All-Rounder,0.0,2431848.5,2000000.0,0.0,0.355861047
63,Abhimanyusingh Rajput,Indian,All-Rounder,0.0,2109954.2,0.0,2000000.0,0.355047462
64,Swapnil Singh,Indian,All-Rounder,0.0,10818467.0,2000000.0,0.0,0.34929637
65,Pat Cummins,Overseas,All-Rounder,1.0,20001018.0,205000000.0,0.0,0.345160036
66,George Linde,Overseas,All-Rounder,1.0,7605385.5,0.0,5000000.0,0.345093351
67,Azmatullah Omarzai,Overseas,All-Rounder,1.0,9845098.0,5000000.0,0.0,0.338851192
68,Aditya Tare,Indian,Wicket-Keeper,0.0,2442599.8,0.0,2000000.0,0.33573626
69,Brydon Carse,Overseas,All-Rounder,0.0,2122246.5,0.0,5000000.0,0.331051048
70,Abhimanyu Easwaran,Indian,Batter,0.0,2116771.5,0.0,2000000.0,0.324137867
71,Akshat Raghuwanshi,Indian,Batter,0.0,2107491.5,0.0,2000000.0,0.324137867
72,Amandeep Khare,Indian,Batter,0.0,2114451.5,0.0,2000000.0,0.324137867
73,Ankit Kumar,Indian,Batter,0.0,2114451.5,0.0,2000000.0,0.324137867
74,Ansh Gosai,Indian,Batter,0.0,2106331.0,0.0,2000000.0,0.324137867
75,Azim Kazi,Indian,Batter,0.0,2060812.1,0.0,2000000.0,0.324137867
76,Bhupen Lalwani,Indian,Batter,0.0,2112131.8,0.0,2000000.0,0.324137867
77,Chirag Gandhi,Indian,Batter,0.0,2122572.0,0.0,2000000.0,0.324137867
78,Dinesh Bana,Indian,Batter,0.0,2106331.0,0.0,2000000.0,0.324137867
79,Ekant Sen,Indian,Batter,0.0,2116771.5,0.0,2000000.0,0.324137867
80,Himmat Singh,Indian,Batter,1.0,5620289.5,0.0,2000000.0,0.324137867
81,Naushad Shaikh,Indian,Batter,0.0,2121411.8,0.0,2000000.0,0.324137867
82,Nikhil Gangta,Indian,Batter,0.0,2120251.8,0.0,2000000.0,0.324137867
83,Priyank Panchal,Indian,Batter,0.0,2122572.0,0.0,2000000.0,0.324137867
84,Priyansh Arya,Indian,Batter,0.0,2109811.2,0.0,2000000.0,0.324137867
85,Pukhraj Mann,Indian,Batter,0.0,2109811.2,0.0,2000000.0,0.324137867
86,Rajat Dey,Indian,Batter,0.0,2114451.5,0.0,2000000.0,0.324137867
87,Rithik Easwaran,Indian,Batter,0.0,2108651.5,0.0,2000000.0,0.324137867
88,Rohan Kunnummal,Indian,Batter,0.0,2113291.5,0.0,2000000.0,0.324137867
89,Salman Nizar,Indian,Batter,0.0,2114451.5,0.0,2000000.0,0.324137867
90,Saurav Chuahan,Indian,Batter,0.0,2115872.5,2000000.0,0.0,0.324137867
91,Subhranshu Senapati,Indian,Batter,0.0,2114451.8,0.0,2000000.0,0.324137867
92,Sudip Gharami,Indian,Batter,0.0,2115872.5,0.0,2000000.0,0.324137867
93,Sumeet Verma,Indian,Batter,0.0,2122572.0,0.0,2000000.0,0.324137867
94,Swastik Chhikara,Indian,Batter,0.0,2115872.5,2000000.0,0.0,0.324137867
95,Tanmay Mishra,Indian,Batter,1.0,2991941.0,0.0,2000000.0,0.324137867
96,Baba Indrajith,Indian,Wicket-Keeper,0.0,2285968.5,0.0,2000000.0,0.322808692
97,David Wiese,Overseas,All-Rounder,1.0,17747666.0,0.0,10000000.0,0.316350099
98,Raj Angad Bawa,Indian,All-Rounder,0.0,2267550.8,0.0,2000000.0,0.315972611
99,Duan Jansen,Overseas,All-Rounder,1.0,7989307.0,0.0,2000000.0,0.314688753
100,Jason Holder,Overseas,All-Rounder,1.0,27253400.0,0.0,15000000.0,0.307516715
101,Odean Smith,Overseas,All-Rounder,1.0,14362728.0,0.0,5000000.0,0.28997336
102,Tom Curran,Overseas,All-Rounder,1.0,12891292.0,15000000.0,0.0,0.286161853
103,Keemo Paul,Overseas,All-Rounder,1.0,12765223.0,0.0,7500000.0,0.282537361
104,George Garton,Overseas,All-Rounder,1.0,3981880.8,0.0,5000000.0,0.281029972
105,Avanish Rao Aravelly,Indian,Wicket-Keeper,0.0,2113026.8,2000000.0,0.0,0.277136011
106,William Salzmann,Overseas,Wicket-Keeper,0.0,2116039.5,0.0,2000000.0,0.277136011
107,Anmol Malhotra,Indian,Wicket-Keeper,0.0,2113926.0,0.0,2000000.0,0.277136011
108,Avneesh Sudha,Indian,Wicket-Keeper,0.0,2106965.8,0.0,2000000.0,0.277136011
109,B.R. Sharath,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,0.277136011
110,Bhagmender Lather,Indian,Wicket-Keeper,0.0,2111606.0,0.0,2000000.0,0.277136011
111,Bipin Saurabh,Indian,Wicket-Keeper,0.0,2109285.8,0.0,2000000.0,0.277136011
112,Darshan Misal,Indian,Wicket-Keeper,0.0,2117405.8,0.0,2000000.0,0.277136011
113,G. Ajitesh,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,0.277136011
114,Gourav Choudhary,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,0.277136011
115,Harvik Desai,Indian,Wicket-Keeper,0.0,2109286.0,0.0,2000000.0,0.277136011
116,K.L. Shrijith,Indian,Wicket-Keeper,0.0,2113026.8,0.0,2000000.0,0.277136011
117,L.R. Chethan,Indian,Wicket-Keeper,0.0,2108125.5,0.0,2000000.0,0.277136011
118,Mahesh Pithiya,Indian,Wicket-Keeper,0.0,2106965.8,0.0,2000000.0,0.277136011
